Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",3
51,"3/12/20",4
52,"3/13/20",8
53,"3/14/20",15
54,"3/15/20",28
55,"3/16/20",36
56,"3/17/20",51
57,"3/18/20",61
58,"3/19/20",88
59,"3/20/20",115
60,"3/21/20",149
61,"3/22/20",180
62,"3/23/20",224
63,"3/24/20",298
64,"3/25/20",472
65,"3/26/20",574
66,"3/27/20",684
67,"3/28/20",801
68,"3/29/20",880
69,"3/30/20",1001
70,"3/31/20",1063
71,"4/1/20",1175
72,"4/2/20",1371
73,"4/3/20",1606
74,"4/4/20",1727
75,"4/5/20",1905
76,"4/6/20",2079
77,"4/7/20",2308
78,"4/8/20",2614
79,"4/9/20",2954
80,"4/10/20",3112
81,"4/11/20",3346
82,"4/12/20",3667
83,"4/13/20",3870
84,"4/14/20",4041
85,"4/15/20",4307
86,"4/16/20",4465
87,"4/17/20",4557
88,"4/18/20",4788
89,"4/19/20",4978
90,"4/20/20",5163
91,"4/21/20",5404
92,"4/22/20",5692
93,"4/23/20",5899
94,"4/24/20",6092
95,"4/25/20",6274
96,"4/26/20",6475
97,"4/27/20",6621
98,"4/28/20",6820
99,"4/29/20",6979
100,"4/30/20",7187
101,"5/1/20",7440
102,"5/2/20",7700
103,"5/3/20",7977
104,"5/4/20",8203
105,"5/5/20",8520
106,"5/6/20",8769
107,"5/7/20",9115
108,"5/8/20",9437
109,"5/9/20",9720
110,"5/10/20",9982
111,"5/11/20",10262
112,"5/12/20",10566
113,"5/13/20",10822
114,"5/14/20",11161
115,"5/15/20",11494
116,"5/16/20",11828
117,"5/17/20",12137
118,"5/18/20",12438
119,"5/19/20",12825
120,"5/20/20",13186
121,"5/21/20",13590
122,"5/22/20",13954
123,"5/23/20",14328
124,"5/24/20",14676
125,"5/25/20",15309
126,"5/26/20",15899
127,"5/27/20",16263
128,"5/28/20",16749
129,"5/29/20",17262
130,"5/30/20",17689
131,"5/31/20",18200
132,"6/1/20",18525
133,"6/2/20",18734
134,"6/3/20",18954
135,"6/4/20",19262
136,"6/5/20",19910
137,"6/6/20",20355
138,"6/7/20",20777
139,"6/8/20",21268
140,"6/9/20",21834
141,"6/10/20",22659
142,"6/11/20",23370
143,"6/12/20",24405
144,"6/13/20",25364
145,"6/14/20",26182
146,"6/15/20",26485
147,"6/16/20",27034
148,"6/17/20",27941
149,"6/18/20",28676
150,"6/19/20",29225
151,"6/20/20",29683
152,"6/21/20",30122
153,"6/22/20",30771
154,"6/23/20",31889
155,"6/24/20",32878
156,"6/25/20",33880
157,"6/26/20",34903
158,"6/27/20",35083
159,"6/28/20",36503
160,"6/29/20",37589
161,"6/30/20",38477
162,"7/1/20",39647
163,"7/2/20",41340
164,"7/3/20",42255
165,"7/4/20",43216
166,"7/5/20",44022
167,"7/6/20",44932
168,"7/7/20",46348
169,"7/8/20",48149
170,"7/9/20",49695
171,"7/10/20",51329
172,"7/11/20",52802
173,"7/12/20",54781
174,"7/13/20",56168
175,"7/14/20",58284
176,"7/15/20",60194
177,"7/16/20",62128
178,"7/17/20",64152
179,"7/18/20",66181
180,"7/19/20",67733
181,"7/20/20",69236
182,"7/21/20",70600
183,"7/22/20",72594
184,"7/23/20",74685
185,"7/24/20",76795
186,"7/25/20",78188
187,"7/26/20",79948
188,"7/27/20",81256
189,"7/28/20",82698
190,"7/29/20",84652
191,"7/30/20",86664
192,"7/31/20",88266
193,"8/1/20",90299
194,"8/2/20",91458
195,"8/3/20",92502
196,"8/4/20",93457
197,"8/5/20",95323
198,"8/6/20",97044
199,"8/7/20",98895
200,"8/8/20",99854
201,"8/9/20",101466
202,"8/10/20",102391
203,"8/11/20",103485
204,"8/12/20",104219
205,"8/13/20",104976
206,"8/14/20",106096
207,"8/15/20",106926
208,"8/16/20",107667
209,"8/17/20",109092
210,"8/18/20",110415
211,"8/19/20",111696
212,"8/20/20",112737
213,"8/21/20",114212
214,"8/22/20",114809
215,"8/23/20",115485
216,"8/24/20",116045
217,"8/25/20",118190
218,"8/26/20",119904
219,"8/27/20",121041
220,"8/28/20",122879
221,"8/29/20",124155
222,"8/30/20",124944
223,"8/31/20",126500
