Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",4
57,"3/18/20",9
58,"3/19/20",12
59,"3/20/20",15
60,"3/21/20",16
61,"3/22/20",26
62,"3/23/20",39
63,"3/24/20",43
64,"3/25/20",50
65,"3/26/20",64
66,"3/27/20",75
67,"3/28/20",92
68,"3/29/20",111
69,"3/30/20",119
70,"3/31/20",129
71,"4/1/20",142
72,"4/2/20",150
73,"4/3/20",161
74,"4/4/20",172
75,"4/5/20",187
76,"4/6/20",193
77,"4/7/20",215
78,"4/8/20",228
79,"4/9/20",238
80,"4/10/20",249
81,"4/11/20",261
82,"4/12/20",276
83,"4/13/20",281
84,"4/14/20",289
85,"4/15/20",297
86,"4/16/20",305
87,"4/17/20",314
88,"4/18/20",319
89,"4/19/20",324
90,"4/20/20",326
91,"4/21/20",334
92,"4/22/20",340
93,"4/23/20",342
94,"4/24/20",344
95,"4/25/20",344
96,"4/26/20",346
97,"4/27/20",350
98,"4/28/20",356
99,"4/29/20",360
100,"4/30/20",360
101,"5/1/20",369
102,"5/2/20",370
103,"5/3/20",373
104,"5/4/20",375
105,"5/5/20",376
106,"5/6/20",377
107,"5/7/20",380
108,"5/8/20",383
109,"5/9/20",385
110,"5/10/20",386
111,"5/11/20",388
112,"5/12/20",390
113,"5/13/20",391
114,"5/14/20",396
115,"5/15/20",398
116,"5/16/20",403
117,"5/17/20",408
118,"5/18/20",411
119,"5/19/20",411
120,"5/20/20",416
121,"5/21/20",416
122,"5/22/20",418
123,"5/23/20",423
124,"5/24/20",423
125,"5/25/20",426
126,"5/26/20",430
127,"5/27/20",431
128,"5/28/20",444
129,"5/29/20",450
130,"5/30/20",455
131,"5/31/20",484
132,"6/1/20",491
133,"6/2/20",512
134,"6/3/20",531
135,"6/4/20",559
136,"6/5/20",572
137,"6/6/20",586
138,"6/7/20",595
139,"6/8/20",614
140,"6/9/20",627
141,"6/10/20",649
142,"6/11/20",676
143,"6/12/20",697
144,"6/13/20",731
145,"6/14/20",743
146,"6/15/20",747
147,"6/16/20",761
148,"6/17/20",786
149,"6/18/20",805
150,"6/19/20",833
151,"6/20/20",856
152,"6/21/20",870
153,"6/22/20",881
154,"6/23/20",915
155,"6/24/20",938
156,"6/25/20",982
157,"6/26/20",1011
158,"6/27/20",1038
159,"6/28/20",1070
160,"6/29/20",1095
161,"6/30/20",1142
162,"7/1/20",1184
163,"7/2/20",1234
164,"7/3/20",1294
165,"7/4/20",1349
166,"7/5/20",1382
167,"7/6/20",1410
168,"7/7/20",1434
169,"7/8/20",1485
170,"7/9/20",1537
171,"7/10/20",1591
172,"7/11/20",1668
173,"7/12/20",1784
174,"7/13/20",1855
175,"7/14/20",1915
176,"7/15/20",1972
177,"7/16/20",2050
178,"7/17/20",2102
179,"7/18/20",2179
180,"7/19/20",2295
181,"7/20/20",2435
182,"7/21/20",2541
183,"7/22/20",2648
184,"7/23/20",2727
185,"7/24/20",2793
186,"7/25/20",2911
187,"7/26/20",3144
188,"7/27/20",3255
189,"7/28/20",3390
190,"7/29/20",3483
191,"7/30/20",3605
192,"7/31/20",3716
193,"8/1/20",3866
194,"8/2/20",4014
195,"8/3/20",4092
196,"8/4/20",4161
197,"8/5/20",4220
198,"8/6/20",4266
199,"8/7/20",4334
200,"8/8/20",4421
201,"8/9/20",4521
202,"8/10/20",4590
203,"8/11/20",4645
204,"8/12/20",4712
205,"8/13/20",4813
206,"8/14/20",4918
207,"8/15/20",5003
208,"8/16/20",5107
209,"8/17/20",5157
210,"8/18/20",5228
211,"8/19/20",5305
212,"8/20/20",5390
213,"8/21/20",5462
214,"8/22/20",5552
215,"8/23/20",5619
216,"8/24/20",5691
217,"8/25/20",5727
218,"8/26/20",5781
219,"8/27/20",5870
220,"8/28/20",5989
221,"8/29/20",6086
222,"8/30/20",6135
223,"8/31/20",6173
224,"9/1/20",6209
225,"9/2/20",6276
226,"9/3/20",6366
227,"9/4/20",6492
228,"9/5/20",6582
229,"9/6/20",6679
230,"9/7/20",6714
231,"9/8/20",6748
