Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",1
6,"1/27/20",1
7,"1/28/20",1
8,"1/29/20",1
9,"1/30/20",1
10,"1/31/20",1
11,"2/1/20",1
12,"2/2/20",1
13,"2/3/20",1
14,"2/4/20",1
15,"2/5/20",1
16,"2/6/20",1
17,"2/7/20",1
18,"2/8/20",1
19,"2/9/20",1
20,"2/10/20",1
21,"2/11/20",1
22,"2/12/20",1
23,"2/13/20",1
24,"2/14/20",1
25,"2/15/20",1
26,"2/16/20",1
27,"2/17/20",1
28,"2/18/20",1
29,"2/19/20",1
30,"2/20/20",1
31,"2/21/20",1
32,"2/22/20",1
33,"2/23/20",1
34,"2/24/20",1
35,"2/25/20",1
36,"2/26/20",1
37,"2/27/20",1
38,"2/28/20",1
39,"2/29/20",1
40,"3/1/20",1
41,"3/2/20",1
42,"3/3/20",1
43,"3/4/20",1
44,"3/5/20",1
45,"3/6/20",2
46,"3/7/20",4
47,"3/8/20",4
48,"3/9/20",4
49,"3/10/20",6
50,"3/11/20",9
51,"3/12/20",9
52,"3/13/20",9
53,"3/14/20",12
54,"3/15/20",12
55,"3/16/20",18
56,"3/17/20",20
57,"3/18/20",27
58,"3/19/20",45
59,"3/20/20",68
60,"3/21/20",104
61,"3/22/20",152
62,"3/23/20",235
63,"3/24/20",326
64,"3/25/20",401
65,"3/26/20",508
66,"3/27/20",665
67,"3/28/20",773
68,"3/29/20",919
69,"3/30/20",1157
70,"3/31/20",1289
71,"4/1/20",1413
72,"4/2/20",1596
73,"4/3/20",1769
74,"4/4/20",2019
75,"4/5/20",2269
76,"4/6/20",2460
77,"4/7/20",2575
78,"4/8/20",2726
79,"4/9/20",3018
80,"4/10/20",3112
81,"4/11/20",3393
82,"4/12/20",3542
83,"4/13/20",3705
84,"4/14/20",3809
85,"4/15/20",3964
86,"4/16/20",4237
87,"4/17/20",4511
88,"4/18/20",4724
89,"4/19/20",4933
90,"4/20/20",5068
91,"4/21/20",5256
92,"4/22/20",5473
93,"4/23/20",5772
94,"4/24/20",6045
95,"4/25/20",6286
96,"4/26/20",6534
97,"4/27/20",6725
98,"4/28/20",6955
99,"4/29/20",7209
100,"4/30/20",7655
101,"5/1/20",7969
102,"5/2/20",8364
103,"5/3/20",8640
104,"5/4/20",8924
105,"5/5/20",9305
106,"5/6/20",9707
107,"5/7/20",9945
108,"5/8/20",10526
109,"5/9/20",10960
110,"5/10/20",11119
111,"5/11/20",11383
112,"5/12/20",11736
113,"5/13/20",12216
114,"5/14/20",12674
115,"5/15/20",13169
116,"5/16/20",13666
117,"5/17/20",13945
118,"5/18/20",14208
119,"5/19/20",14576
120,"5/20/20",14906
121,"5/21/20",15348
122,"5/22/20",15624
123,"5/23/20",16053
124,"5/24/20",16377
125,"5/25/20",16575
126,"5/26/20",16864
127,"5/27/20",17318
128,"5/28/20",17877
129,"5/29/20",18472
130,"5/30/20",19258
131,"5/31/20",19936
132,"6/1/20",20129
133,"6/2/20",21264
134,"6/3/20",22356
135,"6/4/20",22886
136,"6/5/20",24439
137,"6/6/20",25451
138,"6/7/20",26989
139,"6/8/20",27678
140,"6/9/20",28296
141,"6/10/20",29852
142,"6/11/20",31267
143,"6/12/20",33039
144,"6/13/20",34660
145,"6/14/20",35706
146,"6/15/20",36844
147,"6/16/20",39185
148,"6/17/20",40937
149,"6/18/20",43445
150,"6/19/20",46910
151,"6/20/20",50127
152,"6/21/20",52591
153,"6/22/20",54599
154,"6/23/20",58378
155,"6/24/20",60190
156,"6/25/20",63281
157,"6/26/20",66659
158,"6/27/20",70124
159,"6/28/20",73920
160,"6/29/20",74545
161,"6/30/20",79228
162,"7/1/20",84105
163,"7/2/20",87445
164,"7/3/20",91872
165,"7/4/20",94567
166,"7/5/20",98103
167,"7/6/20",101455
168,"7/7/20",105094
169,"7/8/20",108614
170,"7/9/20",112671
171,"7/10/20",116892
172,"7/11/20",119930
173,"7/12/20",122467
174,"7/13/20",123824
175,"7/14/20",128097
176,"7/15/20",131354
177,"7/16/20",134613
178,"7/17/20",138523
179,"7/18/20",141265
180,"7/19/20",143624
181,"7/20/20",145183
182,"7/21/20",148683
183,"7/22/20",150609
184,"7/23/20",152944
185,"7/24/20",156301
186,"7/25/20",160041
187,"7/26/20",162014
188,"7/27/20",163827
189,"7/28/20",165934
190,"7/29/20",168273
191,"7/30/20",170798
192,"7/31/20",174010
193,"8/1/20",177002
194,"8/2/20",178467
195,"8/3/20",179497
196,"8/4/20",180505
197,"8/5/20",182203
198,"8/6/20",183656
199,"8/7/20",185053
200,"8/8/20",186107
201,"8/9/20",186923
202,"8/10/20",187523
203,"8/11/20",188737
204,"8/12/20",189443
205,"8/13/20",190794
206,"8/14/20",191721
207,"8/15/20",192654
208,"8/16/20",193537
209,"8/17/20",194005
210,"8/18/20",194920
211,"8/19/20",195557
212,"8/20/20",196280
213,"8/21/20",196899
214,"8/22/20",197895
215,"8/23/20",198103
216,"8/24/20",198414
217,"8/25/20",199273
218,"8/26/20",199459
219,"8/27/20",200139
220,"8/28/20",200658
221,"8/29/20",201287
222,"8/30/20",201661
223,"8/31/20",201835
