Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",1
51,"3/12/20",1
52,"3/13/20",4
53,"3/14/20",6
54,"3/15/20",6
55,"3/16/20",8
56,"3/17/20",16
57,"3/18/20",19
58,"3/19/20",30
59,"3/20/20",39
60,"3/21/20",45
61,"3/22/20",56
62,"3/23/20",68
63,"3/24/20",104
64,"3/25/20",119
65,"3/26/20",130
66,"3/27/20",163
67,"3/28/20",214
68,"3/29/20",232
69,"3/30/20",264
70,"3/31/20",319
71,"4/1/20",368
72,"4/2/20",393
73,"4/3/20",450
74,"4/4/20",593
75,"4/5/20",673
76,"4/6/20",783
77,"4/7/20",928
78,"4/8/20",1116
79,"4/9/20",1209
80,"4/10/20",1326
81,"4/11/20",1479
82,"4/12/20",1625
83,"4/13/20",1758
84,"4/14/20",1926
85,"4/15/20",2014
86,"4/16/20",2070
87,"4/17/20",2317
88,"4/18/20",2538
89,"4/19/20",2538
90,"4/20/20",2745
91,"4/21/20",2931
92,"4/22/20",3200
93,"4/23/20",3308
94,"4/24/20",3442
95,"4/25/20",3576
96,"4/26/20",4034
97,"4/27/20",4162
98,"4/28/20",4575
99,"4/29/20",4655
100,"4/30/20",4734
101,"5/1/20",4918
102,"5/2/20",5038
103,"5/3/20",5208
104,"5/4/20",5288
105,"5/5/20",5371
106,"5/6/20",5778
107,"5/7/20",5939
108,"5/8/20",6111
109,"5/9/20",6277
110,"5/10/20",6277
111,"5/11/20",6565
112,"5/12/20",6741
113,"5/13/20",6952
114,"5/14/20",7223
115,"5/15/20",7373
116,"5/16/20",7547
117,"5/17/20",7670
118,"5/18/20",7869
119,"5/19/20",8037
120,"5/20/20",8194
121,"5/21/20",8386
122,"5/22/20",8529
123,"5/23/20",8529
124,"5/24/20",8809
125,"5/25/20",8965
126,"5/26/20",9066
127,"5/27/20",9096
128,"5/28/20",9171
129,"5/29/20",9236
130,"5/30/20",9422
131,"5/31/20",9498
132,"6/1/20",9605
133,"6/2/20",9685
134,"6/3/20",9712
135,"6/4/20",9746
136,"6/5/20",9773
137,"6/6/20",9845
138,"6/7/20",9942
139,"6/8/20",9972
140,"6/9/20",10020
141,"6/10/20",10056
142,"6/11/20",10106
143,"6/12/20",10173
144,"6/13/20",10229
145,"6/14/20",10264
146,"6/15/20",10340
147,"6/16/20",10403
148,"6/17/20",10444
149,"6/18/20",10499
150,"6/19/20",10611
151,"6/20/20",10681
152,"6/21/20",10775
153,"6/22/20",10820
154,"6/23/20",10847
155,"6/24/20",10889
156,"6/25/20",10980
157,"6/26/20",11017
158,"6/27/20",11091
159,"6/28/20",11226
160,"6/29/20",11376
161,"6/30/20",11474
162,"7/1/20",11510
163,"7/2/20",11731
164,"7/3/20",11923
165,"7/4/20",11996
166,"7/5/20",12128
167,"7/6/20",12293
168,"7/7/20",12414
169,"7/8/20",12462
170,"7/9/20",12531
171,"7/10/20",12652
172,"7/11/20",12743
173,"7/12/20",12804
174,"7/13/20",12879
175,"7/14/20",12969
176,"7/15/20",13050
177,"7/16/20",13114
178,"7/17/20",13337
179,"7/18/20",13429
180,"7/19/20",13519
181,"7/20/20",13624
182,"7/21/20",13746
183,"7/22/20",13792
184,"7/23/20",13924
185,"7/24/20",14202
186,"7/25/20",14175
187,"7/26/20",14290
188,"7/27/20",14406
189,"7/28/20",14476
190,"7/29/20",14602
191,"7/30/20",14689
192,"7/31/20",14788
193,"8/1/20",14877
194,"8/2/20",14949
195,"8/3/20",15055
196,"8/4/20",15137
197,"8/5/20",15296
198,"8/6/20",15365
199,"8/7/20",15445
200,"8/8/20",15502
201,"8/9/20",15575
202,"8/10/20",15634
203,"8/11/20",15699
204,"8/12/20",15765
205,"8/13/20",15967
206,"8/14/20",16340
207,"8/15/20",16396
208,"8/16/20",16451
209,"8/17/20",16536
210,"8/18/20",16593
211,"8/19/20",16643
212,"8/20/20",16718
213,"8/21/20",16770
214,"8/22/20",16828
215,"8/23/20",16895
216,"8/24/20",16942
217,"8/25/20",16962
218,"8/26/20",16986
219,"8/27/20",16976
220,"8/28/20",17083
221,"8/29/20",17349
222,"8/30/20",17343
223,"8/31/20",17429
224,"9/1/20",17535
