Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",20
56,"3/17/20",21
57,"3/18/20",21
58,"3/19/20",22
59,"3/20/20",23
60,"3/21/20",23
61,"3/22/20",30
62,"3/23/20",28
63,"3/24/20",28
64,"3/25/20",28
65,"3/26/20",28
66,"3/27/20",28
67,"3/28/20",103
68,"3/29/20",103
69,"3/30/20",103
70,"3/31/20",103
71,"4/1/20",103
72,"4/2/20",103
73,"4/3/20",103
74,"4/4/20",103
75,"4/5/20",103
76,"4/6/20",103
77,"4/7/20",103
78,"4/8/20",103
79,"4/9/20",103
80,"4/10/20",103
81,"4/11/20",103
82,"4/12/20",103
83,"4/13/20",103
84,"4/14/20",103
85,"4/15/20",103
86,"4/16/20",103
87,"4/17/20",103
88,"4/18/20",103
89,"4/19/20",103
90,"4/20/20",103
91,"4/21/20",103
92,"4/22/20",103
93,"4/23/20",103
94,"4/24/20",103
95,"4/25/20",103
96,"4/26/20",103
97,"4/27/20",103
98,"4/28/20",103
99,"4/29/20",103
100,"4/30/20",103
101,"5/1/20",103
102,"5/2/20",103
103,"5/3/20",103
104,"5/4/20",103
105,"5/5/20",103
106,"5/6/20",103
107,"5/7/20",103
108,"5/8/20",103
109,"5/9/20",103
110,"5/10/20",103
111,"5/11/20",103
112,"5/12/20",103
113,"5/13/20",103
114,"5/14/20",103
115,"5/15/20",103
116,"5/16/20",103
117,"5/17/20",103
118,"5/18/20",103
119,"5/19/20",103
120,"5/20/20",103
121,"5/21/20",103
122,"5/22/20",103
123,"5/23/20",103
124,"5/24/20",103
125,"5/25/20",103
126,"5/26/20",103
127,"5/27/20",103
128,"5/28/20",103
129,"5/29/20",103
130,"5/30/20",103
131,"5/31/20",103
132,"6/1/20",103
133,"6/2/20",103
134,"6/3/20",103
135,"6/4/20",103
136,"6/5/20",103
137,"6/6/20",103
138,"6/7/20",103
139,"6/8/20",103
140,"6/9/20",103
141,"6/10/20",103
142,"6/11/20",103
143,"6/12/20",103
144,"6/13/20",103
145,"6/14/20",103
146,"6/15/20",103
147,"6/16/20",103
148,"6/17/20",103
149,"6/18/20",103
150,"6/19/20",103
151,"6/20/20",103
152,"6/21/20",103
153,"6/22/20",103
154,"6/23/20",103
155,"6/24/20",103
156,"6/25/20",103
157,"6/26/20",103
158,"6/27/20",103
159,"6/28/20",103
160,"6/29/20",103
161,"6/30/20",103
162,"7/1/20",103
163,"7/2/20",103
164,"7/3/20",103
165,"7/4/20",103
166,"7/5/20",103
167,"7/6/20",103
168,"7/7/20",103
169,"7/8/20",103
170,"7/9/20",103
171,"7/10/20",103
172,"7/11/20",103
173,"7/12/20",103
174,"7/13/20",103
175,"7/14/20",103
176,"7/15/20",103
177,"7/16/20",103
178,"7/17/20",103
179,"7/18/20",103
180,"7/19/20",103
181,"7/20/20",103
182,"7/21/20",103
183,"7/22/20",103
184,"7/23/20",103
185,"7/24/20",103
186,"7/25/20",103
187,"7/26/20",103
188,"7/27/20",103
189,"7/28/20",103
190,"7/29/20",103
191,"7/30/20",103
192,"7/31/20",103
193,"8/1/20",103
194,"8/2/20",103
195,"8/3/20",103
196,"8/4/20",103
197,"8/5/20",103
198,"8/6/20",103
199,"8/7/20",103
200,"8/8/20",103
201,"8/9/20",103
202,"8/10/20",103
203,"8/11/20",103
204,"8/12/20",103
205,"8/13/20",103
206,"8/14/20",103
207,"8/15/20",103
208,"8/16/20",103
209,"8/17/20",103
210,"8/18/20",103
211,"8/19/20",103
212,"8/20/20",103
213,"8/21/20",103
214,"8/22/20",103
215,"8/23/20",103
216,"8/24/20",103
217,"8/25/20",103
218,"8/26/20",103
219,"8/27/20",103
220,"8/28/20",103
221,"8/29/20",103
222,"8/30/20",103
223,"8/31/20",103
224,"9/1/20",103
225,"9/2/20",103
226,"9/3/20",103
227,"9/4/20",103
228,"9/5/20",103
229,"9/6/20",103
230,"9/7/20",103
231,"9/8/20",103
232,"9/9/20",103
233,"9/10/20",103
234,"9/11/20",103
235,"9/12/20",103
236,"9/13/20",103
237,"9/14/20",103
