Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",3
56,"3/17/20",3
57,"3/18/20",5
58,"3/19/20",12
59,"3/20/20",14
60,"3/21/20",15
61,"3/22/20",27
62,"3/23/20",29
63,"3/24/20",32
64,"3/25/20",37
65,"3/26/20",45
66,"3/27/20",51
67,"3/28/20",55
68,"3/29/20",56
69,"3/30/20",58
70,"3/31/20",69
71,"4/1/20",77
72,"4/2/20",82
73,"4/3/20",84
74,"4/4/20",93
75,"4/5/20",112
76,"4/6/20",113
77,"4/7/20",121
78,"4/8/20",121
79,"4/9/20",128
80,"4/10/20",130
81,"4/11/20",133
82,"4/12/20",133
83,"4/13/20",133
84,"4/14/20",133
85,"4/15/20",135
86,"4/16/20",135
87,"4/17/20",136
88,"4/18/20",136
89,"4/19/20",136
90,"4/20/20",136
91,"4/21/20",136
92,"4/22/20",136
93,"4/23/20",139
94,"4/24/20",141
95,"4/25/20",141
96,"4/26/20",141
97,"4/27/20",141
98,"4/28/20",141
99,"4/29/20",141
100,"4/30/20",145
101,"5/1/20",145
102,"5/2/20",145
103,"5/3/20",145
104,"5/4/20",145
105,"5/5/20",145
106,"5/6/20",149
107,"5/7/20",149
108,"5/8/20",151
109,"5/9/20",151
110,"5/10/20",151
111,"5/11/20",151
112,"5/12/20",152
113,"5/13/20",152
114,"5/14/20",152
115,"5/15/20",154
116,"5/16/20",154
117,"5/17/20",154
118,"5/18/20",154
119,"5/19/20",154
120,"5/20/20",154
121,"5/21/20",165
122,"5/22/20",165
123,"5/23/20",165
124,"5/24/20",166
125,"5/25/20",166
126,"5/26/20",167
127,"5/27/20",170
128,"5/28/20",171
129,"5/29/20",172
130,"5/30/20",172
131,"5/31/20",172
132,"6/1/20",175
133,"6/2/20",175
134,"6/3/20",177
135,"6/4/20",179
136,"6/5/20",179
137,"6/6/20",179
138,"6/7/20",179
139,"6/8/20",179
140,"6/9/20",180
141,"6/10/20",180
142,"6/11/20",183
143,"6/12/20",183
144,"6/13/20",183
145,"6/14/20",183
146,"6/15/20",185
147,"6/16/20",186
148,"6/17/20",188
149,"6/18/20",192
150,"6/19/20",200
151,"6/20/20",222
152,"6/21/20",222
153,"6/22/20",222
154,"6/23/20",225
155,"6/24/20",226
156,"6/25/20",231
157,"6/26/20",247
158,"6/27/20",247
159,"6/28/20",247
160,"6/29/20",253
161,"6/30/20",257
162,"7/1/20",267
163,"7/2/20",280
164,"7/3/20",280
165,"7/4/20",280
166,"7/5/20",280
167,"7/6/20",301
168,"7/7/20",303
169,"7/8/20",307
170,"7/9/20",309
171,"7/10/20",310
172,"7/11/20",312
173,"7/12/20",312
174,"7/13/20",312
175,"7/14/20",312
176,"7/15/20",313
177,"7/16/20",314
178,"7/17/20",314
179,"7/18/20",315
180,"7/19/20",315
181,"7/20/20",319
182,"7/21/20",327
183,"7/22/20",330
184,"7/23/20",332
185,"7/24/20",337
186,"7/25/20",337
187,"7/26/20",337
188,"7/27/20",349
189,"7/28/20",351
190,"7/29/20",354
191,"7/30/20",356
192,"7/31/20",356
193,"8/1/20",359
194,"8/2/20",368
195,"8/3/20",375
196,"8/4/20",389
197,"8/5/20",397
198,"8/6/20",411
199,"8/7/20",411
200,"8/8/20",412
201,"8/9/20",418
202,"8/10/20",418
203,"8/11/20",434
204,"8/12/20",449
205,"8/13/20",477
206,"8/14/20",502
207,"8/15/20",516
208,"8/16/20",516
209,"8/17/20",558
210,"8/18/20",577
211,"8/19/20",599
212,"8/20/20",704
213,"8/21/20",767
214,"8/22/20",767
215,"8/23/20",820
216,"8/24/20",907
217,"8/25/20",984
218,"8/26/20",1120
219,"8/27/20",1232
220,"8/28/20",1287
221,"8/29/20",1347
222,"8/30/20",1347
223,"8/31/20",1395
224,"9/1/20",1447
225,"9/2/20",1494
226,"9/3/20",1560
227,"9/4/20",1619
228,"9/5/20",1671
229,"9/6/20",1671
230,"9/7/20",1671
231,"9/8/20",1713
232,"9/9/20",1758
233,"9/10/20",1846
234,"9/11/20",1863
235,"9/12/20",1891
236,"9/13/20",1891
