Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",1
4,"1/25/20",1
5,"1/26/20",1
6,"1/27/20",1
7,"1/28/20",1
8,"1/29/20",1
9,"1/30/20",1
10,"1/31/20",2
11,"2/1/20",2
12,"2/2/20",2
13,"2/3/20",2
14,"2/4/20",2
15,"2/5/20",2
16,"2/6/20",2
17,"2/7/20",2
18,"2/8/20",2
19,"2/9/20",2
20,"2/10/20",2
21,"2/11/20",2
22,"2/12/20",2
23,"2/13/20",2
24,"2/14/20",2
25,"2/15/20",2
26,"2/16/20",2
27,"2/17/20",2
28,"2/18/20",2
29,"2/19/20",2
30,"2/20/20",2
31,"2/21/20",2
32,"2/22/20",2
33,"2/23/20",2
34,"2/24/20",2
35,"2/25/20",2
36,"2/26/20",2
37,"2/27/20",2
38,"2/28/20",2
39,"2/29/20",2
40,"3/1/20",3
41,"3/2/20",4
42,"3/3/20",4
43,"3/4/20",4
44,"3/5/20",5
45,"3/6/20",5
46,"3/7/20",6
47,"3/8/20",7
48,"3/9/20",7
49,"3/10/20",12
50,"3/11/20",25
51,"3/12/20",32
52,"3/13/20",46
53,"3/14/20",64
54,"3/15/20",66
55,"3/16/20",83
56,"3/17/20",161
57,"3/18/20",272
58,"3/19/20",422
59,"3/20/20",585
60,"3/21/20",753
61,"3/22/20",1049
62,"3/23/20",1285
63,"3/24/20",1537
64,"3/25/20",1865
65,"3/26/20",2538
66,"3/27/20",3024
67,"3/28/20",3491
68,"3/29/20",4596
69,"3/30/20",5056
70,"3/31/20",5994
71,"4/1/20",6980
72,"4/2/20",7695
73,"4/3/20",8904
74,"4/4/20",10357
75,"4/5/20",11259
76,"4/6/20",12262
77,"4/7/20",13553
78,"4/8/20",15078
79,"4/9/20",16422
80,"4/10/20",17887
81,"4/11/20",19180
82,"4/12/20",20852
83,"4/13/20",22025
84,"4/14/20",23248
85,"4/15/20",24593
86,"4/16/20",25734
87,"4/17/20",27578
88,"4/18/20",29160
89,"4/19/20",30357
90,"4/20/20",31513
91,"4/21/20",33059
92,"4/22/20",35107
93,"4/23/20",36937
94,"4/24/20",39658
95,"4/25/20",41777
96,"4/26/20",43903
97,"4/27/20",45883
98,"4/28/20",48102
99,"4/29/20",50358
100,"4/30/20",52918
101,"5/1/20",56055
102,"5/2/20",58505
103,"5/3/20",61499
104,"5/4/20",63777
105,"5/5/20",65889
106,"5/6/20",68164
107,"5/7/20",70800
108,"5/8/20",73688
109,"5/9/20",76008
110,"5/10/20",77662
111,"5/11/20",78923
112,"5/12/20",82935
113,"5/13/20",84612
114,"5/14/20",87851
115,"5/15/20",90283
116,"5/16/20",92374
117,"5/17/20",94107
118,"5/18/20",96398
119,"5/19/20",97943
120,"5/20/20",100329
121,"5/21/20",102597
122,"5/22/20",105332
123,"5/23/20",107670
124,"5/24/20",110154
125,"5/25/20",111853
126,"5/26/20",113018
127,"5/27/20",114101
128,"5/28/20",115650
129,"5/29/20",117336
130,"5/30/20",118799
131,"5/31/20",120142
132,"6/1/20",121116
133,"6/2/20",122733
134,"6/3/20",123710
135,"6/4/20",124640
136,"6/5/20",125799
137,"6/6/20",126775
138,"6/7/20",127644
139,"6/8/20",128301
140,"6/9/20",129094
141,"6/10/20",129722
142,"6/11/20",130485
143,"6/12/20",131087
144,"6/13/20",131753
145,"6/14/20",132424
146,"6/15/20",132902
147,"6/16/20",133528
148,"6/17/20",134127
149,"6/18/20",134772
150,"6/19/20",135463
151,"6/20/20",136095
152,"6/21/20",136752
153,"6/22/20",137218
154,"6/23/20",137818
155,"6/24/20",138539
156,"6/25/20",139434
157,"6/26/20",140290
158,"6/27/20",141077
159,"6/28/20",141723
160,"6/29/20",142460
161,"6/30/20",143184
162,"7/1/20",144012
163,"7/2/20",144881
164,"7/3/20",145750
165,"7/4/20",146612
166,"7/5/20",147251
167,"7/6/20",147862
168,"7/7/20",149574
169,"7/8/20",150553
170,"7/9/20",151571
171,"7/10/20",152897
172,"7/11/20",154094
173,"7/12/20",155048
174,"7/13/20",155928
175,"7/14/20",156635
176,"7/15/20",157824
177,"7/16/20",159081
178,"7/17/20",160505
179,"7/18/20",161785
180,"7/19/20",162749
181,"7/20/20",163919
182,"7/21/20",164862
183,"7/22/20",166472
184,"7/23/20",168096
185,"7/24/20",169695
186,"7/25/20",171121
187,"7/26/20",172663
188,"7/27/20",173890
189,"7/28/20",174968
190,"7/29/20",176361
191,"7/30/20",178132
192,"7/31/20",180112
193,"8/1/20",181753
194,"8/2/20",183224
195,"8/3/20",184522
196,"8/4/20",185993
197,"8/5/20",187750
198,"8/6/20",189705
199,"8/7/20",191808
200,"8/8/20",193998
201,"8/9/20",195380
202,"8/10/20",196699
203,"8/11/20",198247
204,"8/12/20",199893
205,"8/13/20",201724
206,"8/14/20",204022
207,"8/15/20",205851
208,"8/16/20",207412
209,"8/17/20",209183
210,"8/18/20",210923
211,"8/19/20",213218
212,"8/20/20",215049
213,"8/21/20",217345
214,"8/22/20",219701
215,"8/23/20",221594
216,"8/24/20",223205
217,"8/25/20",224886
218,"8/26/20",227043
219,"8/27/20",228748
220,"8/28/20",231184
221,"8/29/20",233064
222,"8/30/20",235056
223,"8/31/20",236722
