Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",4
49,"3/10/20",5
50,"3/11/20",8
51,"3/12/20",10
52,"3/13/20",14
53,"3/14/20",16
54,"3/15/20",18
55,"3/16/20",21
56,"3/17/20",26
57,"3/18/20",28
58,"3/19/20",50
59,"3/20/20",64
60,"3/21/20",87
61,"3/22/20",103
62,"3/23/20",123
63,"3/24/20",162
64,"3/25/20",197
65,"3/26/20",247
66,"3/27/20",301
67,"3/28/20",380
68,"3/29/20",438
69,"3/30/20",479
70,"3/31/20",628
71,"4/1/20",632
72,"4/2/20",770
73,"4/3/20",770
74,"4/4/20",917
75,"4/5/20",955
76,"4/6/20",955
77,"4/7/20",1149
78,"4/8/20",1149
79,"4/9/20",1341
80,"4/10/20",1693
81,"4/11/20",1693
82,"4/12/20",1963
83,"4/13/20",2018
84,"4/14/20",2048
85,"4/15/20",2210
86,"4/16/20",2435
87,"4/17/20",2522
88,"4/18/20",2707
89,"4/19/20",2960
90,"4/20/20",3050
91,"4/21/20",3204
92,"4/22/20",3378
93,"4/23/20",3479
94,"4/24/20",3779
95,"4/25/20",3915
96,"4/26/20",4085
97,"4/27/20",4156
98,"4/28/20",4375
99,"4/29/20",4537
100,"4/30/20",4708
101,"5/1/20",4882
102,"5/2/20",4879
103,"5/3/20",5130
104,"5/4/20",5245
105,"5/5/20",5822
106,"5/6/20",5934
107,"5/7/20",6129
108,"5/8/20",6288
109,"5/9/20",6440
110,"5/10/20",6440
111,"5/11/20",6677
112,"5/12/20",6853
113,"5/13/20",6853
114,"5/14/20",7225
115,"5/15/20",7444
116,"5/16/20",7688
117,"5/17/20",7688
118,"5/18/20",7935
119,"5/19/20",8069
120,"5/20/20",8167
121,"5/21/20",8286
122,"5/22/20",8426
123,"5/23/20",8571
124,"5/24/20",8571
125,"5/25/20",8571
126,"5/26/20",8951
127,"5/27/20",9077
128,"5/28/20",9185
129,"5/29/20",9464
130,"5/30/20",9704
131,"5/31/20",9704
132,"6/1/20",10046
133,"6/2/20",10185
134,"6/3/20",10410
135,"6/4/20",10705
136,"6/5/20",10977
137,"6/6/20",11287
138,"6/7/20",11287
139,"6/8/20",11476
140,"6/9/20",11707
141,"6/10/20",11883
142,"6/11/20",11945
143,"6/12/20",12166
144,"6/13/20",12445
145,"6/14/20",12445
146,"6/15/20",12647
147,"6/16/20",12647
148,"6/17/20",12995
149,"6/18/20",13197
150,"6/19/20",13454
151,"6/20/20",13630
152,"6/21/20",13750
153,"6/22/20",13839
154,"6/23/20",14141
155,"6/24/20",14363
156,"6/25/20",14617
157,"6/26/20",14859
158,"6/27/20",15167
159,"6/28/20",15232
160,"6/29/20",15347
161,"6/30/20",15624
162,"7/1/20",15842
163,"7/2/20",16079
164,"7/3/20",16376
165,"7/4/20",16376
166,"7/5/20",16376
167,"7/6/20",17152
168,"7/7/20",17519
169,"7/8/20",17919
170,"7/9/20",18245
171,"7/10/20",18672
172,"7/11/20",19121
173,"7/12/20",19389
174,"7/13/20",19653
175,"7/14/20",20223
176,"7/15/20",20677
177,"7/16/20",21083
178,"7/17/20",21605
179,"7/18/20",22184
180,"7/19/20",23161
181,"7/20/20",23414
182,"7/21/20",24060
183,"7/22/20",24540
184,"7/23/20",25147
185,"7/24/20",25932
186,"7/25/20",26764
187,"7/26/20",27082
188,"7/27/20",27586
189,"7/28/20",28111
190,"7/29/20",28727
191,"7/30/20",29386
192,"7/31/20",30151
193,"8/1/20",30723
194,"8/2/20",31185
195,"8/3/20",31508
196,"8/4/20",32197
197,"8/5/20",32741
198,"8/6/20",33254
199,"8/7/20",33796
200,"8/8/20",34578
201,"8/9/20",34982
202,"8/10/20",35254
203,"8/11/20",35793
204,"8/12/20",36945
205,"8/13/20",37686
206,"8/14/20",38298
207,"8/15/20",38930
208,"8/16/20",38930
209,"8/17/20",39691
210,"8/18/20",40299
211,"8/19/20",40926
212,"8/20/20",41626
213,"8/21/20",42265
214,"8/22/20",43066
215,"8/23/20",43066
216,"8/24/20",43898
217,"8/25/20",44568
218,"8/26/20",45230
219,"8/27/20",45978
220,"8/28/20",46757
221,"8/29/20",47577
222,"8/30/20",48031
223,"8/31/20",48396
224,"9/1/20",49185
