Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",3
46,"3/7/20",3
47,"3/8/20",5
48,"3/9/20",5
49,"3/10/20",8
50,"3/11/20",9
51,"3/12/20",12
52,"3/13/20",18
53,"3/14/20",27
54,"3/15/20",24
55,"3/16/20",42
56,"3/17/20",60
57,"3/18/20",85
58,"3/19/20",107
59,"3/20/20",149
60,"3/21/20",193
61,"3/22/20",244
62,"3/23/20",290
63,"3/24/20",349
64,"3/25/20",425
65,"3/26/20",583
66,"3/27/20",775
67,"3/28/20",995
68,"3/29/20",1239
69,"3/30/20",1413
70,"3/31/20",1660
71,"4/1/20",1986
72,"4/2/20",2331
73,"4/3/20",2758
74,"4/4/20",3125
75,"4/5/20",3617
76,"4/6/20",4045
77,"4/7/20",4371
78,"4/8/20",5529
79,"4/9/20",6185
80,"4/10/20",6968
81,"4/11/20",7694
82,"4/12/20",8225
83,"4/13/20",8936
84,"4/14/20",9472
85,"4/15/20",10032
86,"4/16/20",10784
87,"4/17/20",11572
88,"4/18/20",12326
89,"4/19/20",12847
90,"4/20/20",13684
91,"4/21/20",14193
92,"4/22/20",14775
93,"4/23/20",15737
94,"4/24/20",16616
95,"4/25/20",17766
96,"4/26/20",18581
97,"4/27/20",19487
98,"4/28/20",20113
99,"4/29/20",20849
100,"4/30/20",21742
101,"5/1/20",23472
102,"5/2/20",24473
103,"5/3/20",25462
104,"5/4/20",26408
105,"5/5/20",27117
106,"5/6/20",28163
107,"5/7/20",29374
108,"5/8/20",30485
109,"5/9/20",31534
110,"5/10/20",32587
111,"5/11/20",33373
112,"5/12/20",34061
113,"5/13/20",34812
114,"5/14/20",35903
115,"5/15/20",36986
116,"5/16/20",37968
117,"5/17/20",38804
118,"5/18/20",39762
119,"5/19/20",41546
120,"5/20/20",42323
121,"5/21/20",43531
122,"5/22/20",44424
123,"5/23/20",45495
124,"5/24/20",46313
125,"5/25/20",47152
126,"5/26/20",47687
127,"5/27/20",48423
128,"5/28/20",49709
129,"5/29/20",50988
130,"5/30/20",52015
131,"5/31/20",52778
132,"6/1/20",53327
133,"6/2/20",54175
134,"6/3/20",54982
135,"6/4/20",55858
136,"6/5/20",56770
137,"6/6/20",57482
138,"6/7/20",57973
139,"6/8/20",58404
140,"6/9/20",58904
141,"6/10/20",59465
142,"6/11/20",60197
143,"6/12/20",60613
144,"6/13/20",61305
145,"6/14/20",61701
146,"6/15/20",62032
147,"6/16/20",62409
148,"6/17/20",62969
149,"6/18/20",63229
150,"6/19/20",63548
151,"6/20/20",63956
152,"6/21/20",64306
153,"6/22/20",64603
154,"6/23/20",65007
155,"6/24/20",65337
156,"6/25/20",65777
157,"6/26/20",66115
158,"6/27/20",66450
159,"6/28/20",66777
160,"6/29/20",67254
161,"6/30/20",67559
162,"7/1/20",67918
163,"7/2/20",68423
164,"7/3/20",68961
165,"7/4/20",69341
166,"7/5/20",69632
167,"7/6/20",69904
168,"7/7/20",70396
169,"7/8/20",70861
170,"7/9/20",71447
171,"7/10/20",71910
172,"7/11/20",72467
173,"7/12/20",73109
174,"7/13/20",73527
175,"7/14/20",74260
176,"7/15/20",75016
177,"7/16/20",75664
178,"7/17/20",76371
179,"7/18/20",77206
180,"7/19/20",78131
181,"7/20/20",78685
182,"7/21/20",79545
183,"7/22/20",80172
184,"7/23/20",80836
185,"7/24/20",81766
186,"7/25/20",83054
187,"7/26/20",83748
188,"7/27/20",84876
189,"7/28/20",85524
190,"7/29/20",86285
191,"7/30/20",87177
192,"7/31/20",88346
193,"8/1/20",89365
194,"8/2/20",90274
195,"8/3/20",91144
196,"8/4/20",91854
197,"8/5/20",92426
198,"8/6/20",93005
199,"8/7/20",93806
200,"8/8/20",94581
201,"8/9/20",95503
202,"8/10/20",96258
203,"8/11/20",96843
204,"8/12/20",97384
205,"8/13/20",98160
206,"8/14/20",98875
207,"8/15/20",99693
208,"8/16/20",100212
209,"8/17/20",100715
210,"8/18/20",101235
211,"8/19/20",101649
212,"8/20/20",102229
213,"8/21/20",102899
214,"8/22/20",103523
215,"8/23/20",104102
216,"8/24/20",104669
217,"8/25/20",105046
218,"8/26/20",105486
219,"8/27/20",106063
220,"8/28/20",106664
221,"8/29/20",107294
222,"8/30/20",107791
223,"8/31/20",108249
