Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",1
43,"3/4/20",1
44,"3/5/20",1
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",2
48,"3/9/20",2
49,"3/10/20",2
50,"3/11/20",2
51,"3/12/20",2
52,"3/13/20",6
53,"3/14/20",7
54,"3/15/20",8
55,"3/16/20",13
56,"3/17/20",22
57,"3/18/20",35
58,"3/19/20",58
59,"3/20/20",103
60,"3/21/20",118
61,"3/22/20",165
62,"3/23/20",275
63,"3/24/20",348
64,"3/25/20",446
65,"3/26/20",657
66,"3/27/20",834
67,"3/28/20",977
68,"3/29/20",1067
69,"3/30/20",1415
70,"3/31/20",1674
71,"4/1/20",1924
72,"4/2/20",2140
73,"4/3/20",2277
74,"4/4/20",2629
75,"4/5/20",2718
76,"4/6/20",3147
77,"4/7/20",3443
78,"4/8/20",3625
79,"4/9/20",3852
80,"4/10/20",4249
81,"4/11/20",4456
82,"4/12/20",4564
83,"4/13/20",4759
84,"4/14/20",4932
85,"4/15/20",5070
86,"4/16/20",5376
87,"4/17/20",5596
88,"4/18/20",5784
89,"4/19/20",5920
90,"4/20/20",6083
91,"4/21/20",6312
92,"4/22/20",6516
93,"4/23/20",6787
94,"4/24/20",7022
95,"4/25/20",7185
96,"4/26/20",7347
97,"4/27/20",7515
98,"4/28/20",7656
99,"4/29/20",7861
100,"4/30/20",8090
101,"5/1/20",8406
102,"5/2/20",8619
103,"5/3/20",8789
104,"5/4/20",9069
105,"5/5/20",9277
106,"5/6/20",9532
107,"5/7/20",9723
108,"5/8/20",9858
109,"5/9/20",10014
110,"5/10/20",10113
111,"5/11/20",10227
112,"5/12/20",10354
113,"5/13/20",10549
114,"5/14/20",10714
115,"5/15/20",10925
116,"5/16/20",11087
117,"5/17/20",11194
118,"5/18/20",11339
119,"5/19/20",11470
120,"5/20/20",11659
121,"5/21/20",11811
122,"5/22/20",12025
123,"5/23/20",12170
124,"5/24/20",12397
125,"5/25/20",12525
126,"5/26/20",12703
127,"5/27/20",12865
128,"5/28/20",13073
129,"5/29/20",13231
130,"5/30/20",13395
131,"5/31/20",13555
132,"6/1/20",13780
133,"6/2/20",14055
134,"6/3/20",14308
135,"6/4/20",14585
136,"6/5/20",14748
137,"6/6/20",15033
138,"6/7/20",15126
139,"6/8/20",15326
140,"6/9/20",15531
141,"6/10/20",15727
142,"6/11/20",15931
143,"6/12/20",15981
144,"6/13/20",16208
145,"6/14/20",16247
146,"6/15/20",16597
147,"6/16/20",16862
148,"6/17/20",17076
149,"6/18/20",17386
150,"6/19/20",17689
151,"6/20/20",18099
152,"6/21/20",18528
153,"6/22/20",18717
154,"6/23/20",19167
155,"6/24/20",19499
156,"6/25/20",19985
157,"6/26/20",20503
158,"6/27/20",20856
159,"6/28/20",21056
160,"6/29/20",21608
161,"6/30/20",22121
162,"7/1/20",22473
163,"7/2/20",23029
164,"7/3/20",23584
165,"7/4/20",24037
166,"7/5/20",24300
167,"7/6/20",24748
168,"7/7/20",25509
169,"7/8/20",26258
170,"7/9/20",27042
171,"7/10/20",27716
172,"7/11/20",28262
173,"7/12/20",28551
174,"7/13/20",29012
175,"7/14/20",29970
176,"7/15/20",30778
177,"7/16/20",31604
178,"7/17/20",32494
179,"7/18/20",33428
180,"7/19/20",34219
181,"7/20/20",34852
182,"7/21/20",35946
183,"7/22/20",37224
184,"7/23/20",38757
185,"7/24/20",40341
186,"7/25/20",41696
187,"7/26/20",42849
188,"7/27/20",44129
189,"7/28/20",45827
190,"7/29/20",47558
191,"7/30/20",49638
192,"7/31/20",51091
193,"8/1/20",52101
194,"8/2/20",52659
195,"8/3/20",53720
196,"8/4/20",54933
197,"8/5/20",56075
198,"8/6/20",57142
199,"8/7/20",58221
200,"8/8/20",58361
201,"8/9/20",59701
202,"8/10/20",60712
203,"8/11/20",61792
204,"8/12/20",63294
205,"8/13/20",64755
206,"8/14/20",66122
207,"8/15/20",67292
208,"8/16/20",68459
209,"8/17/20",69514
210,"8/18/20",70350
211,"8/19/20",71605
212,"8/20/20",72671
213,"8/21/20",73929
214,"8/22/20",75235
215,"8/23/20",76043
216,"8/24/20",76845
217,"8/25/20",77640
218,"8/26/20",78992
219,"8/27/20",80484
220,"8/28/20",81952
221,"8/29/20",83445
222,"8/30/20",84706
223,"8/31/20",85873
