Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",1
53,"3/14/20",5
54,"3/15/20",6
55,"3/16/20",6
56,"3/17/20",8
57,"3/18/20",10
58,"3/19/20",11
59,"3/20/20",20
60,"3/21/20",27
61,"3/22/20",34
62,"3/23/20",34
63,"3/24/20",51
64,"3/25/20",65
65,"3/26/20",90
66,"3/27/20",109
67,"3/28/20",129
68,"3/29/20",154
69,"3/30/20",171
70,"3/31/20",198
71,"4/1/20",208
72,"4/2/20",241
73,"4/3/20",243
74,"4/4/20",265
75,"4/5/20",286
76,"4/6/20",299
77,"4/7/20",319
78,"4/8/20",332
79,"4/9/20",354
80,"4/10/20",365
81,"4/11/20",377
82,"4/12/20",387
83,"4/13/20",394
84,"4/14/20",399
85,"4/15/20",404
86,"4/16/20",415
87,"4/17/20",422
88,"4/18/20",426
89,"4/19/20",433
90,"4/20/20",433
91,"4/21/20",437
92,"4/22/20",439
93,"4/23/20",442
94,"4/24/20",444
95,"4/25/20",445
96,"4/26/20",448
97,"4/27/20",449
98,"4/28/20",451
99,"4/29/20",451
100,"4/30/20",453
101,"5/1/20",453
102,"5/2/20",455
103,"5/3/20",455
104,"5/4/20",457
105,"5/5/20",456
106,"5/6/20",456
107,"5/7/20",456
108,"5/8/20",458
109,"5/9/20",458
110,"5/10/20",458
111,"5/11/20",459
112,"5/12/20",461
113,"5/13/20",462
114,"5/14/20",462
115,"5/15/20",466
116,"5/16/20",468
117,"5/17/20",468
118,"5/18/20",470
119,"5/19/20",471
120,"5/20/20",478
121,"5/21/20",479
122,"5/22/20",479
123,"5/23/20",479
124,"5/24/20",479
125,"5/25/20",479
126,"5/26/20",479
127,"5/27/20",481
128,"5/28/20",485
129,"5/29/20",493
130,"5/30/20",505
131,"5/31/20",515
132,"6/1/20",519
133,"6/2/20",523
134,"6/3/20",525
135,"6/4/20",539
136,"6/5/20",541
137,"6/6/20",540
138,"6/7/20",545
139,"6/8/20",548
140,"6/9/20",554
141,"6/10/20",561
142,"6/11/20",563
143,"6/12/20",573
144,"6/13/20",588
145,"6/14/20",601
146,"6/15/20",609
147,"6/16/20",614
148,"6/17/20",630
149,"6/18/20",655
150,"6/19/20",666
151,"6/20/20",698
152,"6/21/20",717
153,"6/22/20",734
154,"6/23/20",743
155,"6/24/20",766
156,"6/25/20",803
157,"6/26/20",829
158,"6/27/20",852
159,"6/28/20",863
160,"6/29/20",919
161,"6/30/20",967
162,"7/1/20",1016
163,"7/2/20",1083
164,"7/3/20",1128
165,"7/4/20",1167
166,"7/5/20",1212
167,"7/6/20",1249
168,"7/7/20",1327
169,"7/8/20",1371
170,"7/9/20",1466
171,"7/10/20",1593
172,"7/11/20",1677
173,"7/12/20",1758
174,"7/13/20",1843
175,"7/14/20",1952
176,"7/15/20",2096
177,"7/16/20",2231
178,"7/17/20",2366
179,"7/18/20",2471
180,"7/19/20",2533
181,"7/20/20",2620
182,"7/21/20",2711
183,"7/22/20",2812
184,"7/23/20",2909
185,"7/24/20",3038
186,"7/25/20",3259
187,"7/26/20",3341
188,"7/27/20",3380
189,"7/28/20",3474
190,"7/29/20",3676
191,"7/30/20",3814
192,"7/31/20",3965
193,"8/1/20",4081
194,"8/2/20",4193
195,"8/3/20",4233
196,"8/4/20",4314
197,"8/5/20",4429
198,"8/6/20",4602
199,"8/7/20",4757
200,"8/8/20",4889
201,"8/9/20",4952
202,"8/10/20",5017
203,"8/11/20",5104
204,"8/12/20",5268
205,"8/13/20",5407
206,"8/14/20",5541
207,"8/15/20",5659
208,"8/16/20",5750
209,"8/17/20",5792
210,"8/18/20",5846
211,"8/19/20",5956
212,"8/20/20",6072
213,"8/21/20",6216
214,"8/22/20",6376
215,"8/23/20",6429
216,"8/24/20",6489
217,"8/25/20",6624
218,"8/26/20",6785
219,"8/27/20",6929
220,"8/28/20",7063
221,"8/29/20",7251
222,"8/30/20",7340
223,"8/31/20",7421
224,"9/1/20",7509
225,"9/2/20",7691
226,"9/3/20",7871
227,"9/4/20",8019
228,"9/5/20",8164
229,"9/6/20",8264
230,"9/7/20",8316
231,"9/8/20",8381
