Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",3
49,"3/10/20",3
50,"3/11/20",5
51,"3/12/20",10
52,"3/13/20",14
53,"3/14/20",18
54,"3/15/20",17
55,"3/16/20",18
56,"3/17/20",23
57,"3/18/20",24
58,"3/19/20",29
59,"3/20/20",37
60,"3/21/20",38
61,"3/22/20",51
62,"3/23/20",51
63,"3/24/20",66
64,"3/25/20",71
65,"3/26/20",74
66,"3/27/20",82
67,"3/28/20",96
68,"3/29/20",108
69,"3/30/20",145
70,"3/31/20",172
71,"4/1/20",210
72,"4/2/20",246
73,"4/3/20",279
74,"4/4/20",321
75,"4/5/20",364
76,"4/6/20",417
77,"4/7/20",447
78,"4/8/20",519
79,"4/9/20",568
80,"4/10/20",635
81,"4/11/20",699
82,"4/12/20",791
83,"4/13/20",814
84,"4/14/20",897
85,"4/15/20",901
86,"4/16/20",952
87,"4/17/20",1066
88,"4/18/20",1249
89,"4/19/20",1474
90,"4/20/20",1648
91,"4/21/20",1685
92,"4/22/20",1813
93,"4/23/20",2202
94,"4/24/20",2424
95,"4/25/20",2719
96,"4/26/20",3030
97,"4/27/20",3358
98,"4/28/20",3517
99,"4/29/20",3851
100,"4/30/20",4281
101,"5/1/20",5008
102,"5/2/20",5317
103,"5/3/20",5661
104,"5/4/20",6037
105,"5/5/20",6373
106,"5/6/20",6689
107,"5/7/20",7334
108,"5/8/20",7818
109,"5/9/20",8093
110,"5/10/20",8171
111,"5/11/20",8407
112,"5/12/20",8532
113,"5/13/20",8912
114,"5/14/20",9260
115,"5/15/20",9610
116,"5/16/20",10220
117,"5/17/20",10177
118,"5/18/20",10625
119,"5/19/20",10854
120,"5/20/20",11122
121,"5/21/20",11427
122,"5/22/20",11662
123,"5/23/20",11963
124,"5/24/20",12134
125,"5/25/20",12362
126,"5/26/20",12619
127,"5/27/20",12984
128,"5/28/20",13249
129,"5/29/20",13648
130,"5/30/20",13905
131,"5/31/20",14101
132,"6/1/20",14345
133,"6/2/20",14616
134,"6/3/20",14885
135,"6/4/20",15139
136,"6/5/20",15406
137,"6/6/20",15572
138,"6/7/20",15664
139,"6/8/20",15786
140,"6/9/20",15918
141,"6/10/20",16058
142,"6/11/20",16315
143,"6/12/20",16522
144,"6/13/20",16640
145,"6/14/20",16730
146,"6/15/20",16851
147,"6/16/20",17038
148,"6/17/20",17231
149,"6/18/20",17414
150,"6/19/20",17588
151,"6/20/20",17707
152,"6/21/20",17812
153,"6/22/20",17963
154,"6/23/20",18099
155,"6/24/20",18221
156,"6/25/20",18346
157,"6/26/20",18524
158,"6/27/20",18775
159,"6/28/20",18899
160,"6/29/20",19042
161,"6/30/20",19177
162,"7/1/20",19310
163,"7/2/20",19452
164,"7/3/20",19660
165,"7/4/20",19827
166,"7/5/20",19929
167,"7/6/20",20046
168,"7/7/20",20201
169,"7/8/20",20425
170,"7/9/20",20623
171,"7/10/20",20777
172,"7/11/20",20998
173,"7/12/20",21172
174,"7/13/20",21399
175,"7/14/20",21717
176,"7/15/20",21979
177,"7/16/20",22134
178,"7/17/20",22361
179,"7/18/20",22481
180,"7/19/20",22583
181,"7/20/20",22847
182,"7/21/20",23190
183,"7/22/20",23486
184,"7/23/20",23818
185,"7/24/20",24174
186,"7/25/20",24395
187,"7/26/20",24618
188,"7/27/20",24899
189,"7/28/20",25157
190,"7/29/20",25422
191,"7/30/20",25766
192,"7/31/20",26211
193,"8/1/20",26391
194,"8/2/20",26702
195,"8/3/20",26956
196,"8/4/20",27178
197,"8/5/20",27489
198,"8/6/20",27821
199,"8/7/20",28104
200,"8/8/20",28245
201,"8/9/20",28432
202,"8/10/20",28696
203,"8/11/20",29030
204,"8/12/20",29244
205,"8/13/20",29660
206,"8/14/20",29988
207,"8/15/20",30241
208,"8/16/20",30372
209,"8/17/20",30563
210,"8/18/20",30825
211,"8/19/20",31040
212,"8/20/20",31348
213,"8/21/20",31626
214,"8/22/20",31780
215,"8/23/20",31889
216,"8/24/20",32047
217,"8/25/20",32348
218,"8/26/20",32727
219,"8/27/20",33101
220,"8/28/20",33436
221,"8/29/20",33753
222,"8/30/20",34046
223,"8/31/20",34287
224,"9/1/20",34574
225,"9/2/20",34995
