Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",1
45,"3/6/20",2
46,"3/7/20",2
47,"3/8/20",4
48,"3/9/20",4
49,"3/10/20",4
50,"3/11/20",7
51,"3/12/20",10
52,"3/13/20",18
53,"3/14/20",20
54,"3/15/20",20
55,"3/16/20",45
56,"3/17/20",55
57,"3/18/20",55
58,"3/19/20",95
59,"3/20/20",161
60,"3/21/20",161
61,"3/22/20",190
62,"3/23/20",245
63,"3/24/20",278
64,"3/25/20",323
65,"3/26/20",420
66,"3/27/20",536
67,"3/28/20",626
68,"3/29/20",920
69,"3/30/20",1012
70,"3/31/20",1114
71,"4/1/20",1279
72,"4/2/20",1463
73,"4/3/20",1514
74,"4/4/20",1742
75,"4/5/20",1855
76,"4/6/20",1953
77,"4/7/20",2124
78,"4/8/20",2259
79,"4/9/20",2456
80,"4/10/20",2722
81,"4/11/20",2702
82,"4/12/20",2836
83,"4/13/20",2990
84,"4/14/20",3134
85,"4/15/20",3211
86,"4/16/20",3214
87,"4/17/20",3524
88,"4/18/20",3626
89,"4/19/20",3728
90,"4/20/20",3830
91,"4/21/20",3937
92,"4/22/20",4081
93,"4/23/20",4208
94,"4/24/20",4398
95,"4/25/20",4539
96,"4/26/20",4734
97,"4/27/20",4700
98,"4/28/20",4821
99,"4/29/20",4934
100,"4/30/20",5053
101,"5/1/20",5248
102,"5/2/20",5389
103,"5/3/20",5472
104,"5/4/20",5630
105,"5/5/20",5660
106,"5/6/20",5741
107,"5/7/20",5855
108,"5/8/20",5920
109,"5/9/20",6171
110,"5/10/20",6120
111,"5/11/20",6152
112,"5/12/20",6313
113,"5/13/20",6476
114,"5/14/20",6504
115,"5/15/20",6733
116,"5/16/20",6813
117,"5/17/20",6949
118,"5/18/20",7061
119,"5/19/20",7096
120,"5/20/20",7388
121,"5/21/20",7400
122,"5/22/20",7525
123,"5/23/20",7526
124,"5/24/20",7881
125,"5/25/20",7956
126,"5/26/20",8057
127,"5/27/20",8150
128,"5/28/20",8248
129,"5/29/20",8376
130,"5/30/20",8517
131,"5/31/20",8628
132,"6/1/20",8702
133,"6/2/20",8858
134,"6/3/20",8951
135,"6/4/20",9129
136,"6/5/20",9309
137,"6/6/20",9491
138,"6/7/20",9669
139,"6/8/20",9816
140,"6/9/20",10045
141,"6/10/20",10218
142,"6/11/20",10473
143,"6/12/20",10704
144,"6/13/20",10997
145,"6/14/20",11201
146,"6/15/20",11315
147,"6/16/20",11683
148,"6/17/20",11854
149,"6/18/20",12169
150,"6/19/20",12524
151,"6/20/20",12976
152,"6/21/20",13240
153,"6/22/20",13528
154,"6/23/20",13997
155,"6/24/20",14362
156,"6/25/20",14859
157,"6/26/20",15240
158,"6/27/20",16339
159,"6/28/20",17160
160,"6/29/20",17894
161,"6/30/20",18456
162,"7/1/20",19101
163,"7/2/20",19733
164,"7/3/20",20718
165,"7/4/20",21575
166,"7/5/20",22418
167,"7/6/20",22909
168,"7/7/20",23785
169,"7/8/20",24301
170,"7/9/20",24904
171,"7/10/20",25908
172,"7/11/20",26838
173,"7/12/20",27683
174,"7/13/20",28515
175,"7/14/20",29619
176,"7/15/20",30468
177,"7/16/20",31915
178,"7/17/20",33295
179,"7/18/20",34477
180,"7/19/20",35765
181,"7/20/20",36713
182,"7/21/20",37528
183,"7/22/20",38657
184,"7/23/20",39919
185,"7/24/20",40885
186,"7/25/20",41816
187,"7/26/20",42843
188,"7/27/20",43831
189,"7/28/20",44936
190,"7/29/20",45806
191,"7/30/20",46824
192,"7/31/20",48088
193,"8/1/20",49074
194,"8/2/20",50205
195,"8/3/20",51199
196,"8/4/20",52179
197,"8/5/20",52828
198,"8/6/20",53557
199,"8/7/20",54533
200,"8/8/20",55419
201,"8/9/20",56230
202,"8/10/20",56972
203,"8/11/20",57520
204,"8/12/20",58048
205,"8/13/20",58650
206,"8/14/20",59749
207,"8/15/20",60608
208,"8/16/20",61305
209,"8/17/20",61967
210,"8/18/20",62639
211,"8/19/20",63028
212,"8/20/20",63584
213,"8/21/20",64433
214,"8/22/20",65069
215,"8/23/20",65601
216,"8/24/20",66010
217,"8/25/20",66413
218,"8/26/20",66666
219,"8/27/20",67220
220,"8/28/20",67852
221,"8/29/20",68461
222,"8/30/20",68908
223,"8/31/20",69228
