Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",3
51,"3/12/20",5
52,"3/13/20",10
53,"3/14/20",13
54,"3/15/20",13
55,"3/16/20",21
56,"3/17/20",23
57,"3/18/20",28
58,"3/19/20",35
59,"3/20/20",42
60,"3/21/20",55
61,"3/22/20",57
62,"3/23/20",83
63,"3/24/20",100
64,"3/25/20",113
65,"3/26/20",113
66,"3/27/20",136
67,"3/28/20",208
68,"3/29/20",237
69,"3/30/20",237
70,"3/31/20",315
71,"4/1/20",327
72,"4/2/20",373
73,"4/3/20",490
74,"4/4/20",506
75,"4/5/20",624
76,"4/6/20",686
77,"4/7/20",794
78,"4/8/20",821
79,"4/9/20",865
80,"4/10/20",1081
81,"4/11/20",1091
82,"4/12/20",1245
83,"4/13/20",1262
84,"4/14/20",1345
85,"4/15/20",1484
86,"4/16/20",1484
87,"4/17/20",1597
88,"4/18/20",1798
89,"4/19/20",1845
90,"4/20/20",1971
91,"4/21/20",1971
92,"4/22/20",2210
93,"4/23/20",2379
94,"4/24/20",2521
95,"4/25/20",2660
96,"4/26/20",2726
97,"4/27/20",2825
98,"4/28/20",2974
99,"4/29/20",3213
100,"4/30/20",3411
101,"5/1/20",3513
102,"5/2/20",3732
103,"5/3/20",3850
104,"5/4/20",4031
105,"5/5/20",4138
106,"5/6/20",4291
107,"5/7/20",4493
108,"5/8/20",4673
109,"5/9/20",4778
110,"5/10/20",4863
111,"5/11/20",5069
112,"5/12/20",5212
113,"5/13/20",5364
114,"5/14/20",5503
115,"5/15/20",5662
116,"5/16/20",5847
117,"5/17/20",5938
118,"5/18/20",6096
119,"5/19/20",6192
120,"5/20/20",6317
121,"5/21/20",6472
122,"5/22/20",6625
123,"5/23/20",6625
124,"5/24/20",6943
125,"5/25/20",7026
126,"5/26/20",7130
127,"5/27/20",7252
128,"5/28/20",7364
129,"5/29/20",7493
130,"5/30/20",7624
131,"5/31/20",7689
132,"6/1/20",7800
133,"6/2/20",8024
134,"6/3/20",8140
135,"6/4/20",8353
136,"6/5/20",8672
137,"6/6/20",8800
138,"6/7/20",8940
139,"6/8/20",9062
140,"6/9/20",9105
141,"6/10/20",9250
142,"6/11/20",9367
143,"6/12/20",9526
144,"6/13/20",9621
145,"6/14/20",9723
146,"6/15/20",9845
147,"6/16/20",9933
148,"6/17/20",10065
149,"6/18/20",10153
150,"6/19/20",10260
151,"6/20/20",10430
152,"6/21/20",10565
153,"6/22/20",10694
154,"6/23/20",10838
155,"6/24/20",10990
156,"6/25/20",11192
157,"6/26/20",11408
158,"6/27/20",11619
159,"6/28/20",11809
160,"6/29/20",11982
161,"6/30/20",12147
162,"7/1/20",12276
163,"7/2/20",12520
164,"7/3/20",12776
165,"7/4/20",13063
166,"7/5/20",13256
167,"7/6/20",13507
168,"7/7/20",13727
169,"7/8/20",14017
170,"7/9/20",14251
171,"7/10/20",14549
172,"7/11/20",14773
173,"7/12/20",15028
174,"7/13/20",15291
175,"7/14/20",15514
176,"7/15/20",15841
177,"7/16/20",16138
178,"7/17/20",16456
179,"7/18/20",16736
180,"7/19/20",16971
181,"7/20/20",17215
182,"7/21/20",17517
183,"7/22/20",17828
184,"7/23/20",18163
185,"7/24/20",18475
186,"7/25/20",18788
187,"7/26/20",19042
188,"7/27/20",19502
189,"7/28/20",19791
190,"7/29/20",20136
191,"7/30/20",20388
192,"7/31/20",20600
193,"8/1/20",20796
194,"8/2/20",21016
195,"8/3/20",21130
196,"8/4/20",21340
197,"8/5/20",21566
198,"8/6/20",21773
199,"8/7/20",21965
200,"8/8/20",22115
201,"8/9/20",22315
202,"8/10/20",22444
203,"8/11/20",22643
204,"8/12/20",22816
205,"8/13/20",22987
206,"8/14/20",23160
207,"8/15/20",23302
208,"8/16/20",23408
209,"8/17/20",23500
210,"8/18/20",23579
211,"8/19/20",23749
212,"8/20/20",23951
213,"8/21/20",24095
214,"8/22/20",24302
215,"8/23/20",24396
216,"8/24/20",24542
217,"8/25/20",24606
218,"8/26/20",24732
219,"8/27/20",24920
220,"8/28/20",25042
221,"8/29/20",25178
222,"8/30/20",25283
223,"8/31/20",25352
224,"9/1/20",25460
