Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",1
43,"3/4/20",10
44,"3/5/20",21
45,"3/6/20",24
46,"3/7/20",76
47,"3/8/20",105
48,"3/9/20",138
49,"3/10/20",152
50,"3/11/20",216
51,"3/12/20",296
52,"3/13/20",379
53,"3/14/20",557
54,"3/15/20",633
55,"3/16/20",961
56,"3/17/20",1407
57,"3/18/20",2507
58,"3/19/20",4221
59,"3/20/20",7660
60,"3/21/20",10410
61,"3/22/20",15191
62,"3/23/20",20884
63,"3/24/20",25681
64,"3/25/20",30841
65,"3/26/20",37397
66,"3/27/20",44701
67,"3/28/20",52400
68,"3/29/20",59648
69,"3/30/20",66663
70,"3/31/20",75853
71,"4/1/20",90377
72,"4/2/20",100780
73,"4/3/20",111455
74,"4/4/20",121705
75,"4/5/20",132700
76,"4/6/20",142561
77,"4/7/20",149974
78,"4/8/20",160185
79,"4/9/20",172256
80,"4/10/20",183729
81,"4/11/20",192262
82,"4/12/20",200635
83,"4/13/20",208488
84,"4/14/20",215959
85,"4/15/20",222617
86,"4/16/20",230506
87,"4/17/20",237492
88,"4/18/20",244369
89,"4/19/20",251013
90,"4/20/20",257399
91,"4/21/20",262032
92,"4/22/20",266291
93,"4/23/20",271788
94,"4/24/20",278456
95,"4/25/20",287898
96,"4/26/20",293575
97,"4/27/20",297888
98,"4/28/20",300796
99,"4/29/20",303932
100,"4/30/20",308309
101,"5/1/20",312799
102,"5/2/20",317174
103,"5/3/20",320685
104,"5/4/20",323828
105,"5/5/20",325934
106,"5/6/20",328057
107,"5/7/20",331268
108,"5/8/20",334167
109,"5/9/20",336802
110,"5/10/20",339202
111,"5/11/20",341026
112,"5/12/20",342356
113,"5/13/20",343874
114,"5/14/20",346213
115,"5/15/20",348461
116,"5/16/20",350979
117,"5/17/20",353002
118,"5/18/20",354500
119,"5/19/20",355886
120,"5/20/20",357052
121,"5/21/20",358918
122,"5/22/20",360818
123,"5/23/20",362889
124,"5/24/20",364697
125,"5/25/20",366388
126,"5/26/20",367349
127,"5/27/20",368282
128,"5/28/20",369438
129,"5/29/20",371101
130,"5/30/20",372473
131,"5/31/20",373682
132,"6/1/20",374818
133,"6/2/20",375887
134,"6/3/20",376676
135,"6/4/20",377888
136,"6/5/20",379011
137,"6/6/20",380066
138,"6/7/20",380923
139,"6/8/20",381659
140,"6/9/20",382257
141,"6/10/20",382718
142,"6/11/20",383528
143,"6/12/20",384344
144,"6/13/20",385104
145,"6/14/20",385797
146,"6/15/20",386464
147,"6/16/20",386973
148,"6/17/20",387384
149,"6/18/20",388083
150,"6/19/20",388907
151,"6/20/20",389602
152,"6/21/20",390268
153,"6/22/20",390910
154,"6/23/20",391411
155,"6/24/20",391884
156,"6/25/20",392698
157,"6/26/20",393527
158,"6/27/20",394261
159,"6/28/20",394872
160,"6/29/20",395406
161,"6/30/20",395909
162,"7/1/20",396456
163,"7/2/20",397363
164,"7/3/20",398277
165,"7/4/20",399054
166,"7/5/20",399776
167,"7/6/20",400298
168,"7/7/20",400746
169,"7/8/20",401314
170,"7/9/20",402079
171,"7/10/20",402999
172,"7/11/20",403877
173,"7/12/20",404624
174,"7/13/20",405259
175,"7/14/20",406132
176,"7/15/20",406834
177,"7/16/20",407724
178,"7/17/20",408551
179,"7/18/20",409380
180,"7/19/20",410024
181,"7/20/20",410698
182,"7/21/20",411398
183,"7/22/20",411954
184,"7/23/20",412807
185,"7/24/20",413557
186,"7/25/20",414317
187,"7/26/20",414945
188,"7/27/20",415580
189,"7/28/20",416085
190,"7/29/20",416657
191,"7/30/20",417454
192,"7/31/20",418144
193,"8/1/20",418899
194,"8/2/20",419452
195,"8/3/20",420042
196,"8/4/20",420675
197,"8/5/20",421159
198,"8/6/20",421901
199,"8/7/20",422479
200,"8/8/20",423177
201,"8/9/20",423751
202,"8/10/20",424272
203,"8/11/20",424854
204,"8/12/20",425318
205,"8/13/20",425960
206,"8/14/20",426610
207,"8/15/20",427302
208,"8/16/20",427912
209,"8/17/20",428385
210,"8/18/20",428923
211,"8/19/20",429440
212,"8/20/20",430123
213,"8/21/20",430860
214,"8/22/20",431543
215,"8/23/20",432085
216,"8/24/20",432558
217,"8/25/20",433113
218,"8/26/20",433595
219,"8/27/20",434393
220,"8/28/20",435062
221,"8/29/20",435756
222,"8/30/20",436469
