Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",3
50,"3/11/20",4
51,"3/12/20",5
52,"3/13/20",12
53,"3/14/20",26
54,"3/15/20",30
55,"3/16/20",50
56,"3/17/20",67
57,"3/18/20",89
58,"3/19/20",119
59,"3/20/20",173
60,"3/21/20",247
61,"3/22/20",356
62,"3/23/20",443
63,"3/24/20",567
64,"3/25/20",704
65,"3/26/20",868
66,"3/27/20",1137
67,"3/28/20",1406
68,"3/29/20",1653
69,"3/30/20",1933
70,"3/31/20",2199
71,"4/1/20",2547
72,"4/2/20",2901
73,"4/3/20",3312
74,"4/4/20",3739
75,"4/5/20",4043
76,"4/6/20",4453
77,"4/7/20",4782
78,"4/8/20",5148
79,"4/9/20",5512
80,"4/10/20",5878
81,"4/11/20",6250
82,"4/12/20",6604
83,"4/13/20",6975
84,"4/14/20",7285
85,"4/15/20",7794
86,"4/16/20",8414
87,"4/17/20",9107
88,"4/18/20",10222
89,"4/19/20",11602
90,"4/20/20",12919
91,"4/21/20",13725
92,"4/22/20",14117
93,"4/23/20",14694
94,"4/24/20",15169
95,"4/25/20",15587
96,"4/26/20",15972
97,"4/27/20",16325
98,"4/28/20",16769
99,"4/29/20",17303
100,"4/30/20",18027
101,"5/1/20",18743
102,"5/2/20",19335
103,"5/3/20",19914
104,"5/4/20",20474
105,"5/5/20",20969
106,"5/6/20",21576
107,"5/7/20",22131
108,"5/8/20",23016
109,"5/9/20",23697
110,"5/10/20",24081
111,"5/11/20",24777
112,"5/12/20",25250
113,"5/13/20",25721
114,"5/14/20",26357
115,"5/15/20",26954
116,"5/16/20",27474
117,"5/17/20",27923
118,"5/18/20",28454
119,"5/19/20",28952
120,"5/20/20",29436
121,"5/21/20",30167
122,"5/22/20",30794
123,"5/23/20",31408
124,"5/24/20",31911
125,"5/25/20",32477
126,"5/26/20",33006
127,"5/27/20",33439
128,"5/28/20",33915
129,"5/29/20",34566
130,"5/30/20",35033
131,"5/31/20",35513
132,"6/1/20",35984
133,"6/2/20",36350
134,"6/3/20",36792
135,"6/4/20",37282
136,"6/5/20",37758
137,"6/6/20",38111
138,"6/7/20",38476
139,"6/8/20",38837
140,"6/9/20",39162
141,"6/10/20",39575
142,"6/11/20",40004
143,"6/12/20",40424
144,"6/13/20",40851
145,"6/14/20",41148
146,"6/15/20",41576
147,"6/16/20",42010
148,"6/17/20",42422
149,"6/18/20",43122
150,"6/19/20",43731
151,"6/20/20",44261
152,"6/21/20",44808
153,"6/22/20",45537
154,"6/23/20",46127
155,"6/24/20",46759
156,"6/25/20",47651
157,"6/26/20",48638
158,"6/27/20",49455
159,"6/28/20",50309
160,"6/29/20",51046
161,"6/30/20",51789
162,"7/1/20",52865
163,"7/2/20",54166
164,"7/3/20",55257
165,"7/4/20",56183
166,"7/5/20",57150
167,"7/6/20",57956
168,"7/7/20",58904
169,"7/8/20",60181
170,"7/9/20",61331
171,"7/10/20",62856
172,"7/11/20",64214
173,"7/12/20",65592
174,"7/13/20",66853
175,"7/14/20",67995
176,"7/15/20",69311
177,"7/16/20",70601
178,"7/17/20",72280
179,"7/18/20",73821
180,"7/19/20",74932
181,"7/20/20",76168
182,"7/21/20",77215
183,"7/22/20",78742
184,"7/23/20",80186
185,"7/24/20",81746
186,"7/25/20",83184
187,"7/26/20",84073
188,"7/27/20",85177
189,"7/28/20",86497
190,"7/29/20",87893
191,"7/30/20",89626
192,"7/31/20",91159
193,"8/1/20",92087
194,"8/2/20",93031
195,"8/3/20",93963
196,"8/4/20",95106
197,"8/5/20",96305
198,"8/6/20",97471
199,"8/7/20",98675
200,"8/8/20",99969
201,"8/9/20",100848
202,"8/10/20",101731
203,"8/11/20",102826
204,"8/12/20",104248
205,"8/13/20",105426
206,"8/14/20",106557
207,"8/15/20",107674
208,"8/16/20",108287
209,"8/17/20",109062
210,"8/18/20",109910
211,"8/19/20",110881
212,"8/20/20",112003
213,"8/21/20",113046
214,"8/22/20",114165
215,"8/23/20",114802
216,"8/24/20",115651
217,"8/25/20",116495
218,"8/26/20",117584
219,"8/27/20",118828
220,"8/28/20",120124
221,"8/29/20",121320
222,"8/30/20",122260
223,"8/31/20",123155
