Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",5
56,"3/17/20",5
57,"3/18/20",5
58,"3/19/20",5
59,"3/20/20",14
60,"3/21/20",21
61,"3/22/20",23
62,"3/23/20",31
63,"3/24/20",39
64,"3/25/20",51
65,"3/26/20",64
66,"3/27/20",79
67,"3/28/20",100
68,"3/29/20",127
69,"3/30/20",174
70,"3/31/20",239
71,"4/1/20",286
72,"4/2/20",316
73,"4/3/20",316
74,"4/4/20",452
75,"4/5/20",475
76,"4/6/20",513
77,"4/7/20",573
78,"4/8/20",620
79,"4/9/20",683
80,"4/10/20",725
81,"4/11/20",788
82,"4/12/20",897
83,"4/13/20",903
84,"4/14/20",923
85,"4/15/20",974
86,"4/16/20",1043
87,"4/17/20",1068
88,"4/18/20",1118
89,"4/19/20",1213
90,"4/20/20",1252
91,"4/21/20",1298
92,"4/22/20",1252
93,"4/23/20",1230
94,"4/24/20",1276
95,"4/25/20",873
96,"4/26/20",886
97,"4/27/20",889
98,"4/28/20",892
99,"4/29/20",898
100,"4/30/20",947
101,"5/1/20",956
102,"5/2/20",965
103,"5/3/20",980
104,"5/4/20",993
105,"5/5/20",997
106,"5/6/20",997
107,"5/7/20",1004
108,"5/8/20",1020
109,"5/9/20",1025
110,"5/10/20",1031
111,"5/11/20",1045
112,"5/12/20",1053
113,"5/13/20",1055
114,"5/14/20",1064
115,"5/15/20",1078
116,"5/16/20",1104
117,"5/17/20",1137
118,"5/18/20",1185
119,"5/19/20",1197
120,"5/20/20",1196
121,"5/21/20",1203
122,"5/22/20",1211
123,"5/23/20",1219
124,"5/24/20",1219
125,"5/25/20",1229
126,"5/26/20",1230
127,"5/27/20",1248
128,"5/28/20",1268
129,"5/29/20",1281
130,"5/30/20",1288
131,"5/31/20",1286
132,"6/1/20",1292
133,"6/2/20",1293
134,"6/3/20",1301
135,"6/4/20",1310
136,"6/5/20",1318
137,"6/6/20",1348
138,"6/7/20",1351
139,"6/8/20",1360
140,"6/9/20",1373
141,"6/10/20",1388
142,"6/11/20",1389
143,"6/12/20",1429
144,"6/13/20",1446
145,"6/14/20",1458
146,"6/15/20",1464
147,"6/16/20",1466
148,"6/17/20",1471
149,"6/18/20",1481
150,"6/19/20",1483
151,"6/20/20",1514
152,"6/21/20",1516
153,"6/22/20",1523
154,"6/23/20",1531
155,"6/24/20",1558
156,"6/25/20",1560
157,"6/26/20",1564
158,"6/27/20",1582
159,"6/28/20",1604
160,"6/29/20",1610
161,"6/30/20",1665
162,"7/1/20",1700
163,"7/2/20",1737
164,"7/3/20",1761
165,"7/4/20",1787
166,"7/5/20",1816
167,"7/6/20",2041
168,"7/7/20",2117
169,"7/8/20",2138
170,"7/9/20",2198
171,"7/10/20",2311
172,"7/11/20",2395
173,"7/12/20",2541
174,"7/13/20",2766
175,"7/14/20",2859
176,"7/15/20",2996
177,"7/16/20",3068
178,"7/17/20",3221
179,"7/18/20",3410
180,"7/19/20",3738
181,"7/20/20",3958
182,"7/21/20",4202
183,"7/22/20",4275
184,"7/23/20",4516
185,"7/24/20",4728
186,"7/25/20",4976
187,"7/26/20",5169
188,"7/27/20",5349
189,"7/28/20",5518
190,"7/29/20",5632
191,"7/30/20",5851
192,"7/31/20",5928
193,"8/1/20",6473
194,"8/2/20",6765
195,"8/3/20",7043
196,"8/4/20",7343
197,"8/5/20",7610
198,"8/6/20",7750
199,"8/7/20",8154
200,"8/8/20",8497
201,"8/9/20",8856
202,"8/10/20",9241
203,"8/11/20",9526
204,"8/12/20",10090
205,"8/13/20",10198
206,"8/14/20",10637
207,"8/15/20",10972
208,"8/16/20",11155
209,"8/17/20",11627
210,"8/18/20",12274
211,"8/19/20",12355
212,"8/20/20",12466
213,"8/21/20",12896
214,"8/22/20",13164
215,"8/23/20",13358
216,"8/24/20",13803
217,"8/25/20",13873
218,"8/26/20",13886
219,"8/27/20",14344
220,"8/28/20",14601
221,"8/29/20",14861
222,"8/30/20",15098
223,"8/31/20",15345
224,"9/1/20",15453
225,"9/2/20",15810
226,"9/3/20",15926
