Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",8
51,"3/12/20",7
52,"3/13/20",8
53,"3/14/20",8
54,"3/15/20",8
55,"3/16/20",10
56,"3/17/20",11
57,"3/18/20",11
58,"3/19/20",14
59,"3/20/20",14
60,"3/21/20",14
61,"3/22/20",21
62,"3/23/20",28
63,"3/24/20",30
64,"3/25/20",41
65,"3/26/20",46
66,"3/27/20",58
67,"3/28/20",68
68,"3/29/20",90
69,"3/30/20",101
70,"3/31/20",108
71,"4/1/20",129
72,"4/2/20",165
73,"4/3/20",187
74,"4/4/20",212
75,"4/5/20",240
76,"4/6/20",288
77,"4/7/20",320
78,"4/8/20",393
79,"4/9/20",447
80,"4/10/20",536
81,"4/11/20",626
82,"4/12/20",730
83,"4/13/20",868
84,"4/14/20",988
85,"4/15/20",1168
86,"4/16/20",1311
87,"4/17/20",1411
88,"4/18/20",1542
89,"4/19/20",1635
90,"4/20/20",1685
91,"4/21/20",1755
92,"4/22/20",1858
93,"4/23/20",1956
94,"4/24/20",2040
95,"4/25/20",2147
96,"4/26/20",2212
97,"4/27/20",2244
98,"4/28/20",2313
99,"4/29/20",2373
100,"4/30/20",2449
101,"5/1/20",2525
102,"5/2/20",2588
103,"5/3/20",2631
104,"5/4/20",2668
105,"5/5/20",2721
106,"5/6/20",2780
107,"5/7/20",2906
108,"5/8/20",3145
109,"5/9/20",3393
110,"5/10/20",3517
111,"5/11/20",3614
112,"5/12/20",3663
113,"5/13/20",3732
114,"5/14/20",3792
115,"5/15/20",3887
116,"5/16/20",3959
117,"5/17/20",3987
118,"5/18/20",4027
119,"5/19/20",4085
120,"5/20/20",4177
121,"5/21/20",4177
122,"5/22/20",4356
123,"5/23/20",4464
124,"5/24/20",4563
125,"5/25/20",4586
126,"5/26/20",4653
127,"5/27/20",4710
128,"5/28/20",4793
129,"5/29/20",4866
130,"5/30/20",4960
131,"5/31/20",4993
132,"6/1/20",5034
133,"6/2/20",5067
134,"6/3/20",5162
135,"6/4/20",5247
136,"6/5/20",5277
137,"6/6/20",5367
138,"6/7/20",5438
139,"6/8/20",5471
140,"6/9/20",5523
141,"6/10/20",5604
142,"6/11/20",5665
143,"6/12/20",5742
144,"6/13/20",5833
145,"6/14/20",5898
146,"6/15/20",5928
147,"6/16/20",5966
148,"6/17/20",6050
149,"6/18/20",6109
150,"6/19/20",6158
151,"6/20/20",6225
152,"6/21/20",6297
153,"6/22/20",6326
154,"6/23/20",6353
155,"6/24/20",6419
156,"6/25/20",6479
157,"6/26/20",6535
158,"6/27/20",6626
159,"6/28/20",6681
160,"6/29/20",6716
161,"6/30/20",6764
162,"7/1/20",6826
163,"7/2/20",6893
164,"7/3/20",6978
165,"7/4/20",7028
166,"7/5/20",7063
167,"7/6/20",7105
168,"7/7/20",7163
169,"7/8/20",7242
170,"7/9/20",7336
171,"7/10/20",7401
172,"7/11/20",7454
173,"7/12/20",7499
174,"7/13/20",7524
175,"7/14/20",7572
176,"7/15/20",7652
177,"7/16/20",7694
178,"7/17/20",7789
179,"7/18/20",7862
180,"7/19/20",7906
181,"7/20/20",7943
182,"7/21/20",8019
183,"7/22/20",8077
184,"7/23/20",8143
185,"7/24/20",8200
186,"7/25/20",8305
187,"7/26/20",8395
188,"7/27/20",8444
189,"7/28/20",8492
190,"7/29/20",8641
191,"7/30/20",8685
192,"7/31/20",8764
193,"8/1/20",8867
194,"8/2/20",8955
195,"8/3/20",9020
196,"8/4/20",9079
197,"8/5/20",9168
198,"8/6/20",9273
199,"8/7/20",9371
200,"8/8/20",9477
201,"8/9/20",9605
202,"8/10/20",9663
203,"8/11/20",9713
204,"8/12/20",9815
205,"8/13/20",9897
206,"8/14/20",10024
207,"8/15/20",10118
208,"8/16/20",10274
209,"8/17/20",10360
210,"8/18/20",10441
211,"8/19/20",10566
212,"8/20/20",10691
213,"8/21/20",10884
214,"8/22/20",11135
215,"8/23/20",11276
216,"8/24/20",11425
217,"8/25/20",11505
218,"8/26/20",11571
219,"8/27/20",12194
220,"8/28/20",12517
221,"8/29/20",12942
222,"8/30/20",13322
223,"8/31/20",13509
224,"9/1/20",13749
225,"9/2/20",14003
