Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",2
48,"3/9/20",2
49,"3/10/20",8
50,"3/11/20",9
51,"3/12/20",12
52,"3/13/20",27
53,"3/14/20",37
54,"3/15/20",37
55,"3/16/20",49
56,"3/17/20",67
57,"3/18/20",79
58,"3/19/20",103
59,"3/20/20",123
60,"3/21/20",157
61,"3/22/20",220
62,"3/23/20",254
63,"3/24/20",293
64,"3/25/20",396
65,"3/26/20",466
66,"3/27/20",607
67,"3/28/20",740
68,"3/29/20",890
69,"3/30/20",1020
70,"3/31/20",1249
71,"4/1/20",1483
72,"4/2/20",1706
73,"4/3/20",2012
74,"4/4/20",2407
75,"4/5/20",2640
76,"4/6/20",2878
77,"4/7/20",3335
78,"4/8/20",3645
79,"4/9/20",4042
80,"4/10/20",4509
81,"4/11/20",5077
82,"4/12/20",5274
83,"4/13/20",5747
84,"4/14/20",6182
85,"4/15/20",6500
86,"4/16/20",6889
87,"4/17/20",7491
88,"4/18/20",8053
89,"4/19/20",8542
90,"4/20/20",8990
91,"4/21/20",9630
92,"4/22/20",10266
93,"4/23/20",10998
94,"4/24/20",11594
95,"4/25/20",12366
96,"4/26/20",12970
97,"4/27/20",13538
98,"4/28/20",14339
99,"4/29/20",14962
100,"4/30/20",15847
101,"5/1/20",16902
102,"5/2/20",17738
103,"5/3/20",18672
104,"5/4/20",19493
105,"5/5/20",20257
106,"5/6/20",20985
107,"5/7/20",21570
108,"5/8/20",22342
109,"5/9/20",23196
110,"5/10/20",24081
111,"5/11/20",25070
112,"5/12/20",25800
113,"5/13/20",26746
114,"5/14/20",27813
115,"5/15/20",28672
116,"5/16/20",29683
117,"5/17/20",30388
118,"5/18/20",31140
119,"5/19/20",32145
120,"5/20/20",32908
121,"5/21/20",34137
122,"5/22/20",34950
123,"5/23/20",35749
124,"5/24/20",36244
125,"5/25/20",37727
126,"5/26/20",39342
127,"5/27/20",40249
128,"5/28/20",41401
129,"5/29/20",42533
130,"5/30/20",43611
131,"5/31/20",44607
132,"6/1/20",45398
133,"6/2/20",46239
134,"6/3/20",46905
135,"6/4/20",47856
136,"6/5/20",48532
137,"6/6/20",49397
138,"6/7/20",50681
139,"6/8/20",51251
140,"6/9/20",51738
141,"6/10/20",52177
142,"6/11/20",52647
143,"6/12/20",53211
144,"6/13/20",53869
145,"6/14/20",54506
146,"6/15/20",54886
147,"6/16/20",55331
148,"6/17/20",55775
149,"6/18/20",56238
150,"6/19/20",56793
151,"6/20/20",57443
152,"6/21/20",57994
153,"6/22/20",58465
154,"6/23/20",58994
155,"6/24/20",59514
156,"6/25/20",59946
157,"6/26/20",60570
158,"6/27/20",61247
159,"6/28/20",61736
160,"6/29/20",62189
161,"6/30/20",62787
162,"7/1/20",63203
163,"7/2/20",63735
164,"7/3/20",64393
165,"7/4/20",65109
166,"7/5/20",65748
167,"7/6/20",66102
168,"7/7/20",66740
169,"7/8/20",67375
170,"7/9/20",67988
171,"7/10/20",68931
172,"7/11/20",69782
173,"7/12/20",70670
174,"7/13/20",71642
175,"7/14/20",72443
176,"7/15/20",73527
177,"7/16/20",74431
178,"7/17/20",75433
179,"7/18/20",76373
180,"7/19/20",77430
181,"7/20/20",78375
182,"7/21/20",79371
183,"7/22/20",80393
184,"7/23/20",81237
185,"7/24/20",82364
186,"7/25/20",83609
187,"7/26/20",84567
188,"7/27/20",86072
189,"7/28/20",86994
190,"7/29/20",87993
191,"7/30/20",88904
192,"7/31/20",89888
193,"8/1/20",90801
194,"8/2/20",91782
195,"8/3/20",93106
196,"8/4/20",94251
197,"8/5/20",95049
198,"8/6/20",95867
199,"8/7/20",97882
200,"8/8/20",99189
201,"8/9/20",100086
202,"8/10/20",100749
203,"8/11/20",101745
204,"8/12/20",102521
205,"8/13/20",103622
206,"8/14/20",104838
207,"8/15/20",105750
208,"8/16/20",106687
209,"8/17/20",107421
210,"8/18/20",108282
211,"8/19/20",109019
212,"8/20/20",109879
213,"8/21/20",110857
214,"8/22/20",112072
215,"8/23/20",112960
216,"8/24/20",113623
217,"8/25/20",114626
218,"8/26/20",115448
219,"8/27/20",116569
220,"8/28/20",117592
221,"8/29/20",118809
222,"8/30/20",119747
223,"8/31/20",120594
