Day,"Date",Total
1,"1/22/20",1
2,"1/23/20",1
3,"1/24/20",1
4,"1/25/20",1
5,"1/26/20",1
6,"1/27/20",1
7,"1/28/20",1
8,"1/29/20",1
9,"1/30/20",1
10,"1/31/20",1
11,"2/1/20",1
12,"2/2/20",1
13,"2/3/20",1
14,"2/4/20",1
15,"2/5/20",1
16,"2/6/20",1
17,"2/7/20",1
18,"2/8/20",1
19,"2/9/20",1
20,"2/10/20",1
21,"2/11/20",1
22,"2/12/20",1
23,"2/13/20",1
24,"2/14/20",1
25,"2/15/20",1
26,"2/16/20",1
27,"2/17/20",1
28,"2/18/20",1
29,"2/19/20",1
30,"2/20/20",1
31,"2/21/20",1
32,"2/22/20",1
33,"2/23/20",1
34,"2/24/20",1
35,"2/25/20",1
36,"2/26/20",1
37,"2/27/20",1
38,"2/28/20",1
39,"2/29/20",7
40,"3/1/20",11
41,"3/2/20",18
42,"3/3/20",27
43,"3/4/20",39
44,"3/5/20",70
45,"3/6/20",78
46,"3/7/20",102
47,"3/8/20",122
48,"3/9/20",122
49,"3/10/20",167
50,"3/11/20",282
51,"3/12/20",442
52,"3/13/20",568
53,"3/14/20",642
54,"3/15/20",603
55,"3/16/20",779
56,"3/17/20",955
57,"3/18/20",1022
58,"3/19/20",1374
59,"3/20/20",1524
60,"3/21/20",1793
61,"3/22/20",1997
62,"3/23/20",2221
63,"3/24/20",2328
64,"3/25/20",2591
65,"3/26/20",3207
66,"3/27/20",3477
67,"3/28/20",4030
68,"3/29/20",4465
69,"3/30/20",4923
70,"3/31/20",5432
71,"4/1/20",5608
72,"4/2/20",6389
73,"4/3/20",6846
74,"4/4/20",7247
75,"4/5/20",7825
76,"4/6/20",8311
77,"4/7/20",8692
78,"4/8/20",9276
79,"4/9/20",9639
80,"4/10/20",10119
81,"4/11/20",10434
82,"4/12/20",10609
83,"4/13/20",10635
84,"4/14/20",10799
85,"4/15/20",10942
86,"4/16/20",11057
87,"4/17/20",11517
88,"4/18/20",11776
89,"4/19/20",11978
90,"4/20/20",12114
91,"4/21/20",12392
92,"4/22/20",12596
93,"4/23/20",12753
94,"4/24/20",12977
95,"4/25/20",13319
96,"4/26/20",13521
97,"4/27/20",13686
98,"4/28/20",13842
99,"4/29/20",14070
100,"4/30/20",14327
101,"5/1/20",14637
102,"5/2/20",15003
103,"5/3/20",15185
104,"5/4/20",15462
105,"5/5/20",15594
106,"5/6/20",15905
107,"5/7/20",16231
108,"5/8/20",16388
109,"5/9/20",16674
110,"5/10/20",16891
111,"5/11/20",17122
112,"5/12/20",17330
113,"5/13/20",17512
114,"5/14/20",17773
115,"5/15/20",17951
116,"5/16/20",18288
117,"5/17/20",18433
118,"5/18/20",18611
119,"5/19/20",18811
120,"5/20/20",18971
121,"5/21/20",19117
122,"5/22/20",19265
123,"5/23/20",19265
124,"5/24/20",19828
125,"5/25/20",20065
126,"5/26/20",20181
127,"5/27/20",20406
128,"5/28/20",20764
129,"5/29/20",21071
130,"5/30/20",21349
131,"5/31/20",21702
132,"6/1/20",22239
133,"6/2/20",22516
134,"6/3/20",22764
135,"6/4/20",23024
136,"6/5/20",23483
137,"6/6/20",23767
138,"6/7/20",24078
139,"6/8/20",24378
140,"6/9/20",24630
141,"6/10/20",24892
142,"6/11/20",25176
143,"6/12/20",25542
144,"6/13/20",25825
145,"6/14/20",26158
146,"6/15/20",26530
147,"6/16/20",26787
148,"6/17/20",27193
149,"6/18/20",27608
150,"6/19/20",28225
151,"6/20/20",28676
152,"6/21/20",28874
153,"6/22/20",29394
154,"6/23/20",29874
155,"6/24/20",30372
156,"6/25/20",30866
157,"6/26/20",31422
158,"6/27/20",31766
159,"6/28/20",32267
160,"6/29/20",32831
161,"6/30/20",33439
162,"7/1/20",34152
163,"7/2/20",34909
164,"7/3/20",35260
165,"7/4/20",35902
166,"7/5/20",36959
167,"7/6/20",37393
168,"7/7/20",37916
169,"7/8/20",38563
170,"7/9/20",39202
171,"7/10/20",39806
172,"7/11/20",40672
173,"7/12/20",41749
174,"7/13/20",42295
175,"7/14/20",43037
176,"7/15/20",44299
177,"7/16/20",45052
178,"7/17/20",46022
179,"7/18/20",46956
180,"7/19/20",47751
181,"7/20/20",48590
182,"7/21/20",49250
183,"7/22/20",49982
184,"7/23/20",50832
185,"7/24/20",51870
186,"7/25/20",52669
187,"7/26/20",53339
188,"7/27/20",54201
189,"7/28/20",54979
190,"7/29/20",55751
191,"7/30/20",56736
192,"7/31/20",57586
193,"8/1/20",58216
194,"8/2/20",58767
195,"8/3/20",59447
196,"8/4/20",60132
197,"8/5/20",60963
198,"8/6/20",61686
199,"8/7/20",62583
200,"8/8/20",63189
201,"8/9/20",63769
202,"8/10/20",64260
203,"8/11/20",64800
204,"8/12/20",65439
205,"8/13/20",66254
206,"8/14/20",66989
207,"8/15/20",67581
208,"8/16/20",67854
209,"8/17/20",68386
210,"8/18/20",68922
211,"8/19/20",69662
212,"8/20/20",70180
213,"8/21/20",71007
214,"8/22/20",71471
215,"8/23/20",71814
216,"8/24/20",72161
217,"8/25/20",72634
218,"8/26/20",73217
219,"8/27/20",73801
220,"8/28/20",74420
221,"8/29/20",74885
222,"8/30/20",75195
223,"8/31/20",75502
224,"9/1/20",75977
225,"9/2/20",76537
226,"9/3/20",77034
227,"9/4/20",77559
228,"9/5/20",77979
229,"9/6/20",78295
230,"9/7/20",78492
231,"9/8/20",78781
232,"9/9/20",79280
233,"9/10/20",79880
234,"9/11/20",80374
235,"9/12/20",80738
236,"9/13/20",81056
237,"9/14/20",81392
238,"9/15/20",81776
239,"9/16/20",82193
240,"9/17/20",82610
241,"9/18/20",83239
242,"9/19/20",83622
243,"9/20/20",83925
244,"9/21/20",84270
245,"9/22/20",84814
246,"9/23/20",85397
247,"9/24/20",86422
248,"9/25/20",87062
249,"9/26/20",87519
250,"9/27/20",87897
251,"9/28/20",88291
252,"9/29/20",88823
253,"9/30/20",89463
254,"10/1/20",90179
255,"10/2/20",90821
256,"10/3/20",91290
257,"10/4/20",91709
258,"10/5/20",92136
259,"10/6/20",92692
260,"10/7/20",93450
261,"10/8/20",94143
262,"10/9/20",94691
263,"10/10/20",95539
264,"10/11/20",95914
265,"10/12/20",96521
266,"10/13/20",97240
267,"10/14/20",97938
268,"10/15/20",98713
269,"10/16/20",99539
270,"10/17/20",100105
271,"10/18/20",100572
272,"10/19/20",101064
273,"10/20/20",101864
274,"10/21/20",102567
275,"10/22/20",103379
276,"10/23/20",104328
277,"10/24/20",105069
278,"10/25/20",105665
279,"10/26/20",106212
280,"10/27/20",106963
281,"10/28/20",107843
282,"10/29/20",108954
283,"10/30/20",109932
284,"10/31/20",110808
285,"11/1/20",111848
286,"11/2/20",112593
287,"11/3/20",114127
288,"11/4/20",115251
289,"11/5/20",117023
290,"11/6/20",118771
291,"11/7/20",120221
292,"11/8/20",121467
293,"11/9/20",122887
294,"11/10/20",124549
295,"11/11/20",126574
296,"11/12/20",128821
297,"11/13/20",131141
298,"11/14/20",133391
299,"11/15/20",134969
300,"11/16/20",137561
301,"11/17/20",139120
302,"11/18/20",141231
303,"11/19/20",143405
304,"11/20/20",145281
305,"11/21/20",147929
306,"11/22/20",151488
307,"11/23/20",154770
308,"11/24/20",157790
309,"11/25/20",160663
310,"11/26/20",162730
311,"11/27/20",165124
312,"11/28/20",167231
313,"11/29/20",169500
314,"11/30/20",171962
315,"12/1/20",175033
316,"12/2/20",177358
317,"12/3/20",179443
318,"12/4/20",181329
319,"12/5/20",183081
320,"12/6/20",189152
321,"12/7/20",192947
322,"12/8/20",196032
323,"12/9/20",199028
324,"12/10/20",202177
325,"12/11/20",206288
326,"12/12/20",208717
327,"12/13/20",210809
328,"12/14/20",212584
329,"12/15/20",214265
330,"12/16/20",214265
331,"12/17/20",217205
332,"12/18/20",220268
333,"12/19/20",222600
334,"12/20/20",222600
335,"12/21/20",226635
336,"12/22/20",227887
337,"12/23/20",230202
