Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",2
54,"3/15/20",2
55,"3/16/20",2
56,"3/17/20",11
57,"3/18/20",16
58,"3/19/20",18
59,"3/20/20",21
60,"3/21/20",23
61,"3/22/20",26
62,"3/23/20",26
63,"3/24/20",29
64,"3/25/20",44
65,"3/26/20",53
66,"3/27/20",70
67,"3/28/20",82
68,"3/29/20",86
69,"3/30/20",94
70,"3/31/20",109
71,"4/1/20",130
72,"4/2/20",150
73,"4/3/20",162
74,"4/4/20",187
75,"4/5/20",197
76,"4/6/20",210
77,"4/7/20",216
78,"4/8/20",221
79,"4/9/20",230
80,"4/10/20",239
81,"4/11/20",261
82,"4/12/20",270
83,"4/13/20",275
84,"4/14/20",282
85,"4/15/20",287
86,"4/16/20",296
87,"4/17/20",305
88,"4/18/20",309
89,"4/19/20",313
90,"4/20/20",317
91,"4/21/20",443
92,"4/22/20",447
93,"4/23/20",453
94,"4/24/20",473
95,"4/25/20",491
96,"4/26/20",502
97,"4/27/20",520
98,"4/28/20",536
99,"4/29/20",545
100,"4/30/20",559
101,"5/1/20",566
102,"5/2/20",579
103,"5/3/20",586
104,"5/4/20",596
105,"5/5/20",604
106,"5/6/20",631
107,"5/7/20",635
108,"5/8/20",644
109,"5/9/20",653
110,"5/10/20",662
111,"5/11/20",669
112,"5/12/20",675
113,"5/13/20",688
114,"5/14/20",701
115,"5/15/20",716
116,"5/16/20",741
117,"5/17/20",754
118,"5/18/20",766
119,"5/19/20",776
120,"5/20/20",787
121,"5/21/20",801
122,"5/22/20",803
123,"5/23/20",813
124,"5/24/20",838
125,"5/25/20",843
126,"5/26/20",850
127,"5/27/20",860
128,"5/28/20",876
129,"5/29/20",891
130,"5/30/20",898
131,"5/31/20",903
132,"6/1/20",910
133,"6/2/20",912
134,"6/3/20",915
135,"6/4/20",921
136,"6/5/20",933
137,"6/6/20",939
138,"6/7/20",947
139,"6/8/20",960
140,"6/9/20",970
141,"6/10/20",980
142,"6/11/20",1009
143,"6/12/20",1027
144,"6/13/20",1050
145,"6/14/20",1060
146,"6/15/20",1079
147,"6/16/20",1089
148,"6/17/20",1114
149,"6/18/20",1144
150,"6/19/20",1173
151,"6/20/20",1179
152,"6/21/20",1197
153,"6/22/20",1230
154,"6/23/20",1254
155,"6/24/20",1282
156,"6/25/20",1326
157,"6/26/20",1368
158,"6/27/20",1392
159,"6/28/20",1417
160,"6/29/20",1450
161,"6/30/20",1487
162,"7/1/20",1514
163,"7/2/20",1550
164,"7/3/20",1582
165,"7/4/20",1606
166,"7/5/20",1634
167,"7/6/20",1675
168,"7/7/20",1709
169,"7/8/20",1740
170,"7/9/20",1769
171,"7/10/20",1790
172,"7/11/20",1839
173,"7/12/20",1862
174,"7/13/20",1903
175,"7/14/20",1950
176,"7/15/20",1985
177,"7/16/20",2026
178,"7/17/20",2069
179,"7/18/20",2108
180,"7/19/20",2126
181,"7/20/20",2187
182,"7/21/20",2238
183,"7/22/20",2288
184,"7/23/20",2347
185,"7/24/20",2405
186,"7/25/20",2446
187,"7/26/20",2475
188,"7/27/20",2520
189,"7/28/20",2589
190,"7/29/20",2628
191,"7/30/20",2686
192,"7/31/20",2726
193,"8/1/20",2769
194,"8/2/20",2808
195,"8/3/20",2848
196,"8/4/20",2884
197,"8/5/20",2923
198,"8/6/20",2953
199,"8/7/20",3000
200,"8/8/20",3015
201,"8/9/20",3050
202,"8/10/20",3042
203,"8/11/20",3073
204,"8/12/20",3086
205,"8/13/20",3119
206,"8/14/20",3183
207,"8/15/20",3227
208,"8/16/20",3286
209,"8/17/20",3331
210,"8/18/20",3360
211,"8/19/20",3431
212,"8/20/20",3457
213,"8/21/20",3524
214,"8/22/20",3543
215,"8/23/20",3578
216,"8/24/20",3603
217,"8/25/20",3632
218,"8/26/20",3680
219,"8/27/20",3733
220,"8/28/20",3803
221,"8/29/20",3795
222,"8/30/20",3829
223,"8/31/20",3850
224,"9/1/20",3874
225,"9/2/20",3911
226,"9/3/20",3941
227,"9/4/20",3990
228,"9/5/20",3990
229,"9/6/20",4032
