Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",4
67,"3/28/20",4
68,"3/29/20",10
69,"3/30/20",10
70,"3/31/20",23
71,"4/1/20",27
72,"4/2/20",32
73,"4/3/20",38
74,"4/4/20",44
75,"4/5/20",45
76,"4/6/20",49
77,"4/7/20",64
78,"4/8/20",66
79,"4/9/20",70
80,"4/10/20",80
81,"4/11/20",92
82,"4/12/20",93
83,"4/13/20",99
84,"4/14/20",114
85,"4/15/20",118
86,"4/16/20",133
87,"4/17/20",148
88,"4/18/20",153
89,"4/19/20",157
90,"4/20/20",163
91,"4/21/20",183
92,"4/22/20",196
93,"4/23/20",202
94,"4/24/20",209
95,"4/25/20",209
96,"4/26/20",219
97,"4/27/20",228
98,"4/28/20",242
99,"4/29/20",256
100,"4/30/20",272
101,"5/1/20",289
102,"5/2/20",288
103,"5/3/20",290
104,"5/4/20",298
105,"5/5/20",315
106,"5/6/20",343
107,"5/7/20",369
108,"5/8/20",383
109,"5/9/20",390
110,"5/10/20",393
111,"5/11/20",403
112,"5/12/20",435
113,"5/13/20",450
114,"5/14/20",473
115,"5/15/20",483
116,"5/16/20",485
117,"5/17/20",488
118,"5/18/20",489
119,"5/19/20",504
120,"5/20/20",522
121,"5/21/20",529
122,"5/22/20",541
123,"5/23/20",549
124,"5/24/20",551
125,"5/25/20",566
126,"5/26/20",580
127,"5/27/20",583
128,"5/28/20",591
129,"5/29/20",610
130,"5/30/20",618
131,"5/31/20",630
132,"6/1/20",646
133,"6/2/20",653
134,"6/3/20",653
135,"6/4/20",653
136,"6/5/20",676
137,"6/6/20",689
138,"6/7/20",692
139,"6/8/20",718
140,"6/9/20",729
141,"6/10/20",744
142,"6/11/20",755
143,"6/12/20",769
144,"6/13/20",773
145,"6/14/20",773
146,"6/15/20",774
147,"6/16/20",785
148,"6/17/20",790
149,"6/18/20",810
150,"6/19/20",822
151,"6/20/20",838
152,"6/21/20",839
153,"6/22/20",841
154,"6/23/20",864
155,"6/24/20",891
156,"6/25/20",896
157,"6/26/20",907
158,"6/27/20",919
159,"6/28/20",919
160,"6/29/20",929
161,"6/30/20",950
162,"7/1/20",972
163,"7/2/20",985
164,"7/3/20",1006
165,"7/4/20",1007
166,"7/5/20",1007
167,"7/6/20",1007
168,"7/7/20",1033
169,"7/8/20",1058
170,"7/9/20",1068
171,"7/10/20",1104
172,"7/11/20",1114
173,"7/12/20",1121
174,"7/13/20",1124
175,"7/14/20",1164
176,"7/15/20",1211
177,"7/16/20",1230
178,"7/17/20",1265
179,"7/18/20",1286
180,"7/19/20",1287
181,"7/20/20",1291
182,"7/21/20",1303
183,"7/22/20",1364
184,"7/23/20",1397
185,"7/24/20",1438
186,"7/25/20",1456
187,"7/26/20",1473
188,"7/27/20",1491
189,"7/28/20",1491
190,"7/29/20",1538
191,"7/30/20",1565
192,"7/31/20",1580
193,"8/1/20",1603
194,"8/2/20",1627
195,"8/3/20",1633
196,"8/4/20",1666
197,"8/5/20",1695
198,"8/6/20",1714
199,"8/7/20",1735
200,"8/8/20",1755
201,"8/9/20",1768
202,"8/10/20",1797
203,"8/11/20",1847
204,"8/12/20",1882
205,"8/13/20",1890
206,"8/14/20",1893
207,"8/15/20",1896
208,"8/16/20",1898
209,"8/17/20",1925
210,"8/18/20",1936
211,"8/19/20",1944
212,"8/20/20",1974
213,"8/21/20",1996
214,"8/22/20",2011
215,"8/23/20",2013
216,"8/24/20",2024
217,"8/25/20",2037
218,"8/26/20",2045
219,"8/27/20",2076
220,"8/28/20",2107
221,"8/29/20",2152
222,"8/30/20",2162
223,"8/31/20",2182
224,"9/1/20",2200
225,"9/2/20",2217
226,"9/3/20",2233
227,"9/4/20",2266
228,"9/5/20",2275
229,"9/6/20",2276
230,"9/7/20",2276
231,"9/8/20",2277
