Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",2
64,"3/25/20",2
65,"3/26/20",2
66,"3/27/20",3
67,"3/28/20",5
68,"3/29/20",6
69,"3/30/20",7
70,"3/31/20",8
71,"4/1/20",10
72,"4/2/20",12
73,"4/3/20",12
74,"4/4/20",14
75,"4/5/20",16
76,"4/6/20",16
77,"4/7/20",18
78,"4/8/20",18
79,"4/9/20",21
80,"4/10/20",21
81,"4/11/20",25
82,"4/12/20",27
83,"4/13/20",29
84,"4/14/20",32
85,"4/15/20",33
86,"4/16/20",37
87,"4/17/20",37
88,"4/18/20",38
89,"4/19/20",39
90,"4/20/20",41
91,"4/21/20",42
92,"4/22/20",42
93,"4/23/20",45
94,"4/24/20",47
95,"4/25/20",48
96,"4/26/20",51
97,"4/27/20",51
98,"4/28/20",57
99,"4/29/20",57
100,"4/30/20",61
101,"5/1/20",64
102,"5/2/20",72
103,"5/3/20",76
104,"5/4/20",80
105,"5/5/20",83
106,"5/6/20",87
107,"5/7/20",87
108,"5/8/20",88
109,"5/9/20",88
110,"5/10/20",91
111,"5/11/20",94
112,"5/12/20",95
113,"5/13/20",97
114,"5/14/20",98
115,"5/15/20",98
116,"5/16/20",98
117,"5/17/20",98
118,"5/18/20",100
119,"5/19/20",102
120,"5/20/20",107
121,"5/21/20",110
122,"5/22/20",113
123,"5/23/20",115
124,"5/24/20",116
125,"5/25/20",117
126,"5/26/20",119
127,"5/27/20",120
128,"5/28/20",125
129,"5/29/20",132
130,"5/30/20",133
131,"5/31/20",133
132,"6/1/20",133
133,"6/2/20",136
134,"6/3/20",142
135,"6/4/20",151
136,"6/5/20",152
137,"6/6/20",154
138,"6/7/20",154
139,"6/8/20",155
140,"6/9/20",161
141,"6/10/20",165
142,"6/11/20",171
143,"6/12/20",176
144,"6/13/20",177
145,"6/14/20",179
146,"6/15/20",182
147,"6/16/20",188
148,"6/17/20",197
149,"6/18/20",208
150,"6/19/20",214
151,"6/20/20",224
152,"6/21/20",225
153,"6/22/20",227
154,"6/23/20",237
155,"6/24/20",240
156,"6/25/20",240
157,"6/26/20",249
158,"6/27/20",259
159,"6/28/20",264
160,"6/29/20",265
161,"6/30/20",270
162,"7/1/20",277
163,"7/2/20",279
164,"7/3/20",281
165,"7/4/20",286
166,"7/5/20",287
167,"7/6/20",292
168,"7/7/20",301
169,"7/8/20",305
170,"7/9/20",309
171,"7/10/20",313
172,"7/11/20",319
173,"7/12/20",321
174,"7/13/20",323
175,"7/14/20",331
176,"7/15/20",335
177,"7/16/20",341
178,"7/17/20",353
179,"7/18/20",357
180,"7/19/20",357
181,"7/20/20",363
182,"7/21/20",374
183,"7/22/20",380
184,"7/23/20",386
185,"7/24/20",394
186,"7/25/20",399
187,"7/26/20",401
188,"7/27/20",408
189,"7/28/20",428
190,"7/29/20",434
191,"7/30/20",442
192,"7/31/20",453
193,"8/1/20",458
194,"8/2/20",464
195,"8/3/20",475
196,"8/4/20",490
197,"8/5/20",508
198,"8/6/20",515
199,"8/7/20",521
200,"8/8/20",535
201,"8/9/20",544
202,"8/10/20",555
203,"8/11/20",566
204,"8/12/20",572
205,"8/13/20",582
206,"8/14/20",587
207,"8/15/20",600
208,"8/16/20",599
209,"8/17/20",603
210,"8/18/20",619
211,"8/19/20",631
212,"8/20/20",641
213,"8/21/20",663
214,"8/22/20",674
215,"8/23/20",687
216,"8/24/20",696
217,"8/25/20",711
218,"8/26/20",732
219,"8/27/20",739
220,"8/28/20",756
221,"8/29/20",772
222,"8/30/20",784
223,"8/31/20",797
224,"9/1/20",814
225,"9/2/20",841
226,"9/3/20",861
227,"9/4/20",873
228,"9/5/20",882
229,"9/6/20",894
230,"9/7/20",908
231,"9/8/20",917
232,"9/9/20",928
233,"9/10/20",940
234,"9/11/20",953
235,"9/12/20",969
236,"9/13/20",981
237,"9/14/20",992
