Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",1
58,"3/19/20",3
59,"3/20/20",4
60,"3/21/20",4
61,"3/22/20",8
62,"3/23/20",10
63,"3/24/20",12
64,"3/25/20",19
65,"3/26/20",21
66,"3/27/20",27
67,"3/28/20",33
68,"3/29/20",34
69,"3/30/20",36
70,"3/31/20",69
71,"4/1/20",85
72,"4/2/20",112
73,"4/3/20",131
74,"4/4/20",165
75,"4/5/20",189
76,"4/6/20",206
77,"4/7/20",277
78,"4/8/20",326
79,"4/9/20",380
80,"4/10/20",448
81,"4/11/20",494
82,"4/12/20",554
83,"4/13/20",602
84,"4/14/20",671
85,"4/15/20",868
86,"4/16/20",971
87,"4/17/20",1036
88,"4/18/20",1086
89,"4/19/20",1127
90,"4/20/20",1331
91,"4/21/20",1423
92,"4/22/20",1544
93,"4/23/20",1639
94,"4/24/20",1767
95,"4/25/20",1865
96,"4/26/20",1924
97,"4/27/20",2012
98,"4/28/20",2087
99,"4/29/20",2169
100,"4/30/20",2257
101,"5/1/20",2339
102,"5/2/20",2436
103,"5/3/20",2436
104,"5/4/20",2556
105,"5/5/20",2633
106,"5/6/20",2718
107,"5/7/20",2797
108,"5/8/20",2874
109,"5/9/20",2932
110,"5/10/20",2967
111,"5/11/20",3008
112,"5/12/20",3041
113,"5/13/20",3125
114,"5/14/20",3219
115,"5/15/20",3285
116,"5/16/20",3339
117,"5/17/20",3408
118,"5/18/20",3450
119,"5/19/20",3472
120,"5/20/20",3529
121,"5/21/20",3583
122,"5/22/20",3637
123,"5/23/20",3675
124,"5/24/20",3693
125,"5/25/20",3742
126,"5/26/20",3769
127,"5/27/20",3803
128,"5/28/20",3826
129,"5/29/20",3868
130,"5/30/20",3912
131,"5/31/20",3944
132,"6/1/20",3970
133,"6/2/20",3972
134,"6/3/20",3989
135,"6/4/20",4007
136,"6/5/20",4038
137,"6/6/20",4055
138,"6/7/20",4071
139,"6/8/20",4084
140,"6/9/20",4097
141,"6/10/20",4120
142,"6/11/20",4146
143,"6/12/20",4159
144,"6/13/20",4186
145,"6/14/20",4201
146,"6/15/20",4204
147,"6/16/20",4210
148,"6/17/20",4219
149,"6/18/20",4226
150,"6/19/20",4238
151,"6/20/20",4251
152,"6/21/20",4260
153,"6/22/20",4263
154,"6/23/20",4277
155,"6/24/20",4287
156,"6/25/20",4298
157,"6/26/20",4307
158,"6/27/20",4311
159,"6/28/20",4316
160,"6/29/20",4320
161,"6/30/20",4322
162,"7/1/20",4324
163,"7/2/20",4326
164,"7/3/20",4335
165,"7/4/20",4335
166,"7/5/20",4335
167,"7/6/20",4338
168,"7/7/20",4338
169,"7/8/20",4343
170,"7/9/20",4348
171,"7/10/20",4348
172,"7/11/20",4348
173,"7/12/20",4348
174,"7/13/20",4371
175,"7/14/20",4372
176,"7/15/20",4380
177,"7/16/20",4389
178,"7/17/20",4396
179,"7/18/20",4396
180,"7/19/20",4396
181,"7/20/20",4406
182,"7/21/20",4406
183,"7/22/20",4406
184,"7/23/20",4410
185,"7/24/20",4413
186,"7/25/20",4413
187,"7/26/20",4413
188,"7/27/20",4418
189,"7/28/20",4423
190,"7/29/20",4425
191,"7/30/20",4431
192,"7/31/20",4432
193,"8/1/20",4432
194,"8/2/20",4432
195,"8/3/20",4437
196,"8/4/20",4437
197,"8/5/20",4437
198,"8/6/20",4437
199,"8/7/20",4441
200,"8/8/20",4441
201,"8/9/20",4441
202,"8/10/20",4444
203,"8/11/20",4444
204,"8/12/20",4450
205,"8/13/20",4450
206,"8/14/20",4453
207,"8/15/20",4453
208,"8/16/20",4453
209,"8/17/20",4456
210,"8/18/20",4456
211,"8/19/20",4457
212,"8/20/20",4458
213,"8/21/20",4460
214,"8/22/20",4460
215,"8/23/20",4460
216,"8/24/20",4460
217,"8/25/20",4463
218,"8/26/20",4463
219,"8/27/20",4465
220,"8/28/20",4465
221,"8/29/20",4465
222,"8/30/20",4465
223,"8/31/20",4465
224,"9/1/20",4466
225,"9/2/20",4467
