Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",1
60,"3/21/20",0
61,"3/22/20",2
62,"3/23/20",2
63,"3/24/20",2
64,"3/25/20",2
65,"3/26/20",3
66,"3/27/20",3
67,"3/28/20",4
68,"3/29/20",5
69,"3/30/20",9
70,"3/31/20",9
71,"4/1/20",9
72,"4/2/20",12
73,"4/3/20",15
74,"4/4/20",21
75,"4/5/20",22
76,"4/6/20",24
77,"4/7/20",22
78,"4/8/20",27
79,"4/9/20",32
80,"4/10/20",38
81,"4/11/20",47
82,"4/12/20",50
83,"4/13/20",52
84,"4/14/20",67
85,"4/15/20",72
86,"4/16/20",81
87,"4/17/20",86
88,"4/18/20",91
89,"4/19/20",96
90,"4/20/20",105
91,"4/21/20",112
92,"4/22/20",127
93,"4/23/20",139
94,"4/24/20",153
95,"4/25/20",165
96,"4/26/20",178
97,"4/27/20",185
98,"4/28/20",190
99,"4/29/20",205
100,"4/30/20",224
101,"5/1/20",231
102,"5/2/20",240
103,"5/3/20",251
104,"5/4/20",258
105,"5/5/20",264
106,"5/6/20",277
107,"5/7/20",285
108,"5/8/20",304
109,"5/9/20",311
110,"5/10/20",323
111,"5/11/20",328
112,"5/12/20",336
113,"5/13/20",350
114,"5/14/20",358
115,"5/15/20",368
116,"5/16/20",375
117,"5/17/20",383
118,"5/18/20",392
119,"5/19/20",400
120,"5/20/20",407
121,"5/21/20",412
122,"5/22/20",418
123,"5/23/20",427
124,"5/24/20",432
125,"5/25/20",440
126,"5/26/20",440
127,"5/27/20",445
128,"5/28/20",453
129,"5/29/20",460
130,"5/30/20",462
131,"5/31/20",466
132,"6/1/20",468
133,"6/2/20",470
134,"6/3/20",473
135,"6/4/20",475
136,"6/5/20",479
137,"6/6/20",483
138,"6/7/20",489
139,"6/8/20",491
140,"6/9/20",495
141,"6/10/20",499
142,"6/11/20",502
143,"6/12/20",506
144,"6/13/20",511
145,"6/14/20",515
146,"6/15/20",515
147,"6/16/20",520
148,"6/17/20",523
149,"6/18/20",527
150,"6/19/20",530
151,"6/20/20",531
152,"6/21/20",533
153,"6/22/20",535
154,"6/23/20",537
155,"6/24/20",541
156,"6/25/20",543
157,"6/26/20",546
158,"6/27/20",548
159,"6/28/20",550
160,"6/29/20",551
161,"6/30/20",551
162,"7/1/20",553
163,"7/2/20",554
164,"7/3/20",555
165,"7/4/20",557
166,"7/5/20",559
167,"7/6/20",561
168,"7/7/20",561
169,"7/8/20",564
170,"7/9/20",568
171,"7/10/20",568
172,"7/11/20",568
173,"7/12/20",568
174,"7/13/20",568
175,"7/14/20",568
176,"7/15/20",571
177,"7/16/20",574
178,"7/17/20",577
179,"7/18/20",578
180,"7/19/20",578
181,"7/20/20",579
182,"7/21/20",580
183,"7/22/20",580
184,"7/23/20",581
185,"7/24/20",581
186,"7/25/20",581
187,"7/26/20",581
188,"7/27/20",582
189,"7/28/20",583
190,"7/29/20",584
191,"7/30/20",584
192,"7/31/20",585
193,"8/1/20",585
194,"8/2/20",586
195,"8/3/20",586
196,"8/4/20",587
197,"8/5/20",587
198,"8/6/20",587
199,"8/7/20",589
200,"8/8/20",590
201,"8/9/20",591
202,"8/10/20",591
203,"8/11/20",593
204,"8/12/20",593
205,"8/13/20",594
206,"8/14/20",594
207,"8/15/20",597
208,"8/16/20",597
209,"8/17/20",597
210,"8/18/20",599
211,"8/19/20",600
212,"8/20/20",601
213,"8/21/20",602
214,"8/22/20",604
215,"8/23/20",604
216,"8/24/20",604
217,"8/25/20",604
218,"8/26/20",605
219,"8/27/20",605
220,"8/28/20",605
221,"8/29/20",605
222,"8/30/20",606
223,"8/31/20",607
224,"9/1/20",607
225,"9/2/20",608
226,"9/3/20",609
227,"9/4/20",611
228,"9/5/20",611
229,"9/6/20",611
230,"9/7/20",611
231,"9/8/20",611
232,"9/9/20",615
233,"9/10/20",616
234,"9/11/20",616
235,"9/12/20",616
236,"9/13/20",616
237,"9/14/20",616
