Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",2
48,"3/9/20",2
49,"3/10/20",2
50,"3/11/20",2
51,"3/12/20",2
52,"3/13/20",2
53,"3/14/20",2
54,"3/15/20",3
55,"3/16/20",3
56,"3/17/20",5
57,"3/18/20",7
58,"3/19/20",9
59,"3/20/20",11
60,"3/21/20",13
61,"3/22/20",13
62,"3/23/20",18
63,"3/24/20",18
64,"3/25/20",23
65,"3/26/20",29
66,"3/27/20",35
67,"3/28/20",54
68,"3/29/20",56
69,"3/30/20",63
70,"3/31/20",85
71,"4/1/20",87
72,"4/2/20",164
73,"4/3/20",170
74,"4/4/20",195
75,"4/5/20",221
76,"4/6/20",236
77,"4/7/20",283
78,"4/8/20",309
79,"4/9/20",354
80,"4/10/20",390
81,"4/11/20",438
82,"4/12/20",461
83,"4/13/20",499
84,"4/14/20",571
85,"4/15/20",596
86,"4/16/20",668
87,"4/17/20",725
88,"4/18/20",748
89,"4/19/20",774
90,"4/20/20",822
91,"4/21/20",867
92,"4/22/20",893
93,"4/23/20",987
94,"4/24/20",1046
95,"4/25/20",1055
96,"4/26/20",1075
97,"4/27/20",1088
98,"4/28/20",1171
99,"4/29/20",1218
100,"4/30/20",1268
101,"5/1/20",1314
102,"5/2/20",1364
103,"5/3/20",1379
104,"5/4/20",1399
105,"5/5/20",1471
106,"5/6/20",1539
107,"5/7/20",1600
108,"5/8/20",1669
109,"5/9/20",1715
110,"5/10/20",1721
111,"5/11/20",1735
112,"5/12/20",1779
113,"5/13/20",1827
114,"5/14/20",1875
115,"5/15/20",1917
116,"5/16/20",1964
117,"5/17/20",1973
118,"5/18/20",1997
119,"5/19/20",2052
120,"5/20/20",2096
121,"5/21/20",2144
122,"5/22/20",2190
123,"5/23/20",2233
124,"5/24/20",2237
125,"5/25/20",2252
126,"5/26/20",2259
127,"5/27/20",2319
128,"5/28/20",2364
129,"5/29/20",2413
130,"5/30/20",2447
131,"5/31/20",2451
132,"6/1/20",2460
133,"6/2/20",2530
134,"6/3/20",2566
135,"6/4/20",2607
136,"6/5/20",2660
137,"6/6/20",2688
138,"6/7/20",2700
139,"6/8/20",2712
140,"6/9/20",2765
141,"6/10/20",2801
142,"6/11/20",2848
143,"6/12/20",2877
144,"6/13/20",2925
145,"6/14/20",2931
146,"6/15/20",2938
147,"6/16/20",2993
148,"6/17/20",3018
149,"6/18/20",3061
150,"6/19/20",3104
151,"6/20/20",3144
152,"6/21/20",3161
153,"6/22/20",3173
154,"6/23/20",3238
155,"6/24/20",3281
156,"6/25/20",3327
157,"6/26/20",3366
158,"6/27/20",3390
159,"6/28/20",3419
160,"6/29/20",3447
161,"6/30/20",3505
162,"7/1/20",3550
163,"7/2/20",3617
164,"7/3/20",3684
165,"7/4/20",3702
166,"7/5/20",3731
167,"7/6/20",3778
168,"7/7/20",3841
169,"7/8/20",3889
170,"7/9/20",4009
171,"7/10/20",4102
172,"7/11/20",4197
173,"7/12/20",4242
174,"7/13/20",4277
175,"7/14/20",4409
176,"7/15/20",4521
177,"7/16/20",4677
178,"7/17/20",4805
179,"7/18/20",4895
180,"7/19/20",4982
181,"7/20/20",5072
182,"7/21/20",5206
183,"7/22/20",5345
184,"7/23/20",5518
185,"7/24/20",5653
186,"7/25/20",5777
187,"7/26/20",5854
188,"7/27/20",5931
189,"7/28/20",6117
190,"7/29/20",6333
191,"7/30/20",6586
192,"7/31/20",6843
193,"8/1/20",7022
194,"8/2/20",7084
195,"8/3/20",7157
196,"8/4/20",7402
197,"8/5/20",7627
198,"8/6/20",7747
199,"8/7/20",7927
200,"8/8/20",8109
201,"8/9/20",8186
202,"8/10/20",8277
203,"8/11/20",8553
204,"8/12/20",8765
205,"8/13/20",8913
206,"8/14/20",9141
207,"8/15/20",9345
208,"8/16/20",9452
209,"8/17/20",9539
210,"8/18/20",9758
211,"8/19/20",9932
212,"8/20/20",10049
213,"8/21/20",10168
214,"8/22/20",10274
215,"8/23/20",10325
216,"8/24/20",10397
217,"8/25/20",10580
218,"8/26/20",10733
219,"8/27/20",10868
220,"8/28/20",10957
221,"8/29/20",11105
222,"8/30/20",11119
223,"8/31/20",11187
224,"9/1/20",11374
225,"9/2/20",11501
