Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",1
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",0
67,"3/28/20",0
68,"3/29/20",0
69,"3/30/20",0
70,"3/31/20",0
71,"4/1/20",1
72,"4/2/20",1
73,"4/3/20",3
74,"4/4/20",3
75,"4/5/20",4
76,"4/6/20",5
77,"4/7/20",5
78,"4/8/20",5
79,"4/9/20",6
80,"4/10/20",6
81,"4/11/20",8
82,"4/12/20",9
83,"4/13/20",9
84,"4/14/20",9
85,"4/15/20",9
86,"4/16/20",9
87,"4/17/20",9
88,"4/18/20",9
89,"4/19/20",10
90,"4/20/20",10
91,"4/21/20",10
92,"4/22/20",12
93,"4/23/20",12
94,"4/24/20",13
95,"4/25/20",13
96,"4/26/20",14
97,"4/27/20",16
98,"4/28/20",16
99,"4/29/20",16
100,"4/30/20",16
101,"5/1/20",16
102,"5/2/20",16
103,"5/3/20",17
104,"5/4/20",17
105,"5/5/20",17
106,"5/6/20",17
107,"5/7/20",17
108,"5/8/20",17
109,"5/9/20",17
110,"5/10/20",17
111,"5/11/20",17
112,"5/12/20",17
113,"5/13/20",17
114,"5/14/20",17
115,"5/15/20",17
116,"5/16/20",17
117,"5/17/20",17
118,"5/18/20",17
119,"5/19/20",17
120,"5/20/20",17
121,"5/21/20",17
122,"5/22/20",17
123,"5/23/20",17
124,"5/24/20",17
125,"5/25/20",17
126,"5/26/20",17
127,"5/27/20",17
128,"5/28/20",17
129,"5/29/20",17
130,"5/30/20",17
131,"5/31/20",17
132,"6/1/20",17
133,"6/2/20",17
134,"6/3/20",17
135,"6/4/20",17
136,"6/5/20",17
137,"6/6/20",17
138,"6/7/20",17
139,"6/8/20",17
140,"6/9/20",17
141,"6/10/20",17
142,"6/11/20",17
143,"6/12/20",17
144,"6/13/20",17
145,"6/14/20",17
146,"6/15/20",17
147,"6/16/20",17
148,"6/17/20",17
149,"6/18/20",17
150,"6/19/20",17
151,"6/20/20",17
152,"6/21/20",17
153,"6/22/20",17
154,"6/23/20",17
155,"6/24/20",17
156,"6/25/20",17
157,"6/26/20",17
158,"6/27/20",18
159,"6/28/20",18
160,"6/29/20",18
161,"6/30/20",18
162,"7/1/20",18
163,"7/2/20",18
164,"7/3/20",19
165,"7/4/20",19
166,"7/5/20",19
167,"7/6/20",19
168,"7/7/20",19
169,"7/8/20",19
170,"7/9/20",19
171,"7/10/20",19
172,"7/11/20",19
173,"7/12/20",19
174,"7/13/20",21
175,"7/14/20",21
176,"7/15/20",21
177,"7/16/20",21
178,"7/17/20",22
179,"7/18/20",23
180,"7/19/20",23
181,"7/20/20",23
182,"7/21/20",23
183,"7/22/20",24
184,"7/23/20",25
185,"7/24/20",25
186,"7/25/20",25
187,"7/26/20",25
188,"7/27/20",25
189,"7/28/20",25
190,"7/29/20",25
191,"7/30/20",25
192,"7/31/20",25
193,"8/1/20",25
194,"8/2/20",25
195,"8/3/20",25
196,"8/4/20",26
197,"8/5/20",26
198,"8/6/20",28
199,"8/7/20",30
200,"8/8/20",30
201,"8/9/20",30
202,"8/10/20",33
203,"8/11/20",33
204,"8/12/20",37
205,"8/13/20",39
206,"8/14/20",39
207,"8/15/20",39
208,"8/16/20",39
209,"8/17/20",39
210,"8/18/20",40
211,"8/19/20",41
212,"8/20/20",44
213,"8/21/20",45
214,"8/22/20",46
215,"8/23/20",46
216,"8/24/20",48
217,"8/25/20",48
218,"8/26/20",50
219,"8/27/20",54
220,"8/28/20",58
221,"8/29/20",61
222,"8/30/20",62
223,"8/31/20",69
224,"9/1/20",73
225,"9/2/20",74
226,"9/3/20",78
227,"9/4/20",80
228,"9/5/20",83
229,"9/6/20",84
230,"9/7/20",85
231,"9/8/20",87
232,"9/9/20",90
233,"9/10/20",93
234,"9/11/20",95
235,"9/12/20",96
236,"9/13/20",98
237,"9/14/20",98
