Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",3
66,"3/27/20",3
67,"3/28/20",4
68,"3/29/20",5
69,"3/30/20",6
70,"3/31/20",8
71,"4/1/20",9
72,"4/2/20",9
73,"4/3/20",9
74,"4/4/20",10
75,"4/5/20",10
76,"4/6/20",10
77,"4/7/20",13
78,"4/8/20",15
79,"4/9/20",18
80,"4/10/20",24
81,"4/11/20",25
82,"4/12/20",27
83,"4/13/20",27
84,"4/14/20",33
85,"4/15/20",39
86,"4/16/20",41
87,"4/17/20",41
88,"4/18/20",43
89,"4/19/20",44
90,"4/20/20",45
91,"4/21/20",48
92,"4/22/20",51
93,"4/23/20",54
94,"4/24/20",54
95,"4/25/20",56
96,"4/26/20",56
97,"4/27/20",56
98,"4/28/20",60
99,"4/29/20",60
100,"4/30/20",60
101,"5/1/20",63
102,"5/2/20",64
103,"5/3/20",64
104,"5/4/20",64
105,"5/5/20",65
106,"5/6/20",66
107,"5/7/20",67
108,"5/8/20",67
109,"5/9/20",67
110,"5/10/20",67
111,"5/11/20",70
112,"5/12/20",69
113,"5/13/20",69
114,"5/14/20",72
115,"5/15/20",72
116,"5/16/20",73
117,"5/17/20",73
118,"5/18/20",74
119,"5/19/20",74
120,"5/20/20",77
121,"5/21/20",77
122,"5/22/20",79
123,"5/23/20",79
124,"5/24/20",79
125,"5/25/20",79
126,"5/26/20",79
127,"5/27/20",81
128,"5/28/20",82
129,"5/29/20",82
130,"5/30/20",82
131,"5/31/20",82
132,"6/1/20",82
133,"6/2/20",83
134,"6/3/20",83
135,"6/4/20",83
136,"6/5/20",83
137,"6/6/20",83
138,"6/7/20",83
139,"6/8/20",83
140,"6/9/20",85
141,"6/10/20",85
142,"6/11/20",85
143,"6/12/20",87
144,"6/13/20",87
145,"6/14/20",87
146,"6/15/20",87
147,"6/16/20",88
148,"6/17/20",88
149,"6/18/20",89
150,"6/19/20",89
151,"6/20/20",89
152,"6/21/20",89
153,"6/22/20",89
154,"6/23/20",89
155,"6/24/20",89
156,"6/25/20",90
157,"6/26/20",90
158,"6/27/20",91
159,"6/28/20",91
160,"6/29/20",91
161,"6/30/20",92
162,"7/1/20",92
163,"7/2/20",92
164,"7/3/20",93
165,"7/4/20",93
166,"7/5/20",93
167,"7/6/20",94
168,"7/7/20",94
169,"7/8/20",98
170,"7/9/20",100
171,"7/10/20",101
172,"7/11/20",102
173,"7/12/20",102
174,"7/13/20",102
175,"7/14/20",103
176,"7/15/20",110
177,"7/16/20",114
178,"7/17/20",118
179,"7/18/20",119
180,"7/19/20",119
181,"7/20/20",122
182,"7/21/20",126
183,"7/22/20",135
184,"7/23/20",138
185,"7/24/20",144
186,"7/25/20",146
187,"7/26/20",146
188,"7/27/20",152
189,"7/28/20",160
190,"7/29/20",173
191,"7/30/20",177
192,"7/31/20",188
193,"8/1/20",197
194,"8/2/20",197
195,"8/3/20",200
196,"8/4/20",210
197,"8/5/20",217
198,"8/6/20",223
199,"8/7/20",229
200,"8/8/20",235
201,"8/9/20",237
202,"8/10/20",239
203,"8/11/20",246
204,"8/12/20",246
205,"8/13/20",251
206,"8/14/20",265
207,"8/15/20",269
208,"8/16/20",269
209,"8/17/20",273
210,"8/18/20",282
211,"8/19/20",289
212,"8/20/20",296
213,"8/21/20",305
214,"8/22/20",306
215,"8/23/20",307
216,"8/24/20",314
217,"8/25/20",326
218,"8/26/20",337
219,"8/27/20",343
220,"8/28/20",353
221,"8/29/20",358
222,"8/30/20",359
223,"8/31/20",361
224,"9/1/20",367
225,"9/2/20",372
226,"9/3/20",372
227,"9/4/20",382
228,"9/5/20",384
229,"9/6/20",385
230,"9/7/20",385
231,"9/8/20",389
232,"9/9/20",407
233,"9/10/20",407
234,"9/11/20",412
235,"9/12/20",415
236,"9/13/20",415
237,"9/14/20",419
