Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",1
57,"3/18/20",1
58,"3/19/20",4
59,"3/20/20",5
60,"3/21/20",6
61,"3/22/20",9
62,"3/23/20",12
63,"3/24/20",16
64,"3/25/20",19
65,"3/26/20",26
66,"3/27/20",34
67,"3/28/20",47
68,"3/29/20",66
69,"3/30/20",73
70,"3/31/20",99
71,"4/1/20",141
72,"4/2/20",163
73,"4/3/20",210
74,"4/4/20",244
75,"4/5/20",274
76,"4/6/20",307
77,"4/7/20",380
78,"4/8/20",462
79,"4/9/20",528
80,"4/10/20",597
81,"4/11/20",677
82,"4/12/20",720
83,"4/13/20",798
84,"4/14/20",868
85,"4/15/20",949
86,"4/16/20",1072
87,"4/17/20",1132
88,"4/18/20",1259
89,"4/19/20",1290
90,"4/20/20",1349
91,"4/21/20",1468
92,"4/22/20",1565
93,"4/23/20",1688
94,"4/24/20",1795
95,"4/25/20",1875
96,"4/26/20",1933
97,"4/27/20",1983
98,"4/28/20",2125
99,"4/29/20",2215
100,"4/30/20",2355
101,"5/1/20",2457
102,"5/2/20",2559
103,"5/3/20",2618
104,"5/4/20",2659
105,"5/5/20",2834
106,"5/6/20",2970
107,"5/7/20",3108
108,"5/8/20",3239
109,"5/9/20",3346
110,"5/10/20",3404
111,"5/11/20",3457
112,"5/12/20",3600
113,"5/13/20",3791
114,"5/14/20",3926
115,"5/15/20",4057
116,"5/16/20",4128
117,"5/17/20",4176
118,"5/18/20",4233
119,"5/19/20",4378
120,"5/20/20",4524
121,"5/21/20",4606
122,"5/22/20",4714
123,"5/23/20",4789
124,"5/24/20",4855
125,"5/25/20",4884
126,"5/26/20",4922
127,"5/27/20",5082
128,"5/28/20",5185
129,"5/29/20",5269
130,"5/30/20",5329
131,"5/31/20",5389
132,"6/1/20",5411
133,"6/2/20",5524
134,"6/3/20",5620
135,"6/4/20",5735
136,"6/5/20",5794
137,"6/6/20",5863
138,"6/7/20",5903
139,"6/8/20",5923
140,"6/9/20",6017
141,"6/10/20",6094
142,"6/11/20",6184
143,"6/12/20",6259
144,"6/13/20",6288
145,"6/14/20",6307
146,"6/15/20",6325
147,"6/16/20",6397
148,"6/17/20",6485
149,"6/18/20",6537
150,"6/19/20",6580
151,"6/20/20",6625
152,"6/21/20",6647
153,"6/22/20",6671
154,"6/23/20",6707
155,"6/24/20",6770
156,"6/25/20",6810
157,"6/26/20",6847
158,"6/27/20",6873
159,"6/28/20",6888
160,"6/29/20",6902
161,"6/30/20",6923
162,"7/1/20",6951
163,"7/2/20",6987
164,"7/3/20",7005
165,"7/4/20",7014
166,"7/5/20",7020
167,"7/6/20",7026
168,"7/7/20",7273
169,"7/8/20",7309
170,"7/9/20",7328
171,"7/10/20",7345
172,"7/11/20",7369
173,"7/12/20",7388
174,"7/13/20",7394
175,"7/14/20",7419
176,"7/15/20",7427
177,"7/16/20",7452
178,"7/17/20",7465
179,"7/18/20",7483
180,"7/19/20",7488
181,"7/20/20",7494
182,"7/21/20",7517
183,"7/22/20",7540
184,"7/23/20",7560
185,"7/24/20",7577
186,"7/25/20",7588
187,"7/26/20",7590
188,"7/27/20",7608
189,"7/28/20",7638
190,"7/29/20",7654
191,"7/30/20",7670
192,"7/31/20",7692
193,"8/1/20",7700
194,"8/2/20",7714
195,"8/3/20",7723
196,"8/4/20",7742
197,"8/5/20",7770
198,"8/6/20",7791
199,"8/7/20",7822
200,"8/8/20",7840
201,"8/9/20",7845
202,"8/10/20",7846
203,"8/11/20",7866
204,"8/12/20",7881
205,"8/13/20",7905
206,"8/14/20",7932
207,"8/15/20",7937
208,"8/16/20",7955
209,"8/17/20",7967
210,"8/18/20",7994
211,"8/19/20",8017
212,"8/20/20",8044
213,"8/21/20",8066
214,"8/22/20",8083
215,"8/23/20",8089
216,"8/24/20",8097
217,"8/25/20",8126
218,"8/26/20",8163
219,"8/27/20",8186
220,"8/28/20",8206
221,"8/29/20",8217
222,"8/30/20",8228
223,"8/31/20",8235
224,"9/1/20",8273
225,"9/2/20",8300
