Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",1
56,"3/17/20",3
57,"3/18/20",4
58,"3/19/20",4
59,"3/20/20",8
60,"3/21/20",13
61,"3/22/20",18
62,"3/23/20",23
63,"3/24/20",28
64,"3/25/20",34
65,"3/26/20",43
66,"3/27/20",46
67,"3/28/20",58
68,"3/29/20",76
69,"3/30/20",91
70,"3/31/20",112
71,"4/1/20",134
72,"4/2/20",156
73,"4/3/20",188
74,"4/4/20",213
75,"4/5/20",247
76,"4/6/20",272
77,"4/7/20",309
78,"4/8/20",338
79,"4/9/20",374
80,"4/10/20",399
81,"4/11/20",419
82,"4/12/20",448
83,"4/13/20",483
84,"4/14/20",529
85,"4/15/20",567
86,"4/16/20",601
87,"4/17/20",637
88,"4/18/20",665
89,"4/19/20",702
90,"4/20/20",740
91,"4/21/20",790
92,"4/22/20",841
93,"4/23/20",879
94,"4/24/20",916
95,"4/25/20",958
96,"4/26/20",993
97,"4/27/20",1036
98,"4/28/20",1072
99,"4/29/20",1116
100,"4/30/20",1161
101,"5/1/20",1198
102,"5/2/20",1242
103,"5/3/20",1278
104,"5/4/20",1317
105,"5/5/20",1356
106,"5/6/20",1400
107,"5/7/20",1434
108,"5/8/20",1462
109,"5/9/20",1495
110,"5/10/20",1529
111,"5/11/20",1571
112,"5/12/20",1610
113,"5/13/20",1638
114,"5/14/20",1682
115,"5/15/20",1715
116,"5/16/20",1745
117,"5/17/20",1775
118,"5/18/20",1816
119,"5/19/20",1846
120,"5/20/20",1878
121,"5/21/20",1917
122,"5/22/20",1935
123,"5/23/20",1960
124,"5/24/20",1975
125,"5/25/20",1997
126,"5/26/20",2017
127,"5/27/20",2032
128,"5/28/20",2051
129,"5/29/20",2073
130,"5/30/20",2096
131,"5/31/20",2113
132,"6/1/20",2133
133,"6/2/20",2153
134,"6/3/20",2179
135,"6/4/20",2202
136,"6/5/20",2223
137,"6/6/20",2233
138,"6/7/20",2248
139,"6/8/20",2265
140,"6/9/20",2290
141,"6/10/20",2307
142,"6/11/20",2322
143,"6/12/20",2338
144,"6/13/20",2351
145,"6/14/20",2372
146,"6/15/20",2386
147,"6/16/20",2401
148,"6/17/20",2418
149,"6/18/20",2443
150,"6/19/20",2455
151,"6/20/20",2465
152,"6/21/20",2476
153,"6/22/20",2491
154,"6/23/20",2495
155,"6/24/20",2505
156,"6/25/20",2518
157,"6/26/20",2530
158,"6/27/20",2541
159,"6/28/20",2550
160,"6/29/20",2559
161,"6/30/20",2569
162,"7/1/20",2581
163,"7/2/20",2589
164,"7/3/20",2600
165,"7/4/20",2607
166,"7/5/20",2619
167,"7/6/20",2635
168,"7/7/20",2644
169,"7/8/20",2652
170,"7/9/20",2663
171,"7/10/20",2670
172,"7/11/20",2681
173,"7/12/20",2694
174,"7/13/20",2703
175,"7/14/20",2709
176,"7/15/20",2720
177,"7/16/20",2730
178,"7/17/20",2739
179,"7/18/20",2748
180,"7/19/20",2757
181,"7/20/20",2771
182,"7/21/20",2780
183,"7/22/20",2793
184,"7/23/20",2803
185,"7/24/20",2814
186,"7/25/20",2825
187,"7/26/20",2835
188,"7/27/20",2839
189,"7/28/20",2845
190,"7/29/20",2866
191,"7/30/20",2875
192,"7/31/20",2886
193,"8/1/20",2899
194,"8/2/20",2908
195,"8/3/20",2917
196,"8/4/20",2928
197,"8/5/20",2933
198,"8/6/20",2948
199,"8/7/20",2962
200,"8/8/20",2974
201,"8/9/20",2981
202,"8/10/20",2997
203,"8/11/20",3010
204,"8/12/20",3025
205,"8/13/20",3040
206,"8/14/20",3056
207,"8/15/20",3068
208,"8/16/20",3080
209,"8/17/20",3103
210,"8/18/20",3108
211,"8/19/20",3124
212,"8/20/20",3141
213,"8/21/20",3149
214,"8/22/20",3164
215,"8/23/20",3176
216,"8/24/20",3190
217,"8/25/20",3201
218,"8/26/20",3204
219,"8/27/20",3220
220,"8/28/20",3229
221,"8/29/20",3241
222,"8/30/20",3250
223,"8/31/20",3263
224,"9/1/20",3270
225,"9/2/20",3280
226,"9/3/20",3286
