Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",3
67,"3/28/20",3
68,"3/29/20",4
69,"3/30/20",6
70,"3/31/20",7
71,"4/1/20",9
72,"4/2/20",11
73,"4/3/20",11
74,"4/4/20",14
75,"4/5/20",18
76,"4/6/20",25
77,"4/7/20",25
78,"4/8/20",27
79,"4/9/20",29
80,"4/10/20",31
81,"4/11/20",34
82,"4/12/20",41
83,"4/13/20",41
84,"4/14/20",49
85,"4/15/20",53
86,"4/16/20",60
87,"4/17/20",64
88,"4/18/20",74
89,"4/19/20",75
90,"4/20/20",79
91,"4/21/20",83
92,"4/22/20",90
93,"4/23/20",96
94,"4/24/20",107
95,"4/25/20",112
96,"4/26/20",118
97,"4/27/20",127
98,"4/28/20",136
99,"4/29/20",148
100,"4/30/20",162
101,"5/1/20",170
102,"5/2/20",175
103,"5/3/20",184
104,"5/4/20",188
105,"5/5/20",207
106,"5/6/20",219
107,"5/7/20",231
108,"5/8/20",243
109,"5/9/20",252
110,"5/10/20",265
111,"5/11/20",271
112,"5/12/20",289
113,"5/13/20",306
114,"5/14/20",318
115,"5/15/20",336
116,"5/16/20",346
117,"5/17/20",351
118,"5/18/20",355
119,"5/19/20",367
120,"5/20/20",393
121,"5/21/20",410
122,"5/22/20",424
123,"5/23/20",446
124,"5/24/20",456
125,"5/25/20",456
126,"5/26/20",477
127,"5/27/20",496
128,"5/28/20",506
129,"5/29/20",524
130,"5/30/20",531
131,"5/31/20",535
132,"6/1/20",555
133,"6/2/20",561
134,"6/3/20",574
135,"6/4/20",583
136,"6/5/20",593
137,"6/6/20",599
138,"6/7/20",605
139,"6/8/20",617
140,"6/9/20",626
141,"6/10/20",631
142,"6/11/20",640
143,"6/12/20",644
144,"6/13/20",650
145,"6/14/20",652
146,"6/15/20",658
147,"6/16/20",665
148,"6/17/20",675
149,"6/18/20",680
150,"6/19/20",681
151,"6/20/20",681
152,"6/21/20",686
153,"6/22/20",686
154,"6/23/20",689
155,"6/24/20",690
156,"6/25/20",696
157,"6/26/20",704
158,"6/27/20",704
159,"6/28/20",706
160,"6/29/20",711
161,"6/30/20",716
162,"7/1/20",717
163,"7/2/20",719
164,"7/3/20",721
165,"7/4/20",721
166,"7/5/20",721
167,"7/6/20",723
168,"7/7/20",732
169,"7/8/20",736
170,"7/9/20",741
171,"7/10/20",743
172,"7/11/20",748
173,"7/12/20",752
174,"7/13/20",755
175,"7/14/20",757
176,"7/15/20",777
177,"7/16/20",781
178,"7/17/20",785
179,"7/18/20",789
180,"7/19/20",793
181,"7/20/20",798
182,"7/21/20",806
183,"7/22/20",814
184,"7/23/20",820
185,"7/24/20",826
186,"7/25/20",826
187,"7/26/20",829
188,"7/27/20",836
189,"7/28/20",839
190,"7/29/20",854
191,"7/30/20",865
192,"7/31/20",872
193,"8/1/20",874
194,"8/2/20",878
195,"8/3/20",884
196,"8/4/20",888
197,"8/5/20",900
198,"8/6/20",912
199,"8/7/20",915
200,"8/8/20",927
201,"8/9/20",931
202,"8/10/20",934
203,"8/11/20",946
204,"8/12/20",953
205,"8/13/20",960
206,"8/14/20",970
207,"8/15/20",975
208,"8/16/20",975
209,"8/17/20",987
210,"8/18/20",1002
211,"8/19/20",1010
212,"8/20/20",1016
213,"8/21/20",1029
214,"8/22/20",1033
215,"8/23/20",1037
216,"8/24/20",1047
217,"8/25/20",1059
218,"8/26/20",1071
219,"8/27/20",1091
220,"8/28/20",1108
221,"8/29/20",1100
222,"8/30/20",1113
223,"8/31/20",1120
224,"9/1/20",1125
225,"9/2/20",1133
226,"9/3/20",1136
227,"9/4/20",1158
228,"9/5/20",1164
229,"9/6/20",1167
230,"9/7/20",1170
231,"9/8/20",1185
232,"9/9/20",1204
233,"9/10/20",1207
234,"9/11/20",1216
235,"9/12/20",1218
