Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",1
58,"3/19/20",2
59,"3/20/20",2
60,"3/21/20",3
61,"3/22/20",3
62,"3/23/20",4
63,"3/24/20",4
64,"3/25/20",5
65,"3/26/20",5
66,"3/27/20",7
67,"3/28/20",9
68,"3/29/20",9
69,"3/30/20",11
70,"3/31/20",11
71,"4/1/20",18
72,"4/2/20",31
73,"4/3/20",34
74,"4/4/20",40
75,"4/5/20",45
76,"4/6/20",45
77,"4/7/20",65
78,"4/8/20",65
79,"4/9/20",73
80,"4/10/20",90
81,"4/11/20",90
82,"4/12/20",97
83,"4/13/20",113
84,"4/14/20",106
85,"4/15/20",115
86,"4/16/20",129
87,"4/17/20",137
88,"4/18/20",144
89,"4/19/20",146
90,"4/20/20",154
91,"4/21/20",171
92,"4/22/20",185
93,"4/23/20",191
94,"4/24/20",200
95,"4/25/20",205
96,"4/26/20",208
97,"4/27/20",213
98,"4/28/20",225
99,"4/29/20",234
100,"4/30/20",240
101,"5/1/20",246
102,"5/2/20",248
103,"5/3/20",253
104,"5/4/20",261
105,"5/5/20",275
106,"5/6/20",283
107,"5/7/20",294
108,"5/8/20",298
109,"5/9/20",304
110,"5/10/20",304
111,"5/11/20",311
112,"5/12/20",321
113,"5/13/20",321
114,"5/14/20",328
115,"5/15/20",332
116,"5/16/20",334
117,"5/17/20",334
118,"5/18/20",346
119,"5/19/20",366
120,"5/20/20",376
121,"5/21/20",386
122,"5/22/20",391
123,"5/23/20",391
124,"5/24/20",391
125,"5/25/20",391
126,"5/26/20",394
127,"5/27/20",400
128,"5/28/20",409
129,"5/29/20",418
130,"5/30/20",431
131,"5/31/20",431
132,"6/1/20",439
133,"6/2/20",442
134,"6/3/20",450
135,"6/4/20",458
136,"6/5/20",466
137,"6/6/20",470
138,"6/7/20",470
139,"6/8/20",472
140,"6/9/20",477
141,"6/10/20",484
142,"6/11/20",493
143,"6/12/20",497
144,"6/13/20",499
145,"6/14/20",499
146,"6/15/20",505
147,"6/16/20",505
148,"6/17/20",518
149,"6/18/20",520
150,"6/19/20",522
151,"6/20/20",524
152,"6/21/20",526
153,"6/22/20",526
154,"6/23/20",537
155,"6/24/20",538
156,"6/25/20",546
157,"6/26/20",553
158,"6/27/20",554
159,"6/28/20",558
160,"6/29/20",560
161,"6/30/20",565
162,"7/1/20",572
163,"7/2/20",581
164,"7/3/20",585
165,"7/4/20",585
166,"7/5/20",585
167,"7/6/20",593
168,"7/7/20",602
169,"7/8/20",608
170,"7/9/20",612
171,"7/10/20",620
172,"7/11/20",622
173,"7/12/20",625
174,"7/13/20",629
175,"7/14/20",635
176,"7/15/20",645
177,"7/16/20",650
178,"7/17/20",658
179,"7/18/20",667
180,"7/19/20",670
181,"7/20/20",671
182,"7/21/20",674
183,"7/22/20",677
184,"7/23/20",684
185,"7/24/20",691
186,"7/25/20",696
187,"7/26/20",700
188,"7/27/20",709
189,"7/28/20",719
190,"7/29/20",724
191,"7/30/20",731
192,"7/31/20",735
193,"8/1/20",740
194,"8/2/20",742
195,"8/3/20",744
196,"8/4/20",751
197,"8/5/20",752
198,"8/6/20",760
199,"8/7/20",764
200,"8/8/20",772
201,"8/9/20",773
202,"8/10/20",775
203,"8/11/20",783
204,"8/12/20",790
205,"8/13/20",796
206,"8/14/20",804
207,"8/15/20",810
208,"8/16/20",810
209,"8/17/20",818
210,"8/18/20",830
211,"8/19/20",842
212,"8/20/20",856
213,"8/21/20",864
214,"8/22/20",872
215,"8/23/20",872
216,"8/24/20",884
217,"8/25/20",895
218,"8/26/20",902
219,"8/27/20",910
220,"8/28/20",918
221,"8/29/20",921
222,"8/30/20",929
223,"8/31/20",933
224,"9/1/20",948
225,"9/2/20",966
226,"9/3/20",976
227,"9/4/20",987
228,"9/5/20",993
229,"9/6/20",996
230,"9/7/20",996
231,"9/8/20",997
232,"9/9/20",1013
233,"9/10/20",1035
234,"9/11/20",1044
235,"9/12/20",1057
236,"9/13/20",1060
237,"9/14/20",1065
