Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",1
54,"3/15/20",2
55,"3/16/20",3
56,"3/17/20",4
57,"3/18/20",6
58,"3/19/20",10
59,"3/20/20",14
60,"3/21/20",20
61,"3/22/20",20
62,"3/23/20",35
63,"3/24/20",46
64,"3/25/20",65
65,"3/26/20",83
66,"3/27/20",119
67,"3/28/20",137
68,"3/29/20",151
69,"3/30/20",185
70,"3/31/20",239
71,"4/1/20",273
72,"4/2/20",310
73,"4/3/20",370
74,"4/4/20",409
75,"4/5/20",477
76,"4/6/20",512
77,"4/7/20",582
78,"4/8/20",652
79,"4/9/20",702
80,"4/10/20",755
81,"4/11/20",806
82,"4/12/20",840
83,"4/13/20",884
84,"4/14/20",1013
85,"4/15/20",1103
86,"4/16/20",1156
87,"4/17/20",1213
88,"4/18/20",1267
89,"4/19/20",1296
90,"4/20/20",1328
91,"4/21/20",1405
92,"4/22/20",1473
93,"4/23/20",1599
94,"4/24/20",1660
95,"4/25/20",1707
96,"4/26/20",1729
97,"4/27/20",1740
98,"4/28/20",1801
99,"4/29/20",1845
100,"4/30/20",1905
101,"5/1/20",1970
102,"5/2/20",1993
103,"5/3/20",2012
104,"5/4/20",2064
105,"5/5/20",2115
106,"5/6/20",2167
107,"5/7/20",2208
108,"5/8/20",2227
109,"5/9/20",2267
110,"5/10/20",2286
111,"5/11/20",2308
112,"5/12/20",2347
113,"5/13/20",2381
114,"5/14/20",2417
115,"5/15/20",2448
116,"5/16/20",2479
117,"5/17/20",2491
118,"5/18/20",2563
119,"5/19/20",2581
120,"5/20/20",2608
121,"5/21/20",2629
122,"5/22/20",2668
123,"5/23/20",2668
124,"5/24/20",2691
125,"5/25/20",2691
126,"5/26/20",2702
127,"5/27/20",2723
128,"5/28/20",2741
129,"5/29/20",2767
130,"5/30/20",2786
131,"5/31/20",2791
132,"6/1/20",2801
133,"6/2/20",2835
134,"6/3/20",2870
135,"6/4/20",2883
136,"6/5/20",2912
137,"6/6/20",2925
138,"6/7/20",2936
139,"6/8/20",2944
140,"6/9/20",2957
141,"6/10/20",2968
142,"6/11/20",2987
143,"6/12/20",2996
144,"6/13/20",3004
145,"6/14/20",3014
146,"6/15/20",3018
147,"6/16/20",3042
148,"6/17/20",3062
149,"6/18/20",3062
150,"6/19/20",3084
151,"6/20/20",3104
152,"6/21/20",3105
153,"6/22/20",3117
154,"6/23/20",3134
155,"6/24/20",3152
156,"6/25/20",3164
157,"6/26/20",3190
158,"6/27/20",3190
159,"6/28/20",3199
160,"6/29/20",3199
161,"6/30/20",3221
162,"7/1/20",3238
163,"7/2/20",3255
164,"7/3/20",3278
165,"7/4/20",3278
166,"7/5/20",3288
167,"7/6/20",3296
168,"7/7/20",3319
169,"7/8/20",3339
170,"7/9/20",3355
171,"7/10/20",3380
172,"7/11/20",3403
173,"7/12/20",3416
174,"7/13/20",3423
175,"7/14/20",3445
176,"7/15/20",3461
177,"7/16/20",3485
178,"7/17/20",3509
179,"7/18/20",3509
180,"7/19/20",3543
181,"7/20/20",3574
182,"7/21/20",3610
183,"7/22/20",3670
184,"7/23/20",3686
185,"7/24/20",3715
186,"7/25/20",3715
187,"7/26/20",3763
188,"7/27/20",3786
189,"7/28/20",3812
190,"7/29/20",3883
191,"7/30/20",3925
192,"7/31/20",3949
193,"8/1/20",3949
194,"8/2/20",4007
195,"8/3/20",4024
196,"8/4/20",4051
197,"8/5/20",4096
198,"8/6/20",4146
199,"8/7/20",4207
200,"8/8/20",4207
201,"8/9/20",4263
202,"8/10/20",4287
203,"8/11/20",4313
204,"8/12/20",4356
205,"8/13/20",4402
206,"8/14/20",4430
207,"8/15/20",4430
208,"8/16/20",4507
209,"8/17/20",4526
210,"8/18/20",4554
211,"8/19/20",4609
212,"8/20/20",4637
213,"8/21/20",4687
214,"8/22/20",4687
215,"8/23/20",4746
216,"8/24/20",4764
217,"8/25/20",4797
218,"8/26/20",4851
219,"8/27/20",4874
220,"8/28/20",4904
221,"8/29/20",4904
222,"8/30/20",4931
223,"8/31/20",4950
224,"9/1/20",4984
