Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",1
67,"3/28/20",1
68,"3/29/20",3
69,"3/30/20",3
70,"3/31/20",5
71,"4/1/20",5
72,"4/2/20",7
73,"4/3/20",9
74,"4/4/20",10
75,"4/5/20",10
76,"4/6/20",10
77,"4/7/20",12
78,"4/8/20",14
79,"4/9/20",16
80,"4/10/20",17
81,"4/11/20",19
82,"4/12/20",19
83,"4/13/20",19
84,"4/14/20",20
85,"4/15/20",24
86,"4/16/20",27
87,"4/17/20",29
88,"4/18/20",32
89,"4/19/20",34
90,"4/20/20",35
91,"4/21/20",36
92,"4/22/20",39
93,"4/23/20",44
94,"4/24/20",47
95,"4/25/20",47
96,"4/26/20",50
97,"4/27/20",51
98,"4/28/20",51
99,"4/29/20",52
100,"4/30/20",53
101,"5/1/20",55
102,"5/2/20",56
103,"5/3/20",57
104,"5/4/20",57
105,"5/5/20",61
106,"5/6/20",62
107,"5/7/20",62
108,"5/8/20",63
109,"5/9/20",64
110,"5/10/20",64
111,"5/11/20",65
112,"5/12/20",65
113,"5/13/20",66
114,"5/14/20",69
115,"5/15/20",69
116,"5/16/20",70
117,"5/17/20",70
118,"5/18/20",71
119,"5/19/20",73
120,"5/20/20",73
121,"5/21/20",73
122,"5/22/20",75
123,"5/23/20",77
124,"5/24/20",78
125,"5/25/20",78
126,"5/26/20",79
127,"5/27/20",81
128,"5/28/20",84
129,"5/29/20",85
130,"5/30/20",89
131,"5/31/20",89
132,"6/1/20",89
133,"6/2/20",94
134,"6/3/20",95
135,"6/4/20",95
136,"6/5/20",98
137,"6/6/20",98
138,"6/7/20",99
139,"6/8/20",99
140,"6/9/20",100
141,"6/10/20",100
142,"6/11/20",100
143,"6/12/20",100
144,"6/13/20",100
145,"6/14/20",100
146,"6/15/20",101
147,"6/16/20",101
148,"6/17/20",102
149,"6/18/20",102
150,"6/19/20",102
151,"6/20/20",102
152,"6/21/20",102
153,"6/22/20",102
154,"6/23/20",102
155,"6/24/20",103
156,"6/25/20",103
157,"6/26/20",103
158,"6/27/20",104
159,"6/28/20",104
160,"6/29/20",105
161,"6/30/20",105
162,"7/1/20",105
163,"7/2/20",105
164,"7/3/20",105
165,"7/4/20",107
166,"7/5/20",109
167,"7/6/20",109
168,"7/7/20",110
169,"7/8/20",110
170,"7/9/20",111
171,"7/10/20",111
172,"7/11/20",112
173,"7/12/20",114
174,"7/13/20",114
175,"7/14/20",114
176,"7/15/20",114
177,"7/16/20",114
178,"7/17/20",115
179,"7/18/20",117
180,"7/19/20",117
181,"7/20/20",117
182,"7/21/20",118
183,"7/22/20",118
184,"7/23/20",118
185,"7/24/20",118
186,"7/25/20",119
187,"7/26/20",119
188,"7/27/20",119
189,"7/28/20",121
190,"7/29/20",121
191,"7/30/20",122
192,"7/31/20",123
193,"8/1/20",123
194,"8/2/20",123
195,"8/3/20",124
196,"8/4/20",123
197,"8/5/20",124
198,"8/6/20",124
199,"8/7/20",124
200,"8/8/20",125
201,"8/9/20",125
202,"8/10/20",125
203,"8/11/20",126
204,"8/12/20",126
205,"8/13/20",126
206,"8/14/20",126
207,"8/15/20",127
208,"8/16/20",127
209,"8/17/20",127
210,"8/18/20",127
211,"8/19/20",127
212,"8/20/20",128
213,"8/21/20",129
214,"8/22/20",130
215,"8/23/20",131
216,"8/24/20",131
217,"8/25/20",131
218,"8/26/20",132
219,"8/27/20",132
220,"8/28/20",132
221,"8/29/20",132
222,"8/30/20",132
223,"8/31/20",132
224,"9/1/20",132
225,"9/2/20",133
226,"9/3/20",133
227,"9/4/20",134
228,"9/5/20",134
229,"9/6/20",134
230,"9/7/20",134
231,"9/8/20",134
232,"9/9/20",134
233,"9/10/20",134
234,"9/11/20",134
235,"9/12/20",135
236,"9/13/20",136
237,"9/14/20",136
