Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",1
61,"3/22/20",1
62,"3/23/20",1
63,"3/24/20",1
64,"3/25/20",1
65,"3/26/20",2
66,"3/27/20",4
67,"3/28/20",5
68,"3/29/20",9
69,"3/30/20",10
70,"3/31/20",12
71,"4/1/20",17
72,"4/2/20",18
73,"4/3/20",22
74,"4/4/20",24
75,"4/5/20",29
76,"4/6/20",30
77,"4/7/20",34
78,"4/8/20",39
79,"4/9/20",50
80,"4/10/20",57
81,"4/11/20",64
82,"4/12/20",70
83,"4/13/20",70
84,"4/14/20",79
85,"4/15/20",87
86,"4/16/20",87
87,"4/17/20",111
88,"4/18/20",121
89,"4/19/20",134
90,"4/20/20",143
91,"4/21/20",160
92,"4/22/20",179
93,"4/23/20",200
94,"4/24/20",221
95,"4/25/20",244
96,"4/26/20",272
97,"4/27/20",286
98,"4/28/20",301
99,"4/29/20",319
100,"4/30/20",343
101,"5/1/20",370
102,"5/2/20",394
103,"5/3/20",418
104,"5/4/20",427
105,"5/5/20",455
106,"5/6/20",485
107,"5/7/20",508
108,"5/8/20",534
109,"5/9/20",558
110,"5/10/20",578
111,"5/11/20",591
112,"5/12/20",614
113,"5/13/20",638
114,"5/14/20",672
115,"5/15/20",692
116,"5/16/20",709
117,"5/17/20",731
118,"5/18/20",740
119,"5/19/20",757
120,"5/20/20",786
121,"5/21/20",818
122,"5/22/20",851
123,"5/23/20",861
124,"5/24/20",878
125,"5/25/20",890
126,"5/26/20",908
127,"5/27/20",942
128,"5/28/20",977
129,"5/29/20",1006
130,"5/30/20",1036
131,"5/31/20",1050
132,"6/1/20",1060
133,"6/2/20",1082
134,"6/3/20",1097
135,"6/4/20",1126
136,"6/5/20",1159
137,"6/6/20",1181
138,"6/7/20",1197
139,"6/8/20",1208
140,"6/9/20",1228
141,"6/10/20",1267
142,"6/11/20",1280
143,"6/12/20",1305
144,"6/13/20",1314
145,"6/14/20",1329
146,"6/15/20",1335
147,"6/16/20",1344
148,"6/17/20",1357
149,"6/18/20",1376
150,"6/19/20",1393
151,"6/20/20",1404
152,"6/21/20",1412
153,"6/22/20",1416
154,"6/23/20",1425
155,"6/24/20",1432
156,"6/25/20",1441
157,"6/26/20",1446
158,"6/27/20",1452
159,"6/28/20",1460
160,"6/29/20",1470
161,"6/30/20",1476
162,"7/1/20",1482
163,"7/2/20",1495
164,"7/3/20",1503
165,"7/4/20",1503
166,"7/5/20",1508
167,"7/6/20",1511
168,"7/7/20",1514
169,"7/8/20",1523
170,"7/9/20",1528
171,"7/10/20",1533
172,"7/11/20",1537
173,"7/12/20",1540
174,"7/13/20",1542
175,"7/14/20",1548
176,"7/15/20",1558
177,"7/16/20",1566
178,"7/17/20",1573
179,"7/18/20",1578
180,"7/19/20",1581
181,"7/20/20",1585
182,"7/21/20",1588
183,"7/22/20",1592
184,"7/23/20",1601
185,"7/24/20",1606
186,"7/25/20",1611
187,"7/26/20",1614
188,"7/27/20",1616
189,"7/28/20",1620
190,"7/29/20",1629
191,"7/30/20",1634
192,"7/31/20",1640
193,"8/1/20",1646
194,"8/2/20",1654
195,"8/3/20",1656
196,"8/4/20",1660
197,"8/5/20",1670
198,"8/6/20",1677
199,"8/7/20",1681
200,"8/8/20",1689
201,"8/9/20",1698
202,"8/10/20",1701
203,"8/11/20",1707
204,"8/12/20",1724
205,"8/13/20",1731
206,"8/14/20",1739
207,"8/15/20",1705
208,"8/16/20",1752
209,"8/17/20",1758
210,"8/18/20",1767
211,"8/19/20",1784
212,"8/20/20",1791
213,"8/21/20",1799
214,"8/22/20",1807
215,"8/23/20",1813
216,"8/24/20",1817
217,"8/25/20",1825
218,"8/26/20",1840
219,"8/27/20",1855
220,"8/28/20",1859
221,"8/29/20",1863
222,"8/30/20",1865
223,"8/31/20",1866
224,"9/1/20",1871
225,"9/2/20",1882
226,"9/3/20",1889
227,"9/4/20",1899
228,"9/5/20",1903
