Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",0
67,"3/28/20",2
68,"3/29/20",2
69,"3/30/20",2
70,"3/31/20",3
71,"4/1/20",4
72,"4/2/20",5
73,"4/3/20",6
74,"4/4/20",6
75,"4/5/20",8
76,"4/6/20",9
77,"4/7/20",10
78,"4/8/20",12
79,"4/9/20",14
80,"4/10/20",15
81,"4/11/20",17
82,"4/12/20",17
83,"4/13/20",17
84,"4/14/20",20
85,"4/15/20",20
86,"4/16/20",21
87,"4/17/20",24
88,"4/18/20",24
89,"4/19/20",28
90,"4/20/20",33
91,"4/21/20",33
92,"4/22/20",38
93,"4/23/20",47
94,"4/24/20",50
95,"4/25/20",50
96,"4/26/20",56
97,"4/27/20",56
98,"4/28/20",56
99,"4/29/20",56
100,"4/30/20",70
101,"5/1/20",73
102,"5/2/20",73
103,"5/3/20",78
104,"5/4/20",78
105,"5/5/20",78
106,"5/6/20",78
107,"5/7/20",91
108,"5/8/20",90
109,"5/9/20",90
110,"5/10/20",90
111,"5/11/20",98
112,"5/12/20",100
113,"5/13/20",103
114,"5/14/20",103
115,"5/15/20",113
116,"5/16/20",123
117,"5/17/20",123
118,"5/18/20",123
119,"5/19/20",123
120,"5/20/20",138
121,"5/21/20",138
122,"5/22/20",147
123,"5/23/20",147
124,"5/24/20",147
125,"5/25/20",147
126,"5/26/20",147
127,"5/27/20",153
128,"5/28/20",163
129,"5/29/20",164
130,"5/30/20",170
131,"5/31/20",170
132,"6/1/20",170
133,"6/2/20",170
134,"6/3/20",170
135,"6/4/20",187
136,"6/5/20",187
137,"6/6/20",187
138,"6/7/20",187
139,"6/8/20",188
140,"6/9/20",189
141,"6/10/20",191
142,"6/11/20",212
143,"6/12/20",215
144,"6/13/20",215
145,"6/14/20",215
146,"6/15/20",220
147,"6/16/20",231
148,"6/17/20",234
149,"6/18/20",239
150,"6/19/20",244
151,"6/20/20",244
152,"6/21/20",244
153,"6/22/20",249
154,"6/23/20",256
155,"6/24/20",257
156,"6/25/20",260
157,"6/26/20",266
158,"6/27/20",267
159,"6/28/20",267
160,"6/29/20",269
161,"6/30/20",274
162,"7/1/20",276
163,"7/2/20",282
164,"7/3/20",284
165,"7/4/20",284
166,"7/5/20",284
167,"7/6/20",283
168,"7/7/20",282
169,"7/8/20",282
170,"7/9/20",284
171,"7/10/20",286
172,"7/11/20",285
173,"7/12/20",285
174,"7/13/20",288
175,"7/14/20",286
176,"7/15/20",291
177,"7/16/20",299
178,"7/17/20",301
179,"7/18/20",301
180,"7/19/20",301
181,"7/20/20",313
182,"7/21/20",310
183,"7/22/20",311
184,"7/23/20",316
185,"7/24/20",316
186,"7/25/20",316
187,"7/26/20",316
188,"7/27/20",317
189,"7/28/20",321
190,"7/29/20",324
191,"7/30/20",328
192,"7/31/20",332
193,"8/1/20",332
194,"8/2/20",332
195,"8/3/20",328
196,"8/4/20",332
197,"8/5/20",340
198,"8/6/20",340
199,"8/7/20",345
200,"8/8/20",345
201,"8/9/20",345
202,"8/10/20",348
203,"8/11/20",351
204,"8/12/20",356
205,"8/13/20",360
206,"8/14/20",361
207,"8/15/20",361
208,"8/16/20",361
209,"8/17/20",362
210,"8/18/20",369
211,"8/19/20",371
212,"8/20/20",373
213,"8/21/20",376
214,"8/22/20",376
215,"8/23/20",378
216,"8/24/20",383
217,"8/25/20",383
218,"8/26/20",386
219,"8/27/20",391
220,"8/28/20",392
221,"8/29/20",392
222,"8/30/20",392
223,"8/31/20",397
224,"9/1/20",399
225,"9/2/20",399
226,"9/3/20",404
227,"9/4/20",404
228,"9/5/20",404
229,"9/6/20",404
230,"9/7/20",404
231,"9/8/20",407
232,"9/9/20",421
233,"9/10/20",430
234,"9/11/20",437
235,"9/12/20",437
236,"9/13/20",434
237,"9/14/20",435
