Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",1
58,"3/19/20",1
59,"3/20/20",2
60,"3/21/20",2
61,"3/22/20",2
62,"3/23/20",4
63,"3/24/20",4
64,"3/25/20",6
65,"3/26/20",10
66,"3/27/20",10
67,"3/28/20",10
68,"3/29/20",15
69,"3/30/20",15
70,"3/31/20",26
71,"4/1/20",31
72,"4/2/20",38
73,"4/3/20",43
74,"4/4/20",46
75,"4/5/20",46
76,"4/6/20",46
77,"4/7/20",72
78,"4/8/20",72
79,"4/9/20",81
80,"4/10/20",90
81,"4/11/20",102
82,"4/12/20",112
83,"4/13/20",114
84,"4/14/20",126
85,"4/15/20",131
86,"4/16/20",137
87,"4/17/20",142
88,"4/18/20",151
89,"4/19/20",158
90,"4/20/20",159
91,"4/21/20",163
92,"4/22/20",172
93,"4/23/20",195
94,"4/24/20",197
95,"4/25/20",205
96,"4/26/20",206
97,"4/27/20",206
98,"4/28/20",219
99,"4/29/20",230
100,"4/30/20",243
101,"5/1/20",246
102,"5/2/20",255
103,"5/3/20",258
104,"5/4/20",265
105,"5/5/20",270
106,"5/6/20",289
107,"5/7/20",297
108,"5/8/20",294
109,"5/9/20",313
110,"5/10/20",310
111,"5/11/20",312
112,"5/12/20",321
113,"5/13/20",331
114,"5/14/20",333
115,"5/15/20",343
116,"5/16/20",347
117,"5/17/20",350
118,"5/18/20",358
119,"5/19/20",358
120,"5/20/20",377
121,"5/21/20",383
122,"5/22/20",386
123,"5/23/20",387
124,"5/24/20",380
125,"5/25/20",394
126,"5/26/20",394
127,"5/27/20",402
128,"5/28/20",406
129,"5/29/20",406
130,"5/30/20",417
131,"5/31/20",417
132,"6/1/20",417
133,"6/2/20",417
134,"6/3/20",431
135,"6/4/20",430
136,"6/5/20",436
137,"6/6/20",437
138,"6/7/20",438
139,"6/8/20",442
140,"6/9/20",446
141,"6/10/20",449
142,"6/11/20",459
143,"6/12/20",461
144,"6/13/20",462
145,"6/14/20",463
146,"6/15/20",465
147,"6/16/20",467
148,"6/17/20",473
149,"6/18/20",475
150,"6/19/20",479
151,"6/20/20",486
152,"6/21/20",487
153,"6/22/20",489
154,"6/23/20",492
155,"6/24/20",494
156,"6/25/20",495
157,"6/26/20",498
158,"6/27/20",500
159,"6/28/20",500
160,"6/29/20",504
161,"6/30/20",507
162,"7/1/20",511
163,"7/2/20",525
164,"7/3/20",528
165,"7/4/20",530
166,"7/5/20",534
167,"7/6/20",537
168,"7/7/20",548
169,"7/8/20",553
170,"7/9/20",571
171,"7/10/20",579
172,"7/11/20",592
173,"7/12/20",593
174,"7/13/20",593
175,"7/14/20",612
176,"7/15/20",618
177,"7/16/20",626
178,"7/17/20",637
179,"7/18/20",646
180,"7/19/20",647
181,"7/20/20",648
182,"7/21/20",676
183,"7/22/20",704
184,"7/23/20",709
185,"7/24/20",722
186,"7/25/20",732
187,"7/26/20",734
188,"7/27/20",739
189,"7/28/20",759
190,"7/29/20",780
191,"7/30/20",801
192,"7/31/20",830
193,"8/1/20",832
194,"8/2/20",832
195,"8/3/20",847
196,"8/4/20",862
197,"8/5/20",890
198,"8/6/20",900
199,"8/7/20",920
200,"8/8/20",949
201,"8/9/20",957
202,"8/10/20",963
203,"8/11/20",981
204,"8/12/20",996
205,"8/13/20",1030
206,"8/14/20",1045
207,"8/15/20",1069
208,"8/16/20",1072
209,"8/17/20",1077
210,"8/18/20",1102
211,"8/19/20",1134
212,"8/20/20",1172
213,"8/21/20",1185
214,"8/22/20",1197
215,"8/23/20",1197
216,"8/24/20",1200
217,"8/25/20",1230
218,"8/26/20",1250
219,"8/27/20",1271
220,"8/28/20",1287
221,"8/29/20",1302
222,"8/30/20",1302
223,"8/31/20",1305
224,"9/1/20",1313
225,"9/2/20",1336
226,"9/3/20",1363
227,"9/4/20",1375
228,"9/5/20",1388
229,"9/6/20",1389
230,"9/7/20",1393
231,"9/8/20",1393
232,"9/9/20",1412
233,"9/10/20",1429
234,"9/11/20",1439
235,"9/12/20",1449
