Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",1
63,"3/24/20",1
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",1
67,"3/28/20",2
68,"3/29/20",2
69,"3/30/20",3
70,"3/31/20",3
71,"4/1/20",3
72,"4/2/20",3
73,"4/3/20",5
74,"4/4/20",7
75,"4/5/20",9
76,"4/6/20",9
77,"4/7/20",9
78,"4/8/20",13
79,"4/9/20",21
80,"4/10/20",21
81,"4/11/20",22
82,"4/12/20",23
83,"4/13/20",23
84,"4/14/20",25
85,"4/15/20",32
86,"4/16/20",32
87,"4/17/20",37
88,"4/18/20",38
89,"4/19/20",38
90,"4/20/20",42
91,"4/21/20",42
92,"4/22/20",48
93,"4/23/20",51
94,"4/24/20",53
95,"4/25/20",53
96,"4/26/20",60
97,"4/27/20",60
98,"4/28/20",60
99,"4/29/20",60
100,"4/30/20",72
101,"5/1/20",81
102,"5/2/20",84
103,"5/3/20",86
104,"5/4/20",86
105,"5/5/20",92
106,"5/6/20",92
107,"5/7/20",114
108,"5/8/20",121
109,"5/9/20",131
110,"5/10/20",133
111,"5/11/20",133
112,"5/12/20",142
113,"5/13/20",150
114,"5/14/20",151
115,"5/15/20",159
116,"5/16/20",171
117,"5/17/20",172
118,"5/18/20",172
119,"5/19/20",172
120,"5/20/20",190
121,"5/21/20",199
122,"5/22/20",204
123,"5/23/20",208
124,"5/24/20",209
125,"5/25/20",210
126,"5/26/20",214
127,"5/27/20",223
128,"5/28/20",232
129,"5/29/20",238
130,"5/30/20",238
131,"5/31/20",245
132,"6/1/20",245
133,"6/2/20",256
134,"6/3/20",265
135,"6/4/20",273
136,"6/5/20",278
137,"6/6/20",283
138,"6/7/20",286
139,"6/8/20",286
140,"6/9/20",286
141,"6/10/20",301
142,"6/11/20",308
143,"6/12/20",315
144,"6/13/20",318
145,"6/14/20",320
146,"6/15/20",320
147,"6/16/20",326
148,"6/17/20",330
149,"6/18/20",331
150,"6/19/20",337
151,"6/20/20",339
152,"6/21/20",339
153,"6/22/20",339
154,"6/23/20",343
155,"6/24/20",347
156,"6/25/20",357
157,"6/26/20",365
158,"6/27/20",367
159,"6/28/20",367
160,"6/29/20",367
161,"6/30/20",371
162,"7/1/20",373
163,"7/2/20",375
164,"7/3/20",376
165,"7/4/20",379
166,"7/5/20",381
167,"7/6/20",382
168,"7/7/20",384
169,"7/8/20",386
170,"7/9/20",387
171,"7/10/20",390
172,"7/11/20",391
173,"7/12/20",391
174,"7/13/20",391
175,"7/14/20",392
176,"7/15/20",394
177,"7/16/20",395
178,"7/17/20",395
179,"7/18/20",396
180,"7/19/20",398
181,"7/20/20",398
182,"7/21/20",400
183,"7/22/20",402
184,"7/23/20",405
185,"7/24/20",407
186,"7/25/20",409
187,"7/26/20",409
188,"7/27/20",409
189,"7/28/20",409
190,"7/29/20",411
191,"7/30/20",415
192,"7/31/20",415
193,"8/1/20",416
194,"8/2/20",417
195,"8/3/20",417
196,"8/4/20",418
197,"8/5/20",418
198,"8/6/20",419
199,"8/7/20",419
200,"8/8/20",419
201,"8/9/20",419
202,"8/10/20",419
203,"8/11/20",419
204,"8/12/20",420
205,"8/13/20",422
206,"8/14/20",423
207,"8/15/20",423
208,"8/16/20",423
209,"8/17/20",423
210,"8/18/20",424
211,"8/19/20",427
212,"8/20/20",428
213,"8/21/20",428
214,"8/22/20",429
215,"8/23/20",429
216,"8/24/20",429
217,"8/25/20",429
218,"8/26/20",429
219,"8/27/20",431
220,"8/28/20",432
221,"8/29/20",432
222,"8/30/20",432
223,"8/31/20",432
224,"9/1/20",432
225,"9/2/20",432
226,"9/3/20",432
227,"9/4/20",432
228,"9/5/20",432
229,"9/6/20",433
230,"9/7/20",433
231,"9/8/20",433
232,"9/9/20",433
233,"9/10/20",434
234,"9/11/20",434
235,"9/12/20",435
236,"9/13/20",436
237,"9/14/20",436
