Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",1
50,"3/11/20",1
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",2
55,"3/16/20",2
56,"3/17/20",4
57,"3/18/20",7
58,"3/19/20",13
59,"3/20/20",16
60,"3/21/20",22
61,"3/22/20",29
62,"3/23/20",40
63,"3/24/20",60
64,"3/25/20",81
65,"3/26/20",109
66,"3/27/20",141
67,"3/28/20",192
68,"3/29/20",219
69,"3/30/20",268
70,"3/31/20",366
71,"4/1/20",476
72,"4/2/20",681
73,"4/3/20",817
74,"4/4/20",1059
75,"4/5/20",1185
76,"4/6/20",1337
77,"4/7/20",1633
78,"4/8/20",1974
79,"4/9/20",2250
80,"4/10/20",2529
81,"4/11/20",2854
82,"4/12/20",3096
83,"4/13/20",3263
84,"4/14/20",3678
85,"4/15/20",4088
86,"4/16/20",4510
87,"4/17/20",4881
88,"4/18/20",5169
89,"4/19/20",5505
90,"4/20/20",5678
91,"4/21/20",5974
92,"4/22/20",6407
93,"4/23/20",6713
94,"4/24/20",7003
95,"4/25/20",7274
96,"4/26/20",7330
97,"4/27/20",7473
98,"4/28/20",7904
99,"4/29/20",8254
100,"4/30/20",8737
101,"5/1/20",9072
102,"5/2/20",9302
103,"5/3/20",9456
104,"5/4/20",9519
105,"5/5/20",9863
106,"5/6/20",10187
107,"5/7/20",10460
108,"5/8/20",10635
109,"5/9/20",10805
110,"5/10/20",10962
111,"5/11/20",11053
112,"5/12/20",11256
113,"5/13/20",11448
114,"5/14/20",11689
115,"5/15/20",11895
116,"5/16/20",12013
117,"5/17/20",12118
118,"5/18/20",12200
119,"5/19/20",12349
120,"5/20/20",12520
121,"5/21/20",12623
122,"5/22/20",12769
123,"5/23/20",12869
124,"5/24/20",12927
125,"5/25/20",12941
126,"5/26/20",12994
127,"5/27/20",13143
128,"5/28/20",13218
129,"5/29/20",13345
130,"5/30/20",13450
131,"5/31/20",13518
132,"6/1/20",13547
133,"6/2/20",13599
134,"6/3/20",13710
135,"6/4/20",13805
136,"6/5/20",13887
137,"6/6/20",13945
138,"6/7/20",14016
139,"6/8/20",14055
140,"6/9/20",14148
141,"6/10/20",14224
142,"6/11/20",14291
143,"6/12/20",14341
144,"6/13/20",14476
145,"6/14/20",14515
146,"6/15/20",14565
147,"6/16/20",14651
148,"6/17/20",14694
149,"6/18/20",14729
150,"6/19/20",14762
151,"6/20/20",14785
152,"6/21/20",14802
153,"6/22/20",14840
154,"6/23/20",14893
155,"6/24/20",14944
156,"6/25/20",14872
157,"6/26/20",14914
158,"6/27/20",14948
159,"6/28/20",14975
160,"6/29/20",14992
161,"6/30/20",15035
162,"7/1/20",15078
163,"7/2/20",15107
164,"7/3/20",15164
165,"7/4/20",15189
166,"7/5/20",15211
167,"7/6/20",15229
168,"7/7/20",15281
169,"7/8/20",15332
170,"7/9/20",15448
171,"7/10/20",15479
172,"7/11/20",15525
173,"7/12/20",15525
174,"7/13/20",15560
175,"7/14/20",15582
176,"7/15/20",15634
177,"7/16/20",15665
178,"7/17/20",15684
179,"7/18/20",15699
180,"7/19/20",15706
181,"7/20/20",15715
182,"7/21/20",15737
183,"7/22/20",15707
184,"7/23/20",15730
185,"7/24/20",15765
186,"7/25/20",15776
187,"7/26/20",15787
188,"7/27/20",15804
189,"7/28/20",15825
190,"7/29/20",15798
191,"7/30/20",15809
192,"7/31/20",15819
193,"8/1/20",15830
194,"8/2/20",15836
195,"8/3/20",15846
196,"8/4/20",15857
197,"8/5/20",15842
198,"8/6/20",15849
199,"8/7/20",15849
200,"8/8/20",15869
201,"8/9/20",15874
202,"8/10/20",15878
203,"8/11/20",15890
204,"8/12/20",15885
205,"8/13/20",15893
206,"8/14/20",15903
207,"8/15/20",15910
208,"8/16/20",15912
209,"8/17/20",15916
210,"8/18/20",15925
211,"8/19/20",15926
212,"8/20/20",15932
213,"8/21/20",15941
214,"8/22/20",15943
215,"8/23/20",15946
216,"8/24/20",15946
217,"8/25/20",15953
218,"8/26/20",15914
219,"8/27/20",15921
220,"8/28/20",15930
221,"8/29/20",15933
222,"8/30/20",15937
223,"8/31/20",15945
224,"9/1/20",15950
