Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",1
65,"3/26/20",1
66,"3/27/20",1
67,"3/28/20",1
68,"3/29/20",2
69,"3/30/20",2
70,"3/31/20",4
71,"4/1/20",5
72,"4/2/20",6
73,"4/3/20",10
74,"4/4/20",11
75,"4/5/20",12
76,"4/6/20",12
77,"4/7/20",13
78,"4/8/20",13
79,"4/9/20",16
80,"4/10/20",17
81,"4/11/20",19
82,"4/12/20",26
83,"4/13/20",26
84,"4/14/20",31
85,"4/15/20",36
86,"4/16/20",36
87,"4/17/20",44
88,"4/18/20",53
89,"4/19/20",55
90,"4/20/20",58
91,"4/21/20",58
92,"4/22/20",71
93,"4/23/20",78
94,"4/24/20",84
95,"4/25/20",93
96,"4/26/20",99
97,"4/27/20",99
98,"4/28/20",105
99,"4/29/20",112
100,"4/30/20",123
101,"5/1/20",131
102,"5/2/20",138
103,"5/3/20",151
104,"5/4/20",156
105,"5/5/20",162
106,"5/6/20",169
107,"5/7/20",172
108,"5/8/20",181
109,"5/9/20",191
110,"5/10/20",200
111,"5/11/20",208
112,"5/12/20",219
113,"5/13/20",231
114,"5/14/20",242
115,"5/15/20",253
116,"5/16/20",259
117,"5/17/20",265
118,"5/18/20",270
119,"5/19/20",276
120,"5/20/20",283
121,"5/21/20",294
122,"5/22/20",302
123,"5/23/20",308
124,"5/24/20",317
125,"5/25/20",320
126,"5/26/20",325
127,"5/27/20",329
128,"5/28/20",335
129,"5/29/20",344
130,"5/30/20",351
131,"5/31/20",356
132,"6/1/20",362
133,"6/2/20",367
134,"6/3/20",375
135,"6/4/20",383
136,"6/5/20",387
137,"6/6/20",392
138,"6/7/20",396
139,"6/8/20",400
140,"6/9/20",404
141,"6/10/20",410
142,"6/11/20",420
143,"6/12/20",420
144,"6/13/20",431
145,"6/14/20",435
146,"6/15/20",440
147,"6/16/20",447
148,"6/17/20",452
149,"6/18/20",456
150,"6/19/20",464
151,"6/20/20",466
152,"6/21/20",469
153,"6/22/20",469
154,"6/23/20",476
155,"6/24/20",480
156,"6/25/20",485
157,"6/26/20",489
158,"6/27/20",491
159,"6/28/20",492
160,"6/29/20",493
161,"6/30/20",497
162,"7/1/20",500
163,"7/2/20",503
164,"7/3/20",511
165,"7/4/20",513
166,"7/5/20",513
167,"7/6/20",515
168,"7/7/20",519
169,"7/8/20",527
170,"7/9/20",533
171,"7/10/20",539
172,"7/11/20",543
173,"7/12/20",545
174,"7/13/20",548
175,"7/14/20",551
176,"7/15/20",557
177,"7/16/20",562
178,"7/17/20",565
179,"7/18/20",569
180,"7/19/20",571
181,"7/20/20",578
182,"7/21/20",588
183,"7/22/20",591
184,"7/23/20",596
185,"7/24/20",601
186,"7/25/20",607
187,"7/26/20",614
188,"7/27/20",619
189,"7/28/20",626
190,"7/29/20",632
191,"7/30/20",635
192,"7/31/20",642
193,"8/1/20",651
194,"8/2/20",654
195,"8/3/20",655
196,"8/4/20",658
197,"8/5/20",667
198,"8/6/20",669
199,"8/7/20",675
200,"8/8/20",681
201,"8/9/20",685
202,"8/10/20",690
203,"8/11/20",693
204,"8/12/20",695
205,"8/13/20",697
206,"8/14/20",703
207,"8/15/20",711
208,"8/16/20",714
209,"8/17/20",718
210,"8/18/20",723
211,"8/19/20",729
212,"8/20/20",734
213,"8/21/20",739
214,"8/22/20",743
215,"8/23/20",745
216,"8/24/20",749
217,"8/25/20",752
218,"8/26/20",755
219,"8/27/20",764
220,"8/28/20",767
221,"8/29/20",769
222,"8/30/20",770
223,"8/31/20",779
224,"9/1/20",787
225,"9/2/20",790
226,"9/3/20",791
227,"9/4/20",794
228,"9/5/20",800
229,"9/6/20",803
230,"9/7/20",807
231,"9/8/20",807
232,"9/9/20",813
233,"9/10/20",816
234,"9/11/20",818
235,"9/12/20",821
236,"9/13/20",823
237,"9/14/20",823
