Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",2
65,"3/26/20",3
66,"3/27/20",4
67,"3/28/20",5
68,"3/29/20",7
69,"3/30/20",7
70,"3/31/20",12
71,"4/1/20",14
72,"4/2/20",21
73,"4/3/20",27
74,"4/4/20",34
75,"4/5/20",38
76,"4/6/20",45
77,"4/7/20",53
78,"4/8/20",66
79,"4/9/20",76
80,"4/10/20",83
81,"4/11/20",89
82,"4/12/20",89
83,"4/13/20",94
84,"4/14/20",112
85,"4/15/20",130
86,"4/16/20",150
87,"4/17/20",177
88,"4/18/20",187
89,"4/19/20",200
90,"4/20/20",218
91,"4/21/20",245
92,"4/22/20",265
93,"4/23/20",281
94,"4/24/20",294
95,"4/25/20",305
96,"4/26/20",324
97,"4/27/20",340
98,"4/28/20",363
99,"4/29/20",382
100,"4/30/20",406
101,"5/1/20",419
102,"5/2/20",431
103,"5/3/20",434
104,"5/4/20",442
105,"5/5/20",472
106,"5/6/20",492
107,"5/7/20",513
108,"5/8/20",530
109,"5/9/20",551
110,"5/10/20",564
111,"5/11/20",575
112,"5/12/20",600
113,"5/13/20",625
114,"5/14/20",641
115,"5/15/20",667
116,"5/16/20",676
117,"5/17/20",686
118,"5/18/20",693
119,"5/19/20",693
120,"5/20/20",726
121,"5/21/20",734
122,"5/22/20",775
123,"5/23/20",778
124,"5/24/20",784
125,"5/25/20",790
126,"5/26/20",801
127,"5/27/20",844
128,"5/28/20",876
129,"5/29/20",919
130,"5/30/20",929
131,"5/31/20",937
132,"6/1/20",948
133,"6/2/20",961
134,"6/3/20",999
135,"6/4/20",1006
136,"6/5/20",1015
137,"6/6/20",1028
138,"6/7/20",1032
139,"6/8/20",1041
140,"6/9/20",1068
141,"6/10/20",1090
142,"6/11/20",1106
143,"6/12/20",1121
144,"6/13/20",1127
145,"6/14/20",1132
146,"6/15/20",1140
147,"6/16/20",1169
148,"6/17/20",1181
149,"6/18/20",1188
150,"6/19/20",1202
151,"6/20/20",1215
152,"6/21/20",1245
153,"6/22/20",1278
154,"6/23/20",1296
155,"6/24/20",1325
156,"6/25/20",1336
157,"6/26/20",1348
158,"6/27/20",1353
159,"6/28/20",1352
160,"6/29/20",1357
161,"6/30/20",1380
162,"7/1/20",1398
163,"7/2/20",1409
164,"7/3/20",1419
165,"7/4/20",1422
166,"7/5/20",1423
167,"7/6/20",1432
168,"7/7/20",1446
169,"7/8/20",1462
170,"7/9/20",1477
171,"7/10/20",1497
172,"7/11/20",1513
173,"7/12/20",1522
174,"7/13/20",1529
175,"7/14/20",1571
176,"7/15/20",1589
177,"7/16/20",1607
178,"7/17/20",1623
179,"7/18/20",1648
180,"7/19/20",1652
181,"7/20/20",1677
182,"7/21/20",1705
183,"7/22/20",1732
184,"7/23/20",1756
185,"7/24/20",1789
186,"7/25/20",1811
187,"7/26/20",1817
188,"7/27/20",1838
189,"7/28/20",1860
190,"7/29/20",1888
191,"7/30/20",1922
192,"7/31/20",1942
193,"8/1/20",1979
194,"8/2/20",1983
195,"8/3/20",2043
196,"8/4/20",2061
197,"8/5/20",2085
198,"8/6/20",2126
199,"8/7/20",2160
200,"8/8/20",2184
201,"8/9/20",2192
202,"8/10/20",2199
203,"8/11/20",2238
204,"8/12/20",2280
205,"8/13/20",2287
206,"8/14/20",2313
207,"8/15/20",2343
208,"8/16/20",2347
209,"8/17/20",2348
210,"8/18/20",2396
211,"8/19/20",2431
212,"8/20/20",2465
213,"8/21/20",2494
214,"8/22/20",2521
215,"8/23/20",2531
216,"8/24/20",2535
217,"8/25/20",2570
218,"8/26/20",2606
219,"8/27/20",2630
220,"8/28/20",2652
221,"8/29/20",2683
222,"8/30/20",2692
223,"8/31/20",2702
224,"9/1/20",2741
225,"9/2/20",2779
226,"9/3/20",2803
227,"9/4/20",2839
228,"9/5/20",2889
229,"9/6/20",2890
