Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",1
67,"3/28/20",1
68,"3/29/20",1
69,"3/30/20",2
70,"3/31/20",3
71,"4/1/20",3
72,"4/2/20",3
73,"4/3/20",3
74,"4/4/20",3
75,"4/5/20",3
76,"4/6/20",3
77,"4/7/20",4
78,"4/8/20",4
79,"4/9/20",5
80,"4/10/20",6
81,"4/11/20",7
82,"4/12/20",7
83,"4/13/20",8
84,"4/14/20",8
85,"4/15/20",9
86,"4/16/20",9
87,"4/17/20",9
88,"4/18/20",9
89,"4/19/20",9
90,"4/20/20",9
91,"4/21/20",13
92,"4/22/20",14
93,"4/23/20",15
94,"4/24/20",15
95,"4/25/20",16
96,"4/26/20",17
97,"4/27/20",19
98,"4/28/20",19
99,"4/29/20",19
100,"4/30/20",19
101,"5/1/20",23
102,"5/2/20",24
103,"5/3/20",25
104,"5/4/20",25
105,"5/5/20",25
106,"5/6/20",31
107,"5/7/20",31
108,"5/8/20",33
109,"5/9/20",35
110,"5/10/20",35
111,"5/11/20",36
112,"5/12/20",38
113,"5/13/20",40
114,"5/14/20",40
115,"5/15/20",42
116,"5/16/20",42
117,"5/17/20",43
118,"5/18/20",44
119,"5/19/20",45
120,"5/20/20",49
121,"5/21/20",51
122,"5/22/20",52
123,"5/23/20",52
124,"5/24/20",53
125,"5/25/20",54
126,"5/26/20",54
127,"5/27/20",56
128,"5/28/20",57
129,"5/29/20",59
130,"5/30/20",60
131,"5/31/20",61
132,"6/1/20",61
133,"6/2/20",65
134,"6/3/20",66
135,"6/4/20",66
136,"6/5/20",71
137,"6/6/20",72
138,"6/7/20",72
139,"6/8/20",72
140,"6/9/20",72
141,"6/10/20",73
142,"6/11/20",74
143,"6/12/20",74
144,"6/13/20",74
145,"6/14/20",74
146,"6/15/20",74
147,"6/16/20",74
148,"6/17/20",74
149,"6/18/20",75
150,"6/19/20",76
151,"6/20/20",76
152,"6/21/20",77
153,"6/22/20",77
154,"6/23/20",78
155,"6/24/20",78
156,"6/25/20",78
157,"6/26/20",78
158,"6/27/20",78
159,"6/28/20",79
160,"6/29/20",79
161,"6/30/20",79
162,"7/1/20",80
163,"7/2/20",80
164,"7/3/20",80
165,"7/4/20",80
166,"7/5/20",80
167,"7/6/20",80
168,"7/7/20",84
169,"7/8/20",85
170,"7/9/20",85
171,"7/10/20",85
172,"7/11/20",87
173,"7/12/20",87
174,"7/13/20",87
175,"7/14/20",88
176,"7/15/20",88
177,"7/16/20",89
178,"7/17/20",90
179,"7/18/20",90
180,"7/19/20",92
181,"7/20/20",93
182,"7/21/20",94
183,"7/22/20",96
184,"7/23/20",97
185,"7/24/20",99
186,"7/25/20",99
187,"7/26/20",99
188,"7/27/20",99
189,"7/28/20",100
190,"7/29/20",102
191,"7/30/20",103
192,"7/31/20",103
193,"8/1/20",103
194,"8/2/20",105
195,"8/3/20",105
196,"8/4/20",107
197,"8/5/20",108
198,"8/6/20",109
199,"8/7/20",110
200,"8/8/20",112
201,"8/9/20",112
202,"8/10/20",113
203,"8/11/20",118
204,"8/12/20",120
205,"8/13/20",120
206,"8/14/20",121
207,"8/15/20",121
208,"8/16/20",125
209,"8/17/20",126
210,"8/18/20",128
211,"8/19/20",130
212,"8/20/20",130
213,"8/21/20",132
214,"8/22/20",135
215,"8/23/20",136
216,"8/24/20",137
217,"8/25/20",138
218,"8/26/20",138
219,"8/27/20",139
220,"8/28/20",139
221,"8/29/20",141
222,"8/30/20",142
223,"8/31/20",143
224,"9/1/20",145
225,"9/2/20",148
226,"9/3/20",150
227,"9/4/20",150
228,"9/5/20",155
229,"9/6/20",156
230,"9/7/20",156
231,"9/8/20",156
232,"9/9/20",157
233,"9/10/20",160
234,"9/11/20",164
235,"9/12/20",167
236,"9/13/20",168
237,"9/14/20",170
