Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",3
60,"3/21/20",3
61,"3/22/20",3
62,"3/23/20",6
63,"3/24/20",8
64,"3/25/20",11
65,"3/26/20",15
66,"3/27/20",19
67,"3/28/20",25
68,"3/29/20",29
69,"3/30/20",40
70,"3/31/20",55
71,"4/1/20",65
72,"4/2/20",81
73,"4/3/20",91
74,"4/4/20",102
75,"4/5/20",119
76,"4/6/20",142
77,"4/7/20",167
78,"4/8/20",193
79,"4/9/20",213
80,"4/10/20",231
81,"4/11/20",247
82,"4/12/20",253
83,"4/13/20",274
84,"4/14/20",324
85,"4/15/20",362
86,"4/16/20",407
87,"4/17/20",418
88,"4/18/20",451
89,"4/19/20",471
90,"4/20/20",509
91,"4/21/20",557
92,"4/22/20",610
93,"4/23/20",656
94,"4/24/20",690
95,"4/25/20",711
96,"4/26/20",728
97,"4/27/20",753
98,"4/28/20",799
99,"4/29/20",937
100,"4/30/20",976
101,"5/1/20",1003
102,"5/2/20",1022
103,"5/3/20",1039
104,"5/4/20",1057
105,"5/5/20",1135
106,"5/6/20",1225
107,"5/7/20",1271
108,"5/8/20",1306
109,"5/9/20",1331
110,"5/10/20",1341
111,"5/11/20",1357
112,"5/12/20",1436
113,"5/13/20",1483
114,"5/14/20",1534
115,"5/15/20",1581
116,"5/16/20",1610
117,"5/17/20",1625
118,"5/18/20",1657
119,"5/19/20",1720
120,"5/20/20",1781
121,"5/21/20",1837
122,"5/22/20",1872
123,"5/23/20",1956
124,"5/24/20",1969
125,"5/25/20",1987
126,"5/26/20",2002
127,"5/27/20",2044
128,"5/28/20",2098
129,"5/29/20",2131
130,"5/30/20",2149
131,"5/31/20",2155
132,"6/1/20",2207
133,"6/2/20",2259
134,"6/3/20",2300
135,"6/4/20",2340
136,"6/5/20",2357
137,"6/6/20",2372
138,"6/7/20",2379
139,"6/8/20",2406
140,"6/9/20",2423
141,"6/10/20",2459
142,"6/11/20",2492
143,"6/12/20",2510
144,"6/13/20",2556
145,"6/14/20",2559
146,"6/15/20",2575
147,"6/16/20",2599
148,"6/17/20",2611
149,"6/18/20",2633
150,"6/19/20",2667
151,"6/20/20",2697
152,"6/21/20",2700
153,"6/22/20",2704
154,"6/23/20",2735
155,"6/24/20",2755
156,"6/25/20",2772
157,"6/26/20",2788
158,"6/27/20",2804
159,"6/28/20",2807
160,"6/29/20",2818
161,"6/30/20",2863
162,"7/1/20",2876
163,"7/2/20",2903
164,"7/3/20",2903
165,"7/4/20",2907
166,"7/5/20",2911
167,"7/6/20",2927
168,"7/7/20",2970
169,"7/8/20",2991
170,"7/9/20",3006
171,"7/10/20",3032
172,"7/11/20",3036
173,"7/12/20",3058
174,"7/13/20",3064
175,"7/14/20",3069
176,"7/15/20",3075
177,"7/16/20",3103
178,"7/17/20",3112
179,"7/18/20",3132
180,"7/19/20",3174
181,"7/20/20",3189
182,"7/21/20",3219
183,"7/22/20",3235
184,"7/23/20",3256
185,"7/24/20",3297
186,"7/25/20",3297
187,"7/26/20",3307
188,"7/27/20",3344
189,"7/28/20",3382
190,"7/29/20",3422
191,"7/30/20",3442
192,"7/31/20",3489
193,"8/1/20",3515
194,"8/2/20",3529
195,"8/3/20",3539
196,"8/4/20",3570
197,"8/5/20",3596
198,"8/6/20",3618
199,"8/7/20",3652
200,"8/8/20",3668
201,"8/9/20",3669
202,"8/10/20",3673
203,"8/11/20",3708
204,"8/12/20",3734
205,"8/13/20",3755
206,"8/14/20",3784
207,"8/15/20",3824
208,"8/16/20",3826
209,"8/17/20",3832
210,"8/18/20",3866
211,"8/19/20",3907
212,"8/20/20",3929
213,"8/21/20",3955
214,"8/22/20",3975
215,"8/23/20",3978
216,"8/24/20",3986
217,"8/25/20",3996
218,"8/26/20",4044
219,"8/27/20",4076
220,"8/28/20",4105
221,"8/29/20",4126
222,"8/30/20",4129
223,"8/31/20",4139
224,"9/1/20",4166
225,"9/2/20",4176
226,"9/3/20",4226
