Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",3
58,"3/19/20",3
59,"3/20/20",3
60,"3/21/20",4
61,"3/22/20",5
62,"3/23/20",5
63,"3/24/20",8
64,"3/25/20",10
65,"3/26/20",11
66,"3/27/20",12
67,"3/28/20",13
68,"3/29/20",13
69,"3/30/20",16
70,"3/31/20",18
71,"4/1/20",19
72,"4/2/20",21
73,"4/3/20",22
74,"4/4/20",22
75,"4/5/20",27
76,"4/6/20",27
77,"4/7/20",29
78,"4/8/20",33
79,"4/9/20",44
80,"4/10/20",44
81,"4/11/20",48
82,"4/12/20",52
83,"4/13/20",53
84,"4/14/20",55
85,"4/15/20",58
86,"4/16/20",64
87,"4/17/20",70
88,"4/18/20",72
89,"4/19/20",74
90,"4/20/20",75
91,"4/21/20",78
92,"4/22/20",78
93,"4/23/20",83
94,"4/24/20",86
95,"4/25/20",87
96,"4/26/20",92
97,"4/27/20",92
98,"4/28/20",99
99,"4/29/20",101
100,"4/30/20",103
101,"5/1/20",104
102,"5/2/20",109
103,"5/3/20",109
104,"5/4/20",109
105,"5/5/20",113
106,"5/6/20",115
107,"5/7/20",121
108,"5/8/20",124
109,"5/9/20",127
110,"5/10/20",127
111,"5/11/20",130
112,"5/12/20",130
113,"5/13/20",134
114,"5/14/20",137
115,"5/15/20",137
116,"5/16/20",137
117,"5/17/20",137
118,"5/18/20",138
119,"5/19/20",140
120,"5/20/20",144
121,"5/21/20",145
122,"5/22/20",147
123,"5/23/20",147
124,"5/24/20",148
125,"5/25/20",148
126,"5/26/20",148
127,"5/27/20",148
128,"5/28/20",151
129,"5/29/20",151
130,"5/30/20",153
131,"5/31/20",153
132,"6/1/20",154
133,"6/2/20",157
134,"6/3/20",159
135,"6/4/20",159
136,"6/5/20",161
137,"6/6/20",161
138,"6/7/20",163
139,"6/8/20",164
140,"6/9/20",169
141,"6/10/20",169
142,"6/11/20",171
143,"6/12/20",173
144,"6/13/20",173
145,"6/14/20",176
146,"6/15/20",180
147,"6/16/20",182
148,"6/17/20",183
149,"6/18/20",187
150,"6/19/20",188
151,"6/20/20",189
152,"6/21/20",190
153,"6/22/20",192
154,"6/23/20",192
155,"6/24/20",195
156,"6/25/20",197
157,"6/26/20",202
158,"6/27/20",202
159,"6/28/20",202
160,"6/29/20",204
161,"6/30/20",207
162,"7/1/20",208
163,"7/2/20",209
164,"7/3/20",209
165,"7/4/20",213
166,"7/5/20",215
167,"7/6/20",215
168,"7/7/20",220
169,"7/8/20",224
170,"7/9/20",230
171,"7/10/20",232
172,"7/11/20",232
173,"7/12/20",234
174,"7/13/20",237
175,"7/14/20",244
176,"7/15/20",247
177,"7/16/20",249
178,"7/17/20",254
179,"7/18/20",257
180,"7/19/20",260
181,"7/20/20",262
182,"7/21/20",269
183,"7/22/20",271
184,"7/23/20",273
185,"7/24/20",282
186,"7/25/20",285
187,"7/26/20",289
188,"7/27/20",289
189,"7/28/20",303
190,"7/29/20",311
191,"7/30/20",316
192,"7/31/20",322
193,"8/1/20",325
194,"8/2/20",326
195,"8/3/20",328
196,"8/4/20",333
197,"8/5/20",338
198,"8/6/20",339
199,"8/7/20",348
200,"8/8/20",355
201,"8/9/20",356
202,"8/10/20",357
203,"8/11/20",368
204,"8/12/20",375
205,"8/13/20",383
206,"8/14/20",385
207,"8/15/20",386
208,"8/16/20",388
209,"8/17/20",388
210,"8/18/20",397
211,"8/19/20",408
212,"8/20/20",412
213,"8/21/20",414
214,"8/22/20",417
215,"8/23/20",417
216,"8/24/20",420
217,"8/25/20",428
218,"8/26/20",433
219,"8/27/20",438
220,"8/28/20",447
221,"8/29/20",454
222,"8/30/20",458
223,"8/31/20",459
224,"9/1/20",464
225,"9/2/20",468
226,"9/3/20",470
227,"9/4/20",475
228,"9/5/20",480
229,"9/6/20",481
230,"9/7/20",482
231,"9/8/20",486
232,"9/9/20",494
233,"9/10/20",497
234,"9/11/20",499
235,"9/12/20",505
236,"9/13/20",509
237,"9/14/20",509
