Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",1
58,"3/19/20",1
59,"3/20/20",1
60,"3/21/20",2
61,"3/22/20",4
62,"3/23/20",6
63,"3/24/20",8
64,"3/25/20",15
65,"3/26/20",18
66,"3/27/20",22
67,"3/28/20",34
68,"3/29/20",41
69,"3/30/20",50
70,"3/31/20",63
71,"4/1/20",74
72,"4/2/20",90
73,"4/3/20",102
74,"4/4/20",136
75,"4/5/20",151
76,"4/6/20",179
77,"4/7/20",247
78,"4/8/20",318
79,"4/9/20",345
80,"4/10/20",418
81,"4/11/20",503
82,"4/12/20",557
83,"4/13/20",589
84,"4/14/20",691
85,"4/15/20",779
86,"4/16/20",841
87,"4/17/20",921
88,"4/18/20",1042
89,"4/19/20",1276
90,"4/20/20",1348
91,"4/21/20",1614
92,"4/22/20",1673
93,"4/23/20",1724
94,"4/24/20",1747
95,"4/25/20",1793
96,"4/26/20",1816
97,"4/27/20",1886
98,"4/28/20",2046
99,"4/29/20",2373
100,"4/30/20",2475
101,"5/1/20",2635
102,"5/2/20",2695
103,"5/3/20",2720
104,"5/4/20",2838
105,"5/5/20",3179
106,"5/6/20",3345
107,"5/7/20",3589
108,"5/8/20",3715
109,"5/9/20",3779
110,"5/10/20",3806
111,"5/11/20",3832
112,"5/12/20",3914
113,"5/13/20",4094
114,"5/14/20",4288
115,"5/15/20",4422
116,"5/16/20",4480
117,"5/17/20",4495
118,"5/18/20",4515
119,"5/19/20",4628
120,"5/20/20",4770
121,"5/21/20",4869
122,"5/22/20",5010
123,"5/23/20",5112
124,"5/24/20",5136
125,"5/25/20",5146
126,"5/26/20",5163
127,"5/27/20",5265
128,"5/28/20",5373
129,"5/29/20",5464
130,"5/30/20",5537
131,"5/31/20",5555
132,"6/1/20",5567
133,"6/2/20",5667
134,"6/3/20",5742
135,"6/4/20",5832
136,"6/5/20",5898
137,"6/6/20",5931
138,"6/7/20",5943
139,"6/8/20",5953
140,"6/9/20",6014
141,"6/10/20",6062
142,"6/11/20",6113
143,"6/12/20",6162
144,"6/13/20",6211
145,"6/14/20",6215
146,"6/15/20",6243
147,"6/16/20",6276
148,"6/17/20",6319
149,"6/18/20",6361
150,"6/19/20",6399
151,"6/20/20",6419
152,"6/21/20",6423
153,"6/22/20",6426
154,"6/23/20",6464
155,"6/24/20",6518
156,"6/25/20",6557
157,"6/26/20",6579
158,"6/27/20",6603
159,"6/28/20",6606
160,"6/29/20",6614
161,"6/30/20",6649
162,"7/1/20",6684
163,"7/2/20",6712
164,"7/3/20",6746
165,"7/4/20",6749
166,"7/5/20",6753
167,"7/6/20",6754
168,"7/7/20",6787
169,"7/8/20",6812
170,"7/9/20",6848
171,"7/10/20",6880
172,"7/11/20",6897
173,"7/12/20",6904
174,"7/13/20",6911
175,"7/14/20",6931
176,"7/15/20",6957
177,"7/16/20",6984
178,"7/17/20",7004
179,"7/18/20",7015
180,"7/19/20",7022
181,"7/20/20",7025
182,"7/21/20",7051
183,"7/22/20",7077
184,"7/23/20",7093
185,"7/24/20",7116
186,"7/25/20",7124
187,"7/26/20",7127
188,"7/27/20",7131
189,"7/28/20",7154
190,"7/29/20",7171
191,"7/30/20",7194
192,"7/31/20",7207
193,"8/1/20",7219
194,"8/2/20",7223
195,"8/3/20",7224
196,"8/4/20",7248
197,"8/5/20",7254
198,"8/6/20",7282
199,"8/7/20",7296
200,"8/8/20",7310
201,"8/9/20",7311
202,"8/10/20",7314
203,"8/11/20",7343
204,"8/12/20",7380
205,"8/13/20",7395
206,"8/14/20",7434
207,"8/15/20",7451
208,"8/16/20",7453
209,"8/17/20",7453
210,"8/18/20",7474
211,"8/19/20",7508
212,"8/20/20",7520
213,"8/21/20",7537
214,"8/22/20",7555
215,"8/23/20",7557
216,"8/24/20",7557
217,"8/25/20",7582
218,"8/26/20",7613
219,"8/27/20",7622
220,"8/28/20",7642
221,"8/29/20",7656
222,"8/30/20",7658
223,"8/31/20",7659
224,"9/1/20",7678
225,"9/2/20",7705
