Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",1
60,"3/21/20",1
61,"3/22/20",2
62,"3/23/20",2
63,"3/24/20",2
64,"3/25/20",3
65,"3/26/20",3
66,"3/27/20",6
67,"3/28/20",7
68,"3/29/20",8
69,"3/30/20",14
70,"3/31/20",23
71,"4/1/20",24
72,"4/2/20",35
73,"4/3/20",40
74,"4/4/20",49
75,"4/5/20",52
76,"4/6/20",64
77,"4/7/20",71
78,"4/8/20",80
79,"4/9/20",93
80,"4/10/20",97
81,"4/11/20",105
82,"4/12/20",105
83,"4/13/20",108
84,"4/14/20",123
85,"4/15/20",123
86,"4/16/20",135
87,"4/17/20",140
88,"4/18/20",141
89,"4/19/20",147
90,"4/20/20",151
91,"4/21/20",156
92,"4/22/20",156
93,"4/23/20",170
94,"4/24/20",168
95,"4/25/20",176
96,"4/26/20",179
97,"4/27/20",181
98,"4/28/20",186
99,"4/29/20",192
100,"4/30/20",198
101,"5/1/20",203
102,"5/2/20",208
103,"5/3/20",209
104,"5/4/20",214
105,"5/5/20",221
106,"5/6/20",234
107,"5/7/20",233
108,"5/8/20",237
109,"5/9/20",237
110,"5/10/20",238
111,"5/11/20",245
112,"5/12/20",260
113,"5/13/20",269
114,"5/14/20",283
115,"5/15/20",286
116,"5/16/20",291
117,"5/17/20",294
118,"5/18/20",297
119,"5/19/20",301
120,"5/20/20",301
121,"5/21/20",309
122,"5/22/20",311
123,"5/23/20",325
124,"5/24/20",332
125,"5/25/20",334
126,"5/26/20",339
127,"5/27/20",349
128,"5/28/20",352
129,"5/29/20",357
130,"5/30/20",360
131,"5/31/20",360
132,"6/1/20",360
133,"6/2/20",377
134,"6/3/20",384
135,"6/4/20",397
136,"6/5/20",404
137,"6/6/20",413
138,"6/7/20",414
139,"6/8/20",417
140,"6/9/20",430
141,"6/10/20",432
142,"6/11/20",436
143,"6/12/20",461
144,"6/13/20",465
145,"6/14/20",467
146,"6/15/20",475
147,"6/16/20",486
148,"6/17/20",491
149,"6/18/20",501
150,"6/19/20",507
151,"6/20/20",516
152,"6/21/20",518
153,"6/22/20",523
154,"6/23/20",534
155,"6/24/20",548
156,"6/25/20",558
157,"6/26/20",569
158,"6/27/20",577
159,"6/28/20",577
160,"6/29/20",585
161,"6/30/20",597
162,"7/1/20",602
163,"7/2/20",612
164,"7/3/20",626
165,"7/4/20",630
166,"7/5/20",638
167,"7/6/20",645
168,"7/7/20",657
169,"7/8/20",678
170,"7/9/20",700
171,"7/10/20",713
172,"7/11/20",728
173,"7/12/20",731
174,"7/13/20",737
175,"7/14/20",756
176,"7/15/20",773
177,"7/16/20",786
178,"7/17/20",805
179,"7/18/20",828
180,"7/19/20",834
181,"7/20/20",838
182,"7/21/20",861
183,"7/22/20",878
184,"7/23/20",913
185,"7/24/20",926
186,"7/25/20",953
187,"7/26/20",955
188,"7/27/20",965
189,"7/28/20",988
190,"7/29/20",1008
191,"7/30/20",1021
192,"7/31/20",1047
193,"8/1/20",1055
194,"8/2/20",1061
195,"8/3/20",1078
196,"8/4/20",1103
197,"8/5/20",1130
198,"8/6/20",1170
199,"8/7/20",1190
200,"8/8/20",1201
201,"8/9/20",1209
202,"8/10/20",1219
203,"8/11/20",1255
204,"8/12/20",1271
205,"8/13/20",1294
206,"8/14/20",1306
207,"8/15/20",1325
208,"8/16/20",1344
209,"8/17/20",1366
210,"8/18/20",1402
211,"8/19/20",1432
212,"8/20/20",1468
213,"8/21/20",1528
214,"8/22/20",1542
215,"8/23/20",1546
216,"8/24/20",1566
217,"8/25/20",1605
218,"8/26/20",1623
219,"8/27/20",1647
220,"8/28/20",1675
221,"8/29/20",1700
222,"8/30/20",1722
223,"8/31/20",1727
224,"9/1/20",1753
225,"9/2/20",1768
226,"9/3/20",1791
227,"9/4/20",1813
228,"9/5/20",1838
229,"9/6/20",1841
230,"9/7/20",1845
231,"9/8/20",1873
232,"9/9/20",1908
233,"9/10/20",1963
