Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",2
59,"3/20/20",2
60,"3/21/20",2
61,"3/22/20",2
62,"3/23/20",5
63,"3/24/20",7
64,"3/25/20",8
65,"3/26/20",9
66,"3/27/20",10
67,"3/28/20",12
68,"3/29/20",12
69,"3/30/20",12
70,"3/31/20",13
71,"4/1/20",16
72,"4/2/20",17
73,"4/3/20",17
74,"4/4/20",20
75,"4/5/20",22
76,"4/6/20",23
77,"4/7/20",23
78,"4/8/20",23
79,"4/9/20",23
80,"4/10/20",24
81,"4/11/20",25
82,"4/12/20",27
83,"4/13/20",28
84,"4/14/20",29
85,"4/15/20",29
86,"4/16/20",33
87,"4/17/20",35
88,"4/18/20",38
89,"4/19/20",38
90,"4/20/20",38
91,"4/21/20",40
92,"4/22/20",40
93,"4/23/20",43
94,"4/24/20",44
95,"4/25/20",46
96,"4/26/20",46
97,"4/27/20",47
98,"4/28/20",47
99,"4/29/20",47
100,"4/30/20",49
101,"5/1/20",50
102,"5/2/20",51
103,"5/3/20",53
104,"5/4/20",52
105,"5/5/20",52
106,"5/6/20",52
107,"5/7/20",53
108,"5/8/20",53
109,"5/9/20",53
110,"5/10/20",53
111,"5/11/20",53
112,"5/12/20",53
113,"5/13/20",53
114,"5/14/20",53
115,"5/15/20",53
116,"5/16/20",53
117,"5/17/20",54
118,"5/18/20",54
119,"5/19/20",54
120,"5/20/20",54
121,"5/21/20",54
122,"5/22/20",54
123,"5/23/20",54
124,"5/24/20",54
125,"5/25/20",54
126,"5/26/20",54
127,"5/27/20",54
128,"5/28/20",55
129,"5/29/20",55
130,"5/30/20",55
131,"5/31/20",55
132,"6/1/20",55
133,"6/2/20",55
134,"6/3/20",55
135,"6/4/20",55
136,"6/5/20",55
137,"6/6/20",55
138,"6/7/20",55
139,"6/8/20",55
140,"6/9/20",55
141,"6/10/20",55
142,"6/11/20",55
143,"6/12/20",55
144,"6/13/20",55
145,"6/14/20",55
146,"6/15/20",55
147,"6/16/20",55
148,"6/17/20",55
149,"6/18/20",56
150,"6/19/20",56
151,"6/20/20",56
152,"6/21/20",56
153,"6/22/20",56
154,"6/23/20",56
155,"6/24/20",56
156,"6/25/20",56
157,"6/26/20",56
158,"6/27/20",56
159,"6/28/20",56
160,"6/29/20",56
161,"6/30/20",56
162,"7/1/20",56
163,"7/2/20",56
164,"7/3/20",56
165,"7/4/20",56
166,"7/5/20",56
167,"7/6/20",56
168,"7/7/20",56
169,"7/8/20",56
170,"7/9/20",56
171,"7/10/20",56
172,"7/11/20",56
173,"7/12/20",56
174,"7/13/20",56
175,"7/14/20",56
176,"7/15/20",56
177,"7/16/20",56
178,"7/17/20",56
179,"7/18/20",56
180,"7/19/20",56
181,"7/20/20",56
182,"7/21/20",56
183,"7/22/20",56
184,"7/23/20",56
185,"7/24/20",56
186,"7/25/20",56
187,"7/26/20",56
188,"7/27/20",56
189,"7/28/20",56
190,"7/29/20",56
191,"7/30/20",57
192,"7/31/20",57
193,"8/1/20",57
194,"8/2/20",57
195,"8/3/20",57
196,"8/4/20",57
197,"8/5/20",57
198,"8/6/20",58
199,"8/7/20",58
200,"8/8/20",58
201,"8/9/20",58
202,"8/10/20",58
203,"8/11/20",58
204,"8/12/20",58
205,"8/13/20",58
206,"8/14/20",58
207,"8/15/20",58
208,"8/16/20",58
209,"8/17/20",58
210,"8/18/20",58
211,"8/19/20",58
212,"8/20/20",58
213,"8/21/20",58
214,"8/22/20",58
215,"8/23/20",58
216,"8/24/20",58
217,"8/25/20",58
218,"8/26/20",58
219,"8/27/20",58
220,"8/28/20",58
221,"8/29/20",58
222,"8/30/20",58
223,"8/31/20",58
224,"9/1/20",58
225,"9/2/20",58
226,"9/3/20",58
227,"9/4/20",58
228,"9/5/20",58
229,"9/6/20",58
230,"9/7/20",58
231,"9/8/20",58
232,"9/9/20",58
233,"9/10/20",58
234,"9/11/20",58
235,"9/12/20",58
236,"9/13/20",58
237,"9/14/20",58
