Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",1
40,"3/1/20",1
41,"3/2/20",6
42,"3/3/20",7
43,"3/4/20",10
44,"3/5/20",11
45,"3/6/20",13
46,"3/7/20",16
47,"3/8/20",18
48,"3/9/20",19
49,"3/10/20",23
50,"3/11/20",24
51,"3/12/20",31
52,"3/13/20",37
53,"3/14/20",39
54,"3/15/20",40
55,"3/16/20",48
56,"3/17/20",55
57,"3/18/20",67
58,"3/19/20",73
59,"3/20/20",83
60,"3/21/20",94
61,"3/22/20",97
62,"3/23/20",109
63,"3/24/20",116
64,"3/25/20",133
65,"3/26/20",150
66,"3/27/20",157
67,"3/28/20",188
68,"3/29/20",198
69,"3/30/20",205
70,"3/31/20",225
71,"4/1/20",310
72,"4/2/20",340
73,"4/3/20",369
74,"4/4/20",398
75,"4/5/20",426
76,"4/6/20",450
77,"4/7/20",474
78,"4/8/20",489
79,"4/9/20",507
80,"4/10/20",524
81,"4/11/20",547
82,"4/12/20",562
83,"4/13/20",582
84,"4/14/20",599
85,"4/15/20",609
86,"4/16/20",630
87,"4/17/20",649
88,"4/18/20",666
89,"4/19/20",690
90,"4/20/20",709
91,"4/21/20",725
92,"4/22/20",734
93,"4/23/20",747
94,"4/24/20",762
95,"4/25/20",779
96,"4/26/20",799
97,"4/27/20",810
98,"4/28/20",820
99,"4/29/20",828
100,"4/30/20",836
101,"5/1/20",850
102,"5/2/20",862
103,"5/3/20",874
104,"5/4/20",885
105,"5/5/20",898
106,"5/6/20",911
107,"5/7/20",925
108,"5/8/20",941
109,"5/9/20",952
110,"5/10/20",968
111,"5/11/20",974
112,"5/12/20",990
113,"5/13/20",996
114,"5/14/20",1004
115,"5/15/20",1016
116,"5/16/20",1024
117,"5/17/20",1035
118,"5/18/20",1041
119,"5/19/20",1048
120,"5/20/20",1052
121,"5/21/20",1061
122,"5/22/20",1066
123,"5/23/20",1075
124,"5/24/20",1084
125,"5/25/20",1088
126,"5/26/20",1094
127,"5/27/20",1105
128,"5/28/20",1109
129,"5/29/20",1115
130,"5/30/20",1117
131,"5/31/20",1123
132,"6/1/20",1128
133,"6/2/20",1134
134,"6/3/20",1139
135,"6/4/20",1150
136,"6/5/20",1155
137,"6/6/20",1159
138,"6/7/20",1170
139,"6/8/20",1180
140,"6/9/20",1185
141,"6/10/20",1186
142,"6/11/20",1198
143,"6/12/20",1203
144,"6/13/20",1207
145,"6/14/20",1209
146,"6/15/20",1211
147,"6/16/20",1219
148,"6/17/20",1225
149,"6/18/20",1232
150,"6/19/20",1239
151,"6/20/20",1243
152,"6/21/20",1248
153,"6/22/20",1253
154,"6/23/20",1263
155,"6/24/20",1266
156,"6/25/20",1270
157,"6/26/20",1281
158,"6/27/20",1288
159,"6/28/20",1292
160,"6/29/20",1297
161,"6/30/20",1303
162,"7/1/20",1309
163,"7/2/20",1319
164,"7/3/20",1328
165,"7/4/20",1335
166,"7/5/20",1342
167,"7/6/20",1351
168,"7/7/20",1360
169,"7/8/20",1368
170,"7/9/20",1384
171,"7/10/20",1393
172,"7/11/20",1400
173,"7/12/20",1405
174,"7/13/20",1414
175,"7/14/20",1426
176,"7/15/20",1429
177,"7/16/20",1435
178,"7/17/20",1441
179,"7/18/20",1448
180,"7/19/20",1457
181,"7/20/20",1468
182,"7/21/20",1480
183,"7/22/20",1488
184,"7/23/20",1497
185,"7/24/20",1510
186,"7/25/20",1522
187,"7/26/20",1537
188,"7/27/20",1545
189,"7/28/20",1559
190,"7/29/20",1575
191,"7/30/20",1588
192,"7/31/20",1603
193,"8/1/20",1619
194,"8/2/20",1628
195,"8/3/20",1638
196,"8/4/20",1656
197,"8/5/20",1677
198,"8/6/20",1685
199,"8/7/20",1702
200,"8/8/20",1711
201,"8/9/20",1722
202,"8/10/20",1733
203,"8/11/20",1741
204,"8/12/20",1755
205,"8/13/20",1765
206,"8/14/20",1780
207,"8/15/20",1791
208,"8/16/20",1802
209,"8/17/20",1809
210,"8/18/20",1816
211,"8/19/20",1828
212,"8/20/20",1836
213,"8/21/20",1840
214,"8/22/20",1845
215,"8/23/20",1849
216,"8/24/20",1856
217,"8/25/20",1862
218,"8/26/20",1877
219,"8/27/20",1886
220,"8/28/20",1894
221,"8/29/20",1899
222,"8/30/20",1904
223,"8/31/20",1912
224,"9/1/20",1918
225,"9/2/20",1924
226,"9/3/20",1930
227,"9/4/20",1932
