Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",0
59,"3/20/20",0
60,"3/21/20",0
61,"3/22/20",0
62,"3/23/20",0
63,"3/24/20",0
64,"3/25/20",0
65,"3/26/20",0
66,"3/27/20",0
67,"3/28/20",0
68,"3/29/20",0
69,"3/30/20",1
70,"3/31/20",1
71,"4/1/20",1
72,"4/2/20",2
73,"4/3/20",2
74,"4/4/20",2
75,"4/5/20",3
76,"4/6/20",4
77,"4/7/20",4
78,"4/8/20",4
79,"4/9/20",5
80,"4/10/20",5
81,"4/11/20",5
82,"4/12/20",6
83,"4/13/20",8
84,"4/14/20",9
85,"4/15/20",10
86,"4/16/20",12
87,"4/17/20",16
88,"4/18/20",16
89,"4/19/20",18
90,"4/20/20",24
91,"4/21/20",26
92,"4/22/20",27
93,"4/23/20",31
94,"4/24/20",32
95,"4/25/20",32
96,"4/26/20",34
97,"4/27/20",34
98,"4/28/20",38
99,"4/29/20",38
100,"4/30/20",41
101,"5/1/20",46
102,"5/2/20",48
103,"5/3/20",48
104,"5/4/20",48
105,"5/5/20",48
106,"5/6/20",50
107,"5/7/20",51
108,"5/8/20",52
109,"5/9/20",52
110,"5/10/20",54
111,"5/11/20",54
112,"5/12/20",58
113,"5/13/20",58
114,"5/14/20",60
115,"5/15/20",64
116,"5/16/20",64
117,"5/17/20",67
118,"5/18/20",68
119,"5/19/20",68
120,"5/20/20",69
121,"5/21/20",70
122,"5/22/20",72
123,"5/23/20",72
124,"5/24/20",72
125,"5/25/20",72
126,"5/26/20",72
127,"5/27/20",74
128,"5/28/20",74
129,"5/29/20",74
130,"5/30/20",75
131,"5/31/20",75
132,"6/1/20",76
133,"6/2/20",78
134,"6/3/20",78
135,"6/4/20",79
136,"6/5/20",84
137,"6/6/20",84
138,"6/7/20",84
139,"6/8/20",84
140,"6/9/20",84
141,"6/10/20",85
142,"6/11/20",86
143,"6/12/20",88
144,"6/13/20",88
145,"6/14/20",88
146,"6/15/20",88
147,"6/16/20",88
148,"6/17/20",88
149,"6/18/20",88
150,"6/19/20",88
151,"6/20/20",88
152,"6/21/20",89
153,"6/22/20",89
154,"6/23/20",92
155,"6/24/20",92
156,"6/25/20",92
157,"6/26/20",92
158,"6/27/20",93
159,"6/28/20",93
160,"6/29/20",93
161,"6/30/20",93
162,"7/1/20",93
163,"7/2/20",93
164,"7/3/20",93
165,"7/4/20",94
166,"7/5/20",94
167,"7/6/20",95
168,"7/7/20",95
169,"7/8/20",95
170,"7/9/20",95
171,"7/10/20",95
172,"7/11/20",96
173,"7/12/20",96
174,"7/13/20",97
175,"7/14/20",97
176,"7/15/20",98
177,"7/16/20",99
178,"7/17/20",100
179,"7/18/20",100
180,"7/19/20",100
181,"7/20/20",100
182,"7/21/20",101
183,"7/22/20",101
184,"7/23/20",102
185,"7/24/20",103
186,"7/25/20",103
187,"7/26/20",103
188,"7/27/20",104
189,"7/28/20",108
190,"7/29/20",111
191,"7/30/20",112
192,"7/31/20",116
193,"8/1/20",116
194,"8/2/20",117
195,"8/3/20",117
196,"8/4/20",124
197,"8/5/20",124
198,"8/6/20",124
199,"8/7/20",127
200,"8/8/20",131
201,"8/9/20",139
202,"8/10/20",141
203,"8/11/20",147
204,"8/12/20",153
205,"8/13/20",153
206,"8/14/20",157
207,"8/15/20",160
208,"8/16/20",160
209,"8/17/20",160
210,"8/18/20",162
211,"8/19/20",166
212,"8/20/20",167
213,"8/21/20",171
214,"8/22/20",177
215,"8/23/20",179
216,"8/24/20",179
217,"8/25/20",187
218,"8/26/20",190
219,"8/27/20",198
220,"8/28/20",201
221,"8/29/20",215
222,"8/30/20",214
223,"8/31/20",215
224,"9/1/20",224
225,"9/2/20",233
226,"9/3/20",240
227,"9/4/20",245
228,"9/5/20",246
229,"9/6/20",249
230,"9/7/20",248
231,"9/8/20",252
232,"9/9/20",255
233,"9/10/20",258
234,"9/11/20",264
235,"9/12/20",266
236,"9/13/20",267
237,"9/14/20",278
