Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",0
56,"3/17/20",0
57,"3/18/20",0
58,"3/19/20",3
59,"3/20/20",4
60,"3/21/20",4
61,"3/22/20",4
62,"3/23/20",4
63,"3/24/20",6
64,"3/25/20",10
65,"3/26/20",17
66,"3/27/20",19
67,"3/28/20",22
68,"3/29/20",29
69,"3/30/20",35
70,"3/31/20",43
71,"4/1/20",54
72,"4/2/20",67
73,"4/3/20",86
74,"4/4/20",102
75,"4/5/20",106
76,"4/6/20",116
77,"4/7/20",123
78,"4/8/20",140
79,"4/9/20",154
80,"4/10/20",164
81,"4/11/20",177
82,"4/12/20",183
83,"4/13/20",195
84,"4/14/20",204
85,"4/15/20",214
86,"4/16/20",225
87,"4/17/20",233
88,"4/18/20",249
89,"4/19/20",258
90,"4/20/20",262
91,"4/21/20",269
92,"4/22/20",277
93,"4/23/20",282
94,"4/24/20",291
95,"4/25/20",299
96,"4/26/20",310
97,"4/27/20",320
98,"4/28/20",338
99,"4/29/20",352
100,"4/30/20",357
101,"5/1/20",367
102,"5/2/20",374
103,"5/3/20",385
104,"5/4/20",392
105,"5/5/20",401
106,"5/6/20",405
107,"5/7/20",413
108,"5/8/20",428
109,"5/9/20",434
110,"5/10/20",447
111,"5/11/20",452
112,"5/12/20",462
113,"5/13/20",468
114,"5/14/20",478
115,"5/15/20",483
116,"5/16/20",488
117,"5/17/20",496
118,"5/18/20",503
119,"5/19/20",511
120,"5/20/20",523
121,"5/21/20",533
122,"5/22/20",543
123,"5/23/20",556
124,"5/24/20",564
125,"5/25/20",578
126,"5/26/20",594
127,"5/27/20",605
128,"5/28/20",621
129,"5/29/20",634
130,"5/30/20",645
131,"5/31/20",650
132,"6/1/20",656
133,"6/2/20",661
134,"6/3/20",667
135,"6/4/20",673
136,"6/5/20",687
137,"6/6/20",690
138,"6/7/20",695
139,"6/8/20",699
140,"6/9/20",704
141,"6/10/20",716
142,"6/11/20",721
143,"6/12/20",729
144,"6/13/20",734
145,"6/14/20",740
146,"6/15/20",748
147,"6/16/20",754
148,"6/17/20",763
149,"6/18/20",767
150,"6/19/20",769
151,"6/20/20",772
152,"6/21/20",780
153,"6/22/20",784
154,"6/23/20",787
155,"6/24/20",793
156,"6/25/20",797
157,"6/26/20",800
158,"6/27/20",807
159,"6/28/20",813
160,"6/29/20",815
161,"6/30/20",815
162,"7/1/20",819
163,"7/2/20",822
164,"7/3/20",825
165,"7/4/20",827
166,"7/5/20",829
167,"7/6/20",832
168,"7/7/20",834
169,"7/8/20",838
170,"7/9/20",841
171,"7/10/20",845
172,"7/11/20",847
173,"7/12/20",849
174,"7/13/20",856
175,"7/14/20",858
176,"7/15/20",865
177,"7/16/20",869
178,"7/17/20",875
179,"7/18/20",879
180,"7/19/20",886
181,"7/20/20",896
182,"7/21/20",902
183,"7/22/20",912
184,"7/23/20",920
185,"7/24/20",927
186,"7/25/20",933
187,"7/26/20",941
188,"7/27/20",946
189,"7/28/20",955
190,"7/29/20",960
191,"7/30/20",972
192,"7/31/20",978
193,"8/1/20",981
194,"8/2/20",988
195,"8/3/20",1000
196,"8/4/20",1009
197,"8/5/20",1017
198,"8/6/20",1024
199,"8/7/20",1030
200,"8/8/20",1043
201,"8/9/20",1049
202,"8/10/20",1054
203,"8/11/20",1063
204,"8/12/20",1072
205,"8/13/20",1077
206,"8/14/20",1087
207,"8/15/20",1094
208,"8/16/20",1099
209,"8/17/20",1103
210,"8/18/20",1107
211,"8/19/20",1112
212,"8/20/20",1119
213,"8/21/20",1126
214,"8/22/20",1131
215,"8/23/20",1135
216,"8/24/20",1142
217,"8/25/20",1149
218,"8/26/20",1159
219,"8/27/20",1162
220,"8/28/20",1169
221,"8/29/20",1178
222,"8/30/20",1182
223,"8/31/20",1186
224,"9/1/20",1194
225,"9/2/20",1202
226,"9/3/20",1208
227,"9/4/20",1217
228,"9/5/20",1218
229,"9/6/20",1224
230,"9/7/20",1233
231,"9/8/20",1239
232,"9/9/20",1244
233,"9/10/20",1245
234,"9/11/20",1254
