country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Florida,,,US-FL,,2020-02-15,2,0,9,2,-1,-1
US,United States,Florida,,,US-FL,,2020-02-16,4,1,8,2,-2,0
US,United States,Florida,,,US-FL,,2020-02-17,5,1,24,0,-19,4
US,United States,Florida,,,US-FL,,2020-02-18,3,2,13,6,1,0
US,United States,Florida,,,US-FL,,2020-02-19,3,0,15,5,2,0
US,United States,Florida,,,US-FL,,2020-02-20,2,1,10,4,1,0
US,United States,Florida,,,US-FL,,2020-02-21,0,-1,-12,0,0,1
US,United States,Florida,,,US-FL,,2020-02-22,3,0,8,2,1,0
US,United States,Florida,,,US-FL,,2020-02-23,5,2,20,4,0,0
US,United States,Florida,,,US-FL,,2020-02-24,3,1,12,3,2,0
US,United States,Florida,,,US-FL,,2020-02-25,3,1,6,5,2,0
US,United States,Florida,,,US-FL,,2020-02-26,5,1,-9,4,1,0
US,United States,Florida,,,US-FL,,2020-02-27,8,6,2,7,2,-1
US,United States,Florida,,,US-FL,,2020-02-28,5,4,4,5,1,-1
US,United States,Florida,,,US-FL,,2020-02-29,6,4,8,6,2,-2
US,United States,Florida,,,US-FL,,2020-03-01,8,7,10,7,1,-1
US,United States,Florida,,,US-FL,,2020-03-02,7,7,8,3,1,0
US,United States,Florida,,,US-FL,,2020-03-03,8,10,10,3,2,0
US,United States,Florida,,,US-FL,,2020-03-04,6,6,14,1,1,0
US,United States,Florida,,,US-FL,,2020-03-05,5,5,8,2,1,0
US,United States,Florida,,,US-FL,,2020-03-06,3,3,9,-1,1,0
US,United States,Florida,,,US-FL,,2020-03-07,4,3,13,2,2,-1
US,United States,Florida,,,US-FL,,2020-03-08,4,3,-1,1,0,1
US,United States,Florida,,,US-FL,,2020-03-09,5,5,6,-1,0,0
US,United States,Florida,,,US-FL,,2020-03-10,5,6,11,1,0,0
US,United States,Florida,,,US-FL,,2020-03-11,6,7,20,-1,0,0
US,United States,Florida,,,US-FL,,2020-03-12,5,17,17,-2,-1,0
US,United States,Florida,,,US-FL,,2020-03-13,1,22,14,-8,-5,2
US,United States,Florida,,,US-FL,,2020-03-14,-6,16,8,-10,-1,2
US,United States,Florida,,,US-FL,,2020-03-15,-9,9,12,-13,-6,3
US,United States,Florida,,,US-FL,,2020-03-16,-6,14,0,-16,-18,6
US,United States,Florida,,,US-FL,,2020-03-17,-11,14,1,-18,-22,8
US,United States,Florida,,,US-FL,,2020-03-18,-19,7,0,-26,-26,10
US,United States,Florida,,,US-FL,,2020-03-19,-23,6,-7,-33,-29,12
US,United States,Florida,,,US-FL,,2020-03-20,-29,6,-15,-38,-31,14
US,United States,Florida,,,US-FL,,2020-03-21,-39,-3,-33,-42,-26,11
US,United States,Florida,,,US-FL,,2020-03-22,-43,-12,-33,-49,-33,11
US,United States,Florida,,,US-FL,,2020-03-23,-37,-12,-33,-46,-36,15
US,United States,Florida,,,US-FL,,2020-03-24,-38,-12,-33,-46,-39,16
US,United States,Florida,,,US-FL,,2020-03-25,-38,-13,-33,-48,-40,17
US,United States,Florida,,,US-FL,,2020-03-26,-40,-14,-34,-51,-42,18
US,United States,Florida,,,US-FL,,2020-03-27,-44,-17,-38,-55,-43,20
US,United States,Florida,,,US-FL,,2020-03-28,-49,-23,-48,-59,-36,14
US,United States,Florida,,,US-FL,,2020-03-29,-50,-26,-48,-63,-41,13
US,United States,Florida,,,US-FL,,2020-03-30,-42,-22,-42,-55,-43,17
US,United States,Florida,,,US-FL,,2020-03-31,-42,-20,-46,-52,-45,19
US,United States,Florida,,,US-FL,,2020-04-01,-37,-11,-41,-53,-45,18
US,United States,Florida,,,US-FL,,2020-04-02,-39,-11,-42,-55,-46,19
US,United States,Florida,,,US-FL,,2020-04-03,-47,-19,-49,-59,-48,22
US,United States,Florida,,,US-FL,,2020-04-04,-53,-25,-57,-64,-40,16
US,United States,Florida,,,US-FL,,2020-04-05,-57,-33,-70,-70,-45,15
US,United States,Florida,,,US-FL,,2020-04-06,-47,-25,-50,-59,-48,19
US,United States,Florida,,,US-FL,,2020-04-07,-46,-23,-46,-56,-49,20
US,United States,Florida,,,US-FL,,2020-04-08,-46,-23,-45,-57,-49,20
US,United States,Florida,,,US-FL,,2020-04-09,-46,-21,-46,-58,-50,21
US,United States,Florida,,,US-FL,,2020-04-10,-47,-20,-48,-61,-53,23
US,United States,Florida,,,US-FL,,2020-04-11,-49,-20,-54,-65,-40,15
US,United States,Florida,,,US-FL,,2020-04-12,-66,-49,-63,-69,-50,15
US,United States,Florida,,,US-FL,,2020-04-13,-47,-24,-53,-59,-47,19
US,United States,Florida,,,US-FL,,2020-04-14,-46,-23,-52,-56,-48,20
US,United States,Florida,,,US-FL,,2020-04-15,-42,-21,-53,-56,-47,20
US,United States,Florida,,,US-FL,,2020-04-16,-44,-22,-56,-57,-48,21
US,United States,Florida,,,US-FL,,2020-04-17,-44,-21,-47,-58,-47,21
US,United States,Florida,,,US-FL,,2020-04-18,-49,-25,-60,-62,-38,15
US,United States,Florida,,,US-FL,,2020-04-19,-48,-23,-52,-64,-40,13
US,United States,Florida,,,US-FL,,2020-04-20,-44,-25,-54,-58,-46,19
US,United States,Florida,,,US-FL,,2020-04-21,-41,-20,-43,-53,-46,19
US,United States,Florida,,,US-FL,,2020-04-22,-41,-20,-40,-54,-46,19
US,United States,Florida,,,US-FL,,2020-04-23,-43,-21,-47,-55,-47,20
US,United States,Florida,,,US-FL,,2020-04-24,-47,-25,-60,-60,-47,23
US,United States,Florida,,,US-FL,,2020-04-25,-45,-19,-52,-59,-36,13
US,United States,Florida,,,US-FL,,2020-04-26,-47,-23,-52,-63,-40,12
US,United States,Florida,,,US-FL,,2020-04-27,-38,-19,-39,-54,-44,17
US,United States,Florida,,,US-FL,,2020-04-28,-38,-17,-39,-50,-45,13
US,United States,Florida,,,US-FL,,2020-04-29,-38,-18,-36,-51,-45,18
US,United States,Florida,,,US-FL,,2020-04-30,-40,-19,-47,-53,-46,19
US,United States,Florida,,,US-FL,,2020-05-01,-36,-13,-27,-51,-43,18
US,United States,Florida,,,US-FL,,2020-05-02,-40,-14,-31,-53,-32,11
US,United States,Florida,,,US-FL,,2020-05-03,-40,-14,-30,-58,-35,10
US,United States,Florida,,,US-FL,,2020-05-04,-32,-15,-30,-50,-41,15
US,United States,Florida,,,US-FL,,2020-05-05,-31,-10,-29,-48,-41,16
US,United States,Florida,,,US-FL,,2020-05-06,-33,-14,-26,-49,-41,16
US,United States,Florida,,,US-FL,,2020-05-07,-33,-12,-23,-48,-41,16
US,United States,Florida,,,US-FL,,2020-05-08,-33,-9,-20,-48,-40,17
US,United States,Florida,,,US-FL,,2020-05-09,-33,-3,-26,-49,-28,9
US,United States,Florida,,,US-FL,,2020-05-10,-35,-10,-51,-56,-31,9
US,United States,Florida,,,US-FL,,2020-05-11,-31,-16,-28,-48,-39,14
US,United States,Florida,,,US-FL,,2020-05-12,-30,-12,-24,-45,-39,15
US,United States,Florida,,,US-FL,,2020-05-13,-29,-13,-21,-47,-39,15
US,United States,Florida,,,US-FL,,2020-05-14,-31,-13,-29,-48,-39,13
US,United States,Florida,,,US-FL,,2020-05-15,-33,-14,-34,-50,-39,17
US,United States,Florida,,,US-FL,,2020-05-16,-32,-12,-28,-50,-26,9
US,United States,Florida,,,US-FL,,2020-05-17,-33,-15,-20,-53,-28,9
US,United States,Florida,,,US-FL,,2020-05-18,-31,-18,-42,-50,-37,14
US,United States,Florida,,,US-FL,,2020-05-19,-26,-10,-27,-46,-37,14
US,United States,Florida,,,US-FL,,2020-05-20,-25,-12,-20,-45,-37,14
US,United States,Florida,,,US-FL,,2020-05-21,-26,-11,-22,-44,-37,14
US,United States,Florida,,,US-FL,,2020-05-22,-26,-8,-16,-43,-36,14
US,United States,Florida,,,US-FL,,2020-05-23,-28,-9,-17,-46,-22,7
US,United States,Florida,,,US-FL,,2020-05-24,-30,-14,-26,-53,-27,8
US,United States,Florida,,,US-FL,,2020-05-25,-34,-23,-40,-58,-68,22
US,United States,Florida,,,US-FL,,2020-05-26,-27,-12,-34,-44,-35,14
US,United States,Florida,,,US-FL,,2020-05-27,-24,-11,-20,-43,-35,13
US,United States,Florida,,,US-FL,,2020-05-28,-24,-11,-25,-43,-34,13
