country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Louisiana,,,US-LA,,2020-02-15,8,6,26,13,2,-1
US,United States,Louisiana,,,US-LA,,2020-02-16,5,3,-3,8,-1,0
US,United States,Louisiana,,,US-LA,,2020-02-17,2,0,14,4,-3,2
US,United States,Louisiana,,,US-LA,,2020-02-18,3,2,13,3,1,0
US,United States,Louisiana,,,US-LA,,2020-02-19,4,0,16,11,1,0
US,United States,Louisiana,,,US-LA,,2020-02-20,0,-1,-24,1,-1,3
US,United States,Louisiana,,,US-LA,,2020-02-21,8,5,13,16,-1,0
US,United States,Louisiana,,,US-LA,,2020-02-22,9,9,27,41,0,-2
US,United States,Louisiana,,,US-LA,,2020-02-23,17,11,42,33,1,-2
US,United States,Louisiana,,,US-LA,,2020-02-24,16,8,37,14,-15,3
US,United States,Louisiana,,,US-LA,,2020-02-25,16,7,46,24,-37,5
US,United States,Louisiana,,,US-LA,,2020-02-26,19,10,25,18,-8,0
US,United States,Louisiana,,,US-LA,,2020-02-27,14,8,17,13,-3,0
US,United States,Louisiana,,,US-LA,,2020-02-28,11,8,22,10,-2,0
US,United States,Louisiana,,,US-LA,,2020-02-29,12,8,32,13,3,-2
US,United States,Louisiana,,,US-LA,,2020-03-01,16,12,31,15,3,-2
US,United States,Louisiana,,,US-LA,,2020-03-02,12,7,20,8,5,-1
US,United States,Louisiana,,,US-LA,,2020-03-03,16,15,18,6,3,-2
US,United States,Louisiana,,,US-LA,,2020-03-04,7,4,-1,5,1,1
US,United States,Louisiana,,,US-LA,,2020-03-05,12,11,15,8,2,-1
US,United States,Louisiana,,,US-LA,,2020-03-06,8,7,30,9,3,-1
US,United States,Louisiana,,,US-LA,,2020-03-07,11,8,32,13,3,-2
US,United States,Louisiana,,,US-LA,,2020-03-08,15,13,62,16,2,-2
US,United States,Louisiana,,,US-LA,,2020-03-09,8,7,27,8,3,0
US,United States,Louisiana,,,US-LA,,2020-03-10,11,12,20,5,1,0
