country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Nevada,,,US-NV,,2020-02-15,3,2,8,2,-2,0
US,United States,Nevada,,,US-NV,,2020-02-16,6,3,36,1,0,-1
US,United States,Nevada,,,US-NV,,2020-02-17,5,0,31,-2,-28,6
US,United States,Nevada,,,US-NV,,2020-02-18,2,1,6,4,1,0
US,United States,Nevada,,,US-NV,,2020-02-19,1,1,11,8,1,0
US,United States,Nevada,,,US-NV,,2020-02-20,4,1,8,4,1,0
US,United States,Nevada,,,US-NV,,2020-02-21,2,2,13,2,1,0
US,United States,Nevada,,,US-NV,,2020-02-22,0,-3,-12,-2,-2,1
US,United States,Nevada,,,US-NV,,2020-02-23,5,4,27,5,0,-1
US,United States,Nevada,,,US-NV,,2020-02-24,3,3,14,4,3,0
US,United States,Nevada,,,US-NV,,2020-02-25,5,3,6,2,-2,1
US,United States,Nevada,,,US-NV,,2020-02-26,9,6,12,6,2,-1
US,United States,Nevada,,,US-NV,,2020-02-27,8,5,12,5,1,-1
US,United States,Nevada,,,US-NV,,2020-02-28,6,4,12,2,2,-1
US,United States,Nevada,,,US-NV,,2020-02-29,7,6,4,4,0,-1
US,United States,Nevada,,,US-NV,,2020-03-01,7,4,3,0,-1,0
US,United States,Nevada,,,US-NV,,2020-03-02,6,7,1,-1,3,0
US,United States,Nevada,,,US-NV,,2020-03-03,9,11,9,-1,2,-1
US,United States,Nevada,,,US-NV,,2020-03-04,7,9,14,4,1,-1
US,United States,Nevada,,,US-NV,,2020-03-05,6,10,13,1,1,-1
US,United States,Nevada,,,US-NV,,2020-03-06,3,7,14,-2,2,0
US,United States,Nevada,,,US-NV,,2020-03-07,2,5,0,0,0,0
US,United States,Nevada,,,US-NV,,2020-03-08,4,7,22,0,0,0
US,United States,Nevada,,,US-NV,,2020-03-09,4,8,15,0,-7,1
US,United States,Nevada,,,US-NV,,2020-03-10,2,7,-5,-6,-1,1
US,United States,Nevada,,,US-NV,,2020-03-11,5,11,11,-1,0,1
US,United States,Nevada,,,US-NV,,2020-03-12,2,13,-3,-8,-1,1
US,United States,Nevada,,,US-NV,,2020-03-13,1,24,-8,-11,-4,3
US,United States,Nevada,,,US-NV,,2020-03-14,-6,22,-19,-9,-5,3
US,United States,Nevada,,,US-NV,,2020-03-15,-6,21,-2,-17,-7,3
US,United States,Nevada,,,US-NV,,2020-03-16,-5,28,-14,-19,-20,7
US,United States,Nevada,,,US-NV,,2020-03-17,-12,21,-25,-23,-26,9
US,United States,Nevada,,,US-NV,,2020-03-18,-27,12,-36,-29,-36,14
US,United States,Nevada,,,US-NV,,2020-03-19,-36,-2,-39,-45,-43,17
US,United States,Nevada,,,US-NV,,2020-03-20,-38,-3,-42,-49,-45,20
US,United States,Nevada,,,US-NV,,2020-03-21,-46,-13,-41,-48,-46,15
US,United States,Nevada,,,US-NV,,2020-03-22,-46,-19,-24,-57,-49,13
US,United States,Nevada,,,US-NV,,2020-03-23,-41,-16,-37,-54,-48,18
US,United States,Nevada,,,US-NV,,2020-03-24,-40,-14,-36,-51,-50,19
US,United States,Nevada,,,US-NV,,2020-03-25,-41,-15,-42,-51,-51,20
US,United States,Nevada,,,US-NV,,2020-03-26,-42,-16,-43,-56,-51,21
US,United States,Nevada,,,US-NV,,2020-03-27,-43,-17,-44,-57,-52,22
US,United States,Nevada,,,US-NV,,2020-03-28,-47,-19,-49,-54,-50,16
US,United States,Nevada,,,US-NV,,2020-03-29,-47,-23,-38,-62,-52,14
US,United States,Nevada,,,US-NV,,2020-03-30,-40,-16,-29,-56,-51,18
US,United States,Nevada,,,US-NV,,2020-03-31,-37,-12,-28,-51,-52,19
US,United States,Nevada,,,US-NV,,2020-04-01,-37,-7,-29,-50,-52,20
US,United States,Nevada,,,US-NV,,2020-04-02,-40,-12,-36,-57,-54,21
US,United States,Nevada,,,US-NV,,2020-04-03,-41,-12,-37,-57,-53,22
US,United States,Nevada,,,US-NV,,2020-04-04,-48,-16,-53,-57,-53,17
US,United States,Nevada,,,US-NV,,2020-04-05,-49,-22,-46,-64,-55,15
US,United States,Nevada,,,US-NV,,2020-04-06,-43,-18,-46,-59,-54,20
