country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New Mexico,,,US-NM,,2020-02-15,5,8,21,2,0,-1
US,United States,New Mexico,,,US-NM,,2020-02-16,10,9,33,7,1,-1
US,United States,New Mexico,,,US-NM,,2020-02-17,8,6,35,7,-26,4
US,United States,New Mexico,,,US-NM,,2020-02-18,4,6,15,4,3,-1
US,United States,New Mexico,,,US-NM,,2020-02-19,2,4,5,3,3,0
US,United States,New Mexico,,,US-NM,,2020-02-20,4,4,8,5,1,0
US,United States,New Mexico,,,US-NM,,2020-02-21,3,6,0,3,5,-1
US,United States,New Mexico,,,US-NM,,2020-02-22,2,3,-9,-1,0,0
US,United States,New Mexico,,,US-NM,,2020-02-23,2,1,-25,1,1,1
US,United States,New Mexico,,,US-NM,,2020-02-24,4,5,9,5,3,-1
US,United States,New Mexico,,,US-NM,,2020-02-25,4,3,-3,4,3,0
US,United States,New Mexico,,,US-NM,,2020-02-26,12,9,6,6,3,-1
US,United States,New Mexico,,,US-NM,,2020-02-27,13,10,24,11,1,-1
US,United States,New Mexico,,,US-NM,,2020-02-28,12,14,15,9,5,-3
US,United States,New Mexico,,,US-NM,,2020-02-29,12,13,26,7,3,-3
US,United States,New Mexico,,,US-NM,,2020-03-01,17,15,17,11,4,-2
US,United States,New Mexico,,,US-NM,,2020-03-02,12,13,19,9,4,-2
US,United States,New Mexico,,,US-NM,,2020-03-03,14,15,11,8,3,-1
US,United States,New Mexico,,,US-NM,,2020-03-04,13,13,20,7,3,-1
US,United States,New Mexico,,,US-NM,,2020-03-05,12,13,32,8,2,-1
US,United States,New Mexico,,,US-NM,,2020-03-06,8,12,21,8,5,-2
US,United States,New Mexico,,,US-NM,,2020-03-07,10,14,37,12,3,-3
US,United States,New Mexico,,,US-NM,,2020-03-08,9,9,-4,9,2,0
US,United States,New Mexico,,,US-NM,,2020-03-09,12,15,47,10,2,-2
US,United States,New Mexico,,,US-NM,,2020-03-10,12,14,35,9,1,-1
US,United States,New Mexico,,,US-NM,,2020-03-11,12,21,30,8,1,-1
US,United States,New Mexico,,,US-NM,,2020-03-12,13,37,28,10,-4,0
US,United States,New Mexico,,,US-NM,,2020-03-13,1,39,-13,3,-6,3
US,United States,New Mexico,,,US-NM,,2020-03-14,-5,24,20,8,-2,2
US,United States,New Mexico,,,US-NM,,2020-03-15,-7,16,19,6,-5,3
US,United States,New Mexico,,,US-NM,,2020-03-16,-2,25,36,4,-20,5
US,United States,New Mexico,,,US-NM,,2020-03-17,-11,22,13,3,-25,9
US,United States,New Mexico,,,US-NM,,2020-03-18,-15,19,-7,-2,-28,11
US,United States,New Mexico,,,US-NM,,2020-03-19,-24,17,-2,-6,-33,13
US,United States,New Mexico,,,US-NM,,2020-03-20,-28,15,-2,-10,-31,13
US,United States,New Mexico,,,US-NM,,2020-03-21,-37,3,-9,-10,-23,10
US,United States,New Mexico,,,US-NM,,2020-03-22,-36,-3,10,-16,-26,8
US,United States,New Mexico,,,US-NM,,2020-03-23,-26,12,4,-20,-36,13
US,United States,New Mexico,,,US-NM,,2020-03-24,-39,-7,5,-19,-43,17
US,United States,New Mexico,,,US-NM,,2020-03-25,-41,-12,-6,-23,-44,18
US,United States,New Mexico,,,US-NM,,2020-03-26,-41,-15,-18,-26,-47,19
US,United States,New Mexico,,,US-NM,,2020-03-27,-43,-13,-28,-33,-44,19
US,United States,New Mexico,,,US-NM,,2020-03-28,-47,-18,-28,-29,-33,14
US,United States,New Mexico,,,US-NM,,2020-03-29,-44,-18,-12,-31,-34,11
US,United States,New Mexico,,,US-NM,,2020-03-30,-37,-12,-9,-30,-45,16
US,United States,New Mexico,,,US-NM,,2020-03-31,-34,-8,7,-22,-45,17
US,United States,New Mexico,,,US-NM,,2020-04-01,-33,-5,-3,-24,-46,18
US,United States,New Mexico,,,US-NM,,2020-04-02,-34,-6,2,-26,-47,19
US,United States,New Mexico,,,US-NM,,2020-04-03,-35,-2,-8,-30,-44,18
US,United States,New Mexico,,,US-NM,,2020-04-04,-44,-12,-18,-31,-34,13
US,United States,New Mexico,,,US-NM,,2020-04-05,-41,-11,-7,-33,-35,10
US,United States,New Mexico,,,US-NM,,2020-04-06,-34,-7,1,-30,-45,16
US,United States,New Mexico,,,US-NM,,2020-04-07,-36,-7,2,-26,-47,18
US,United States,New Mexico,,,US-NM,,2020-04-08,-37,-10,0,-28,-47,18
US,United States,New Mexico,,,US-NM,,2020-04-09,-36,-7,1,-31,-48,19
US,United States,New Mexico,,,US-NM,,2020-04-10,-39,-5,-11,-35,-51,20
US,United States,New Mexico,,,US-NM,,2020-04-11,-46,-10,-22,-36,-36,14
US,United States,New Mexico,,,US-NM,,2020-04-12,-60,-36,-39,-42,-40,11
US,United States,New Mexico,,,US-NM,,2020-04-13,-44,-19,-42,-40,-49,19
US,United States,New Mexico,,,US-NM,,2020-04-14,-37,-11,-19,-30,-46,19
US,United States,New Mexico,,,US-NM,,2020-04-15,-28,-5,-9,-26,-45,17
US,United States,New Mexico,,,US-NM,,2020-04-16,-31,-7,-2,-26,-46,18
US,United States,New Mexico,,,US-NM,,2020-04-17,-35,-8,-10,-30,-43,18
US,United States,New Mexico,,,US-NM,,2020-04-18,-42,-14,-22,-31,-32,13
US,United States,New Mexico,,,US-NM,,2020-04-19,-37,-13,-10,-34,-32,10
US,United States,New Mexico,,,US-NM,,2020-04-20,-30,-9,1,-30,-45,16
US,United States,New Mexico,,,US-NM,,2020-04-21,-30,-6,-3,-26,-45,17
US,United States,New Mexico,,,US-NM,,2020-04-22,-31,-7,-6,-26,-45,18
US,United States,New Mexico,,,US-NM,,2020-04-23,-30,-6,1,-26,-46,18
US,United States,New Mexico,,,US-NM,,2020-04-24,-33,-3,-7,-29,-43,17
US,United States,New Mexico,,,US-NM,,2020-04-25,-38,-9,-5,-28,-32,11
US,United States,New Mexico,,,US-NM,,2020-04-26,-34,-10,-3,-32,-32,9
US,United States,New Mexico,,,US-NM,,2020-04-27,-27,-5,2,-27,-44,16
US,United States,New Mexico,,,US-NM,,2020-04-28,-27,-3,4,-23,-45,10
US,United States,New Mexico,,,US-NM,,2020-04-29,-26,-2,3,-23,-44,16
US,United States,New Mexico,,,US-NM,,2020-04-30,-25,0,9,-22,-45,17
US,United States,New Mexico,,,US-NM,,2020-05-01,-27,5,3,-22,-41,15
US,United States,New Mexico,,,US-NM,,2020-05-02,-35,-3,-1,-24,-30,10
US,United States,New Mexico,,,US-NM,,2020-05-03,-30,-2,6,-25,-28,8
US,United States,New Mexico,,,US-NM,,2020-05-04,-23,2,5,-22,-42,14
US,United States,New Mexico,,,US-NM,,2020-05-05,-23,7,11,-18,-43,15
US,United States,New Mexico,,,US-NM,,2020-05-06,-26,2,11,-20,-42,16
US,United States,New Mexico,,,US-NM,,2020-05-07,-26,4,16,-18,-44,16
US,United States,New Mexico,,,US-NM,,2020-05-08,-28,7,7,-21,-40,15
US,United States,New Mexico,,,US-NM,,2020-05-09,-32,10,5,-20,-27,9
US,United States,New Mexico,,,US-NM,,2020-05-10,-29,9,2,-22,-23,6
US,United States,New Mexico,,,US-NM,,2020-05-11,-28,-4,0,-22,-41,15
US,United States,New Mexico,,,US-NM,,2020-05-12,-24,2,17,-15,-41,15
US,United States,New Mexico,,,US-NM,,2020-05-13,-23,2,17,-15,-40,15
US,United States,New Mexico,,,US-NM,,2020-05-14,-23,3,25,-18,-42,16
US,United States,New Mexico,,,US-NM,,2020-05-15,-26,6,18,-23,-39,14
US,United States,New Mexico,,,US-NM,,2020-05-16,-31,-2,13,-22,-24,9
US,United States,New Mexico,,,US-NM,,2020-05-17,-27,-2,19,-21,-21,7
US,United States,New Mexico,,,US-NM,,2020-05-18,-19,2,19,-23,-38,13
US,United States,New Mexico,,,US-NM,,2020-05-19,-18,5,17,-18,-39,14
US,United States,New Mexico,,,US-NM,,2020-05-20,-17,6,24,-18,-38,14
US,United States,New Mexico,,,US-NM,,2020-05-21,-16,8,34,-15,-40,14
US,United States,New Mexico,,,US-NM,,2020-05-22,-21,10,33,-16,-38,13
US,United States,New Mexico,,,US-NM,,2020-05-23,-30,2,31,-17,-23,8
US,United States,New Mexico,,,US-NM,,2020-05-24,-24,3,48,-18,-22,5
US,United States,New Mexico,,,US-NM,,2020-05-25,-26,-3,46,-23,-68,18
US,United States,New Mexico,,,US-NM,,2020-05-26,-18,5,28,-24,-37,13
US,United States,New Mexico,,,US-NM,,2020-05-27,-17,3,28,-18,-37,13
US,United States,New Mexico,,,US-NM,,2020-05-28,-17,5,36,-14,-38,14
US,United States,New Mexico,,,US-NM,,2020-05-29,-21,6,25,-18,-34,13
US,United States,New Mexico,,,US-NM,,2020-05-30,-28,-1,16,-16,-15,8
US,United States,New Mexico,,,US-NM,,2020-05-31,-22,0,25,-15,-14,6
US,United States,New Mexico,,,US-NM,,2020-06-01,-10,5,16,-15,-34,11
US,United States,New Mexico,,,US-NM,,2020-06-02,-7,10,32,-11,-34,12
US,United States,New Mexico,,,US-NM,,2020-06-03,-9,9,31,-13,-34,12
US,United States,New Mexico,,,US-NM,,2020-06-04,-10,9,39,-13,-36,12
US,United States,New Mexico,,,US-NM,,2020-06-05,-15,10,29,-15,-33,11
US,United States,New Mexico,,,US-NM,,2020-06-06,-21,4,18,-15,-15,6
US,United States,New Mexico,,,US-NM,,2020-06-07,-15,5,35,-12,-12,4
US,United States,New Mexico,,,US-NM,,2020-06-08,-10,5,23,-16,-34,10
US,United States,New Mexico,,,US-NM,,2020-06-09,-10,7,29,-13,-34,12
US,United States,New Mexico,,,US-NM,,2020-06-10,-9,6,39,-13,-34,11
US,United States,New Mexico,,,US-NM,,2020-06-11,-10,6,42,-10,-35,12
US,United States,New Mexico,,,US-NM,,2020-06-12,-14,8,31,-13,-32,10
US,United States,New Mexico,,,US-NM,,2020-06-13,-19,3,35,-9,-12,5
US,United States,New Mexico,,,US-NM,,2020-06-14,-13,4,42,-9,-11,4
US,United States,New Mexico,,,US-NM,,2020-06-15,-9,4,34,-12,-34,10
US,United States,New Mexico,,,US-NM,,2020-06-16,-8,7,41,-10,-34,11
US,United States,New Mexico,,,US-NM,,2020-06-17,-9,6,36,-10,-34,11
US,United States,New Mexico,,,US-NM,,2020-06-18,-8,8,48,-7,-35,11
US,United States,New Mexico,,,US-NM,,2020-06-19,-12,11,40,-9,-33,8
US,United States,New Mexico,,,US-NM,,2020-06-20,-17,8,50,-8,-13,4
US,United States,New Mexico,,,US-NM,,2020-06-21,-16,9,39,-9,-9,2
US,United States,New Mexico,,,US-NM,,2020-06-22,-10,1,36,-10,-36,10
US,United States,New Mexico,,,US-NM,,2020-06-23,-9,4,37,-7,-36,11
US,United States,New Mexico,,,US-NM,,2020-06-24,-8,4,39,-10,-34,11
US,United States,New Mexico,,,US-NM,,2020-06-25,-8,5,50,-6,-35,11
US,United States,New Mexico,,,US-NM,,2020-06-26,-13,6,40,-8,-32,10
US,United States,New Mexico,,,US-NM,,2020-06-27,-19,0,40,-2,-14,5
US,United States,New Mexico,,,US-NM,,2020-06-28,-14,0,41,-1,-11,4
US,United States,New Mexico,,,US-NM,,2020-06-29,-8,2,38,-5,-34,9
US,United States,New Mexico,,,US-NM,,2020-06-30,-5,7,41,-4,-34,10
US,United States,New Mexico,,,US-NM,,2020-07-01,-2,10,41,-2,-34,10
US,United States,New Mexico,,,US-NM,,2020-07-02,0,17,53,2,-38,10
US,United States,New Mexico,,,US-NM,,2020-07-03,-7,21,60,-3,-53,12
US,United States,New Mexico,,,US-NM,,2020-07-04,-35,3,42,-19,-24,6
US,United States,New Mexico,,,US-NM,,2020-07-05,-22,-8,28,-13,-18,4
US,United States,New Mexico,,,US-NM,,2020-07-06,-7,5,34,-7,-39,10
US,United States,New Mexico,,,US-NM,,2020-07-07,-8,6,38,-6,-37,11
US,United States,New Mexico,,,US-NM,,2020-07-08,-10,4,32,-10,-35,11
US,United States,New Mexico,,,US-NM,,2020-07-09,-10,4,37,-9,-37,11
US,United States,New Mexico,,,US-NM,,2020-07-10,-15,5,26,-12,-34,10
US,United States,New Mexico,,,US-NM,,2020-07-11,-22,-1,20,-11,-14,6
US,United States,New Mexico,,,US-NM,,2020-07-12,-17,-1,19,-12,-14,5
US,United States,New Mexico,,,US-NM,,2020-07-13,-14,2,18,-14,-37,11
US,United States,New Mexico,,,US-NM,,2020-07-14,-13,5,26,-12,-37,12
US,United States,New Mexico,,,US-NM,,2020-07-15,-13,3,21,-14,-36,12
US,United States,New Mexico,,,US-NM,,2020-07-16,-14,3,39,-11,-37,12
US,United States,New Mexico,,,US-NM,,2020-07-17,-18,0,28,-13,-35,11
US,United States,New Mexico,,,US-NM,,2020-07-18,-24,-5,31,-10,-17,6
US,United States,New Mexico,,,US-NM,,2020-07-19,-20,-6,31,-10,-15,5
US,United States,New Mexico,,,US-NM,,2020-07-20,-14,-4,30,-13,-37,10
US,United States,New Mexico,,,US-NM,,2020-07-21,-14,-3,32,-12,-37,12
US,United States,New Mexico,,,US-NM,,2020-07-22,-13,-4,29,-12,-36,11
US,United States,New Mexico,,,US-NM,,2020-07-23,-14,-4,35,-11,-37,12
US,United States,New Mexico,,,US-NM,,2020-07-24,-18,-2,23,-14,-34,11
US,United States,New Mexico,,,US-NM,,2020-07-25,-24,-6,29,-11,-17,6
US,United States,New Mexico,,,US-NM,,2020-07-26,-20,-8,30,-11,-16,5
US,United States,New Mexico,,,US-NM,,2020-07-27,-13,-5,29,-13,-37,10
US,United States,New Mexico,,,US-NM,,2020-07-28,-13,-3,36,-11,-36,11
