Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",9
53,"3/14/20",12
54,"3/15/20",3
55,"3/16/20",3
56,"3/17/20",3
57,"3/18/20",4
58,"3/19/20",62
59,"3/20/20",100
60,"3/21/20",122
61,"3/22/20",165
62,"3/23/20",192
63,"3/24/20",219
64,"3/25/20",280
65,"3/26/20",335
66,"3/27/20",381
67,"3/28/20",409
68,"3/29/20",426
69,"3/30/20",473
70,"3/31/20",523
71,"4/1/20",584
72,"4/2/20",643
73,"4/3/20",704
74,"4/4/20",743
75,"4/5/20",837
76,"4/6/20",875
77,"4/7/20",946
78,"4/8/20",1000
79,"4/9/20",1119
80,"4/10/20",1171
81,"4/11/20",1228
82,"4/12/20",1280
83,"4/13/20",1410
84,"4/14/20",1498
85,"4/15/20",1569
86,"4/16/20",1620
87,"4/17/20",1695
88,"4/18/20",1744
89,"4/19/20",1781
90,"4/20/20",1973
91,"4/21/20",1990
92,"4/22/20",2276
93,"4/23/20",2599
94,"4/24/20",2810
95,"4/25/20",2911
96,"4/26/20",3001
97,"4/27/20",3069
98,"4/28/20",3127
99,"4/29/20",3193
100,"4/30/20",3281
101,"5/1/20",3337
102,"5/2/20",3372
103,"5/3/20",3437
104,"5/4/20",3491
105,"5/5/20",3525
106,"5/6/20",3611
107,"5/7/20",3703
108,"5/8/20",3747
109,"5/9/20",3747
110,"5/10/20",4012
111,"5/11/20",4043
112,"5/12/20",4164
113,"5/13/20",4236
114,"5/14/20",4366
115,"5/15/20",4463
116,"5/16/20",4578
117,"5/17/20",4759
118,"5/18/20",4813
119,"5/19/20",4923
120,"5/20/20",5003
121,"5/21/20",5458
122,"5/22/20",5612
123,"5/23/20",5775
124,"5/24/20",5922
125,"5/25/20",6029
126,"5/26/20",6180
127,"5/27/20",6277
128,"5/28/20",6538
129,"5/29/20",6777
130,"5/30/20",7013
131,"5/31/20",7253
132,"6/1/20",7443
133,"6/2/20",7818
134,"6/3/20",8067
135,"6/4/20",8425
136,"6/5/20",8651
137,"6/6/20",9101
138,"6/7/20",9426
139,"6/8/20",9740
140,"6/9/20",10080
141,"6/10/20",10368
142,"6/11/20",10816
143,"6/12/20",11547
144,"6/13/20",12095
145,"6/14/20",12501
146,"6/15/20",12917
147,"6/16/20",13191
148,"6/17/20",13606
149,"6/18/20",13928
150,"6/19/20",14631
151,"6/20/20",15142
152,"6/21/20",15561
153,"6/22/20",16083
154,"6/23/20",16678
155,"6/24/20",17375
156,"6/25/20",18062
157,"6/26/20",18740
158,"6/27/20",19310
159,"6/28/20",19818
160,"6/29/20",20257
161,"6/30/20",20777
162,"7/1/20",21197
163,"7/2/20",22075
164,"7/3/20",22622
165,"7/4/20",23209
166,"7/5/20",23814
167,"7/6/20",24253
168,"7/7/20",24512
169,"7/8/20",25246
170,"7/9/20",26052
171,"7/10/20",26803
172,"7/11/20",27864
173,"7/12/20",28367
174,"7/13/20",28939
175,"7/14/20",29812
176,"7/15/20",30297
177,"7/16/20",31114
178,"7/17/20",31762
179,"7/18/20",32533
180,"7/19/20",33228
181,"7/20/20",33927
182,"7/21/20",34655
183,"7/22/20",35246
184,"7/23/20",36259
185,"7/24/20",37249
186,"7/25/20",37981
187,"7/26/20",38623
188,"7/27/20",39447
189,"7/28/20",40181
190,"7/29/20",40968
191,"7/30/20",41759
192,"7/31/20",42511
193,"8/1/20",43173
194,"8/2/20",43810
195,"8/3/20",44597
196,"8/4/20",45381
197,"8/5/20",46293
198,"8/6/20",47028
199,"8/7/20",48039
200,"8/8/20",48811
201,"8/9/20",49383
202,"8/10/20",50028
203,"8/11/20",50411
204,"8/12/20",51096
205,"8/13/20",51766
206,"8/14/20",52392
207,"8/15/20",51992
208,"8/16/20",52665
209,"8/17/20",53077
210,"8/18/20",53487
211,"8/19/20",54216
212,"8/20/20",54765
213,"8/21/20",55652
214,"8/22/20",56199
215,"8/23/20",56574
216,"8/24/20",56894
217,"8/25/20",57374
218,"8/26/20",58023
219,"8/27/20",58745
220,"8/28/20",59583
221,"8/29/20",60378
222,"8/30/20",60856
223,"8/31/20",61224
224,"9/1/20",61497
