Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",2
6,"1/27/20",2
7,"1/28/20",2
8,"1/29/20",2
9,"1/30/20",2
10,"1/31/20",3
11,"2/1/20",3
12,"2/2/20",3
13,"2/3/20",6
14,"2/4/20",6
15,"2/5/20",6
16,"2/6/20",6
17,"2/7/20",6
18,"2/8/20",6
19,"2/9/20",6
20,"2/10/20",6
21,"2/11/20",7
22,"2/12/20",7
23,"2/13/20",8
24,"2/14/20",8
25,"2/15/20",8
26,"2/16/20",8
27,"2/17/20",8
28,"2/18/20",8
29,"2/19/20",8
30,"2/20/20",8
31,"2/21/20",10
32,"2/22/20",10
33,"2/23/20",10
34,"2/24/20",10
35,"2/25/20",10
36,"2/26/20",10
37,"2/27/20",11
38,"2/28/20",11
39,"2/29/20",12
40,"3/1/20",12
41,"3/2/20",21
42,"3/3/20",25
43,"3/4/20",35
44,"3/5/20",51
45,"3/6/20",59
46,"3/7/20",81
47,"3/8/20",95
48,"3/9/20",101
49,"3/10/20",144
50,"3/11/20",178
51,"3/12/20",221
52,"3/13/20",281
53,"3/14/20",372
54,"3/15/20",373
55,"3/16/20",557
56,"3/17/20",700
57,"3/18/20",831
58,"3/19/20",1009
59,"3/20/20",1243
60,"3/21/20",1412
61,"3/22/20",1651
62,"3/23/20",2113
63,"3/24/20",2542
64,"3/25/20",3009
65,"3/26/20",3910
66,"3/27/20",4679
67,"3/28/20",5110
68,"3/29/20",5863
69,"3/30/20",7155
70,"3/31/20",8233
71,"4/1/20",9415
72,"4/2/20",10796
73,"4/3/20",12023
74,"4/4/20",12844
75,"4/5/20",15040
76,"4/6/20",16034
77,"4/7/20",17360
78,"4/8/20",18902
79,"4/9/20",19718
80,"4/10/20",21094
81,"4/11/20",21722
82,"4/12/20",22810
83,"4/13/20",23949
84,"4/14/20",25406
85,"4/15/20",26699
86,"4/16/20",27687
87,"4/17/20",29470
88,"4/18/20",30805
89,"4/19/20",31660
90,"4/20/20",33946
91,"4/21/20",35793
92,"4/22/20",37739
93,"4/23/20",39946
94,"4/24/20",41803
95,"4/25/20",42771
96,"4/26/20",43888
97,"4/27/20",45387
98,"4/28/20",46714
99,"4/29/20",49310
100,"4/30/20",50712
101,"5/1/20",52536
102,"5/2/20",53833
103,"5/3/20",55323
104,"5/4/20",56419
105,"5/5/20",59039
106,"5/6/20",61245
107,"5/7/20",62869
108,"5/8/20",64564
109,"5/9/20",67285
110,"5/10/20",68231
111,"5/11/20",70039
112,"5/12/20",71770
113,"5/13/20",73603
114,"5/14/20",75580
115,"5/15/20",77427
116,"5/16/20",79471
117,"5/17/20",80809
118,"5/18/20",82320
119,"5/19/20",84635
120,"5/20/20",86839
121,"5/21/20",88951
122,"5/22/20",91239
123,"5/23/20",93404
124,"5/24/20",94818
125,"5/25/20",97152
126,"5/26/20",100312
127,"5/27/20",102035
128,"5/28/20",104893
129,"5/29/20",107723
130,"5/30/20",110937
131,"5/31/20",112919
132,"6/1/20",115688
133,"6/2/20",118292
134,"6/3/20",120583
135,"6/4/20",123516
136,"6/5/20",127034
137,"6/6/20",129748
138,"6/7/20",131811
139,"6/8/20",135114
140,"6/9/20",138188
141,"6/10/20",141313
142,"6/11/20",145086
143,"6/12/20",148434
144,"6/13/20",151901
145,"6/14/20",154061
146,"6/15/20",157620
147,"6/16/20",161149
148,"6/17/20",165425
149,"6/18/20",170343
150,"6/19/20",174428
151,"6/20/20",178876
152,"6/21/20",182137
153,"6/22/20",188948
154,"6/23/20",196541
155,"6/24/20",201863
156,"6/25/20",207480
157,"6/26/20",213752
158,"6/27/20",217720
159,"6/28/20",222821
160,"6/29/20",231578
161,"6/30/20",239724
162,"7/1/20",247317
163,"7/2/20",255494
164,"7/3/20",259664
165,"7/4/20",261909
166,"7/5/20",273416
167,"7/6/20",279891
168,"7/7/20",292859
169,"7/8/20",301140
170,"7/9/20",310753
171,"7/10/20",319276
172,"7/11/20",326299
173,"7/12/20",331786
174,"7/13/20",340931
175,"7/14/20",353610
176,"7/15/20",362293
177,"7/16/20",372098
178,"7/17/20",381075
179,"7/18/20",388450
180,"7/19/20",394389
181,"7/20/20",405371
182,"7/21/20",416450
183,"7/22/20",428241
184,"7/23/20",437338
185,"7/24/20",446585
186,"7/25/20",452831
187,"7/26/20",458378
188,"7/27/20",464577
189,"7/28/20",477355
190,"7/29/20",491537
191,"7/30/20",499519
192,"7/31/20",507206
193,"8/1/20",513078
194,"8/2/20",518282
195,"8/3/20",522847
196,"8/4/20",532850
197,"8/5/20",537165
198,"8/6/20",547639
199,"8/7/20",553552
200,"8/8/20",560936
201,"8/9/20",566043
202,"8/10/20",579653
203,"8/11/20",585315
204,"8/12/20",596862
205,"8/13/20",602811
206,"8/14/20",617459
207,"8/15/20",622431
208,"8/16/20",627796
209,"8/17/20",633339
210,"8/18/20",641991
211,"8/19/20",651034
212,"8/20/20",655845
213,"8/21/20",662393
214,"8/22/20",667587
215,"8/23/20",672383
216,"8/24/20",678544
217,"8/25/20",683935
218,"8/26/20",689691
219,"8/27/20",694375
220,"8/28/20",699805
221,"8/29/20",704167
222,"8/30/20",707908
