Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",2
45,"3/6/20",8
46,"3/7/20",8
47,"3/8/20",8
48,"3/9/20",12
49,"3/10/20",17
50,"3/11/20",34
51,"3/12/20",49
52,"3/13/20",78
53,"3/14/20",103
54,"3/15/20",136
55,"3/16/20",161
56,"3/17/20",183
57,"3/18/20",216
58,"3/19/20",278
59,"3/20/20",364
60,"3/21/20",475
61,"3/22/20",595
62,"3/23/20",723
63,"3/24/20",912
64,"3/25/20",1087
65,"3/26/20",1430
66,"3/27/20",1738
67,"3/28/20",2061
68,"3/29/20",2308
69,"3/30/20",2627
70,"3/31/20",2966
71,"4/1/20",3342
72,"4/2/20",3728
73,"4/3/20",4173
74,"4/4/20",4565
75,"4/5/20",4950
76,"4/6/20",5183
77,"4/7/20",5429
78,"4/8/20",5655
79,"4/9/20",6202
80,"4/10/20",6513
81,"4/11/20",6893
82,"4/12/20",7307
83,"4/13/20",7696
84,"4/14/20",7950
85,"4/15/20",8280
86,"4/16/20",8675
87,"4/17/20",9047
88,"4/18/20",9440
89,"4/19/20",9730
90,"4/20/20",10112
91,"4/21/20",10473
92,"4/22/20",10891
93,"4/23/20",11278
94,"4/24/20",12256
95,"4/25/20",12968
96,"4/26/20",13441
97,"4/27/20",13879
98,"4/28/20",14316
99,"4/29/20",14758
100,"4/30/20",15284
101,"5/1/20",15793
102,"5/2/20",16225
103,"5/3/20",16635
104,"5/4/20",16918
105,"5/5/20",17367
106,"5/6/20",17832
107,"5/7/20",18370
108,"5/8/20",18827
109,"5/9/20",19375
110,"5/10/20",19703
111,"5/11/20",19879
112,"5/12/20",20157
113,"5/13/20",20475
114,"5/14/20",20838
115,"5/15/20",21232
116,"5/16/20",21633
117,"5/17/20",21938
118,"5/18/20",22202
119,"5/19/20",22482
120,"5/20/20",22797
121,"5/21/20",23191
122,"5/22/20",23487
123,"5/23/20",23964
124,"5/24/20",24174
125,"5/25/20",24269
126,"5/26/20",24565
127,"5/27/20",24767
128,"5/28/20",25121
129,"5/29/20",25612
130,"5/30/20",26098
131,"5/31/20",26378
132,"6/1/20",26577
133,"6/2/20",26788
134,"6/3/20",27060
135,"6/4/20",27360
136,"6/5/20",27615
137,"6/6/20",27848
138,"6/7/20",28001
139,"6/8/20",28183
140,"6/9/20",28347
141,"6/10/20",28499
142,"6/11/20",28647
143,"6/12/20",28822
144,"6/13/20",29017
145,"6/14/20",29130
146,"6/15/20",29299
147,"6/16/20",29442
148,"6/17/20",29671
149,"6/18/20",29901
150,"6/19/20",30187
151,"6/20/20",30348
152,"6/21/20",30539
153,"6/22/20",30705
154,"6/23/20",30893
155,"6/24/20",31155
156,"6/25/20",31479
157,"6/26/20",31796
158,"6/27/20",32022
159,"6/28/20",32307
160,"6/29/20",32511
161,"6/30/20",32715
162,"7/1/20",33029
163,"7/2/20",33352
164,"7/3/20",33612
165,"7/4/20",33866
166,"7/5/20",34065
167,"7/6/20",34257
168,"7/7/20",34664
169,"7/8/20",35116
170,"7/9/20",35525
171,"7/10/20",36191
172,"7/11/20",36591
173,"7/12/20",36913
174,"7/13/20",37236
175,"7/14/20",37686
176,"7/15/20",38155
177,"7/16/20",38726
178,"7/17/20",39344
179,"7/18/20",39788
180,"7/19/20",40142
181,"7/20/20",40566
182,"7/21/20",41059
183,"7/22/20",41698
184,"7/23/20",42313
185,"7/24/20",42980
186,"7/25/20",43789
187,"7/26/20",44336
188,"7/27/20",44565
189,"7/28/20",45314
190,"7/29/20",45796
191,"7/30/20",46204
192,"7/31/20",46809
193,"8/1/20",47267
194,"8/2/20",47727
195,"8/3/20",47968
196,"8/4/20",48394
197,"8/5/20",48988
198,"8/6/20",49436
199,"8/7/20",49893
200,"8/8/20",50324
201,"8/9/20",50660
202,"8/10/20",51038
203,"8/11/20",51441
204,"8/12/20",51756
205,"8/13/20",52219
206,"8/14/20",52538
207,"8/15/20",52838
208,"8/16/20",53176
209,"8/17/20",53370
210,"8/18/20",53631
211,"8/19/20",53901
212,"8/20/20",54230
213,"8/21/20",54230
214,"8/22/20",54883
215,"8/23/20",55143
216,"8/24/20",55341
217,"8/25/20",55800
218,"8/26/20",55993
219,"8/27/20",56343
220,"8/28/20",56773
221,"8/29/20",57040
222,"8/30/20",57223
223,"8/31/20",57424
