Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",1
50,"3/11/20",3
51,"3/12/20",5
52,"3/13/20",11
53,"3/14/20",23
54,"3/15/20",24
55,"3/16/20",41
56,"3/17/20",68
57,"3/18/20",96
58,"3/19/20",159
59,"3/20/20",194
60,"3/21/20",194
61,"3/22/20",327
62,"3/23/20",415
63,"3/24/20",618
64,"3/25/20",875
65,"3/26/20",1012
66,"3/27/20",1291
67,"3/28/20",1524
68,"3/29/20",1993
69,"3/30/20",2571
70,"3/31/20",3128
71,"4/1/20",3557
72,"4/2/20",3824
73,"4/3/20",4914
74,"4/4/20",5276
75,"4/5/20",5675
76,"4/6/20",6906
77,"4/7/20",7781
78,"4/8/20",7781
79,"4/9/20",9784
80,"4/10/20",10538
81,"4/11/20",11510
82,"4/12/20",12035
83,"4/13/20",13381
84,"4/14/20",13989
85,"4/15/20",14755
86,"4/16/20",15884
87,"4/17/20",16809
88,"4/18/20",17550
89,"4/19/20",17962
90,"4/20/20",19815
91,"4/21/20",20360
92,"4/22/20",22469
93,"4/23/20",23100
94,"4/24/20",23936
95,"4/25/20",24583
96,"4/26/20",25269
97,"4/27/20",25997
98,"4/28/20",26312
99,"4/29/20",26767
100,"4/30/20",27700
101,"5/1/20",28764
102,"5/2/20",29287
103,"5/3/20",29287
104,"5/4/20",29973
105,"5/5/20",30621
106,"5/6/20",30995
107,"5/7/20",31784
108,"5/8/20",32411
109,"5/9/20",32984
110,"5/10/20",33554
111,"5/11/20",33765
112,"5/12/20",34333
113,"5/13/20",34855
114,"5/14/20",35464
115,"5/15/20",36085
116,"5/16/20",36703
117,"5/17/20",37419
118,"5/18/20",38116
119,"5/19/20",38430
120,"5/20/20",39017
121,"5/21/20",39208
122,"5/22/20",39640
123,"5/23/20",40022
124,"5/24/20",40468
125,"5/25/20",40873
126,"5/26/20",41303
127,"5/27/20",41288
128,"5/28/20",41559
129,"5/29/20",41762
130,"5/30/20",42022
131,"5/31/20",42201
132,"6/1/20",42740
133,"6/2/20",42979
134,"6/3/20",43091
135,"6/4/20",43239
136,"6/5/20",43460
137,"6/6/20",43818
138,"6/7/20",43968
139,"6/8/20",44092
140,"6/9/20",44179
141,"6/10/20",44347
142,"6/11/20",44461
143,"6/12/20",44689
144,"6/13/20",44994
145,"6/14/20",45088
146,"6/15/20",45235
147,"6/16/20",45349
148,"6/17/20",45429
149,"6/18/20",45440
150,"6/19/20",45557
151,"6/20/20",45715
152,"6/21/20",45755
153,"6/22/20",45782
154,"6/23/20",45899
155,"6/24/20",45913
156,"6/25/20",45994
157,"6/26/20",46059
158,"6/27/20",46206
159,"6/28/20",46303
160,"6/29/20",46362
161,"6/30/20",46514
162,"7/1/20",46572
163,"7/2/20",46646
164,"7/3/20",46717
165,"7/4/20",46717
166,"7/5/20",46717
167,"7/6/20",46976
168,"7/7/20",47033
169,"7/8/20",47108
170,"7/9/20",47209
171,"7/10/20",47287
172,"7/11/20",47287
173,"7/12/20",47287
174,"7/13/20",47510
175,"7/14/20",47530
176,"7/15/20",47636
177,"7/16/20",47750
178,"7/17/20",47893
179,"7/18/20",47893
180,"7/19/20",47893
181,"7/20/20",48055
182,"7/21/20",48096
183,"7/22/20",48223
184,"7/23/20",48232
185,"7/24/20",48776
186,"7/25/20",48776
187,"7/26/20",48776
188,"7/27/20",48983
189,"7/28/20",49077
190,"7/29/20",49540
191,"7/30/20",49670
192,"7/31/20",49810
193,"8/1/20",49810
194,"8/2/20",49810
195,"8/3/20",50062
196,"8/4/20",50110
197,"8/5/20",50225
198,"8/6/20",50245
199,"8/7/20",50320
200,"8/8/20",50320
201,"8/9/20",50320
202,"8/10/20",50567
203,"8/11/20",50684
204,"8/12/20",50706
205,"8/13/20",50782
206,"8/14/20",50897
207,"8/15/20",50897
208,"8/16/20",50897
209,"8/17/20",51267
210,"8/18/20",51255
211,"8/19/20",51314
212,"8/20/20",51432
213,"8/21/20",51519
214,"8/22/20",51519
215,"8/23/20",51519
216,"8/24/20",52011
217,"8/25/20",52040
218,"8/26/20",52220
219,"8/27/20",52350
220,"8/28/20",52495
221,"8/29/20",52495
222,"8/30/20",52495
223,"8/31/20",52879
