Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",0
53,"3/14/20",0
54,"3/15/20",0
55,"3/16/20",22
56,"3/17/20",22
57,"3/18/20",31
58,"3/19/20",40
59,"3/20/20",71
60,"3/21/20",98
61,"3/22/20",102
62,"3/23/20",120
63,"3/24/20",141
64,"3/25/20",187
65,"3/26/20",231
66,"3/27/20",271
67,"3/28/20",304
68,"3/29/20",342
69,"3/30/20",401
70,"3/31/20",495
71,"4/1/20",586
72,"4/2/20",653
73,"4/3/20",757
74,"4/4/20",902
75,"4/5/20",1002
76,"4/6/20",1097
77,"4/7/20",1211
78,"4/8/20",1440
79,"4/9/20",1523
80,"4/10/20",1660
81,"4/11/20",1778
82,"4/12/20",1875
83,"4/13/20",1955
84,"4/14/20",2058
85,"4/15/20",2197
86,"4/16/20",2350
87,"4/17/20",2476
88,"4/18/20",2666
89,"4/19/20",2793
90,"4/20/20",2927
91,"4/21/20",3098
92,"4/22/20",3206
93,"4/23/20",3361
94,"4/24/20",3528
95,"4/25/20",3699
96,"4/26/20",3841
97,"4/27/20",3892
98,"4/28/20",3994
99,"4/29/20",4106
100,"4/30/20",4323
101,"5/1/20",4658
102,"5/2/20",4797
103,"5/3/20",5016
104,"5/4/20",5170
105,"5/5/20",5322
106,"5/6/20",5461
107,"5/7/20",5654
108,"5/8/20",5899
109,"5/9/20",6102
110,"5/10/20",6272
111,"5/11/20",6389
112,"5/12/20",6485
113,"5/13/20",6584
114,"5/14/20",6736
115,"5/15/20",6871
116,"5/16/20",7042
117,"5/17/20",7123
118,"5/18/20",7270
119,"5/19/20",7434
120,"5/20/20",7551
121,"5/21/20",7788
122,"5/22/20",7893
123,"5/23/20",7966
124,"5/24/20",8110
125,"5/25/20",8225
126,"5/26/20",8334
127,"5/27/20",8406
128,"5/28/20",8492
129,"5/29/20",8538
130,"5/30/20",8717
131,"5/31/20",8801
132,"6/1/20",8857
133,"6/2/20",8886
134,"6/3/20",9016
135,"6/4/20",9120
136,"6/5/20",9199
137,"6/6/20",9269
138,"6/7/20",9332
139,"6/8/20",9389
140,"6/9/20",9474
141,"6/10/20",9537
142,"6/11/20",9589
143,"6/12/20",9654
144,"6/13/20",9709
145,"6/14/20",9767
146,"6/15/20",9799
147,"6/16/20",9818
148,"6/17/20",9847
149,"6/18/20",9903
150,"6/19/20",9952
151,"6/20/20",9984
152,"6/21/20",10020
153,"6/22/20",10058
154,"6/23/20",10094
155,"6/24/20",10128
156,"6/25/20",10159
157,"6/26/20",10185
158,"6/27/20",10216
159,"6/28/20",10248
160,"6/29/20",10292
161,"6/30/20",10327
162,"7/1/20",10365
163,"7/2/20",10390
164,"7/3/20",10435
165,"7/4/20",10447
166,"7/5/20",10482
167,"7/6/20",10515
168,"7/7/20",10569
169,"7/8/20",10642
170,"7/9/20",10679
171,"7/10/20",10743
172,"7/11/20",10801
173,"7/12/20",10847
174,"7/13/20",10906
175,"7/14/20",10946
176,"7/15/20",11026
177,"7/16/20",11076
178,"7/17/20",11115
179,"7/18/20",11194
180,"7/19/20",11261
181,"7/20/20",11339
182,"7/21/20",11427
183,"7/22/20",11529
184,"7/23/20",11571
185,"7/24/20",11649
186,"7/25/20",11717
187,"7/26/20",11780
188,"7/27/20",11858
189,"7/28/20",11945
190,"7/29/20",11999
191,"7/30/20",12057
192,"7/31/20",12126
193,"8/1/20",12205
194,"8/2/20",12274
195,"8/3/20",12313
196,"8/4/20",12398
197,"8/5/20",12443
198,"8/6/20",12518
199,"8/7/20",12589
200,"8/8/20",12653
201,"8/9/20",12753
202,"8/10/20",12807
203,"8/11/20",12896
204,"8/12/20",12959
205,"8/13/20",13024
206,"8/14/20",13118
207,"8/15/20",13159
208,"8/16/20",13220
209,"8/17/20",13273
210,"8/18/20",13325
211,"8/19/20",13354
212,"8/20/20",13409
213,"8/21/20",13469
214,"8/22/20",13534
215,"8/23/20",13590
216,"8/24/20",13639
217,"8/25/20",13684
218,"8/26/20",13684
219,"8/27/20",13794
220,"8/28/20",13851
221,"8/29/20",13925
222,"8/30/20",13959
223,"8/31/20",13992
224,"9/1/20",14049
