Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",1
42,"3/3/20",2
43,"3/4/20",2
44,"3/5/20",3
45,"3/6/20",3
46,"3/7/20",7
47,"3/8/20",10
48,"3/9/20",13
49,"3/10/20",15
50,"3/11/20",24
51,"3/12/20",30
52,"3/13/20",50
53,"3/14/20",76
54,"3/15/20",100
55,"3/16/20",101
56,"3/17/20",190
57,"3/18/20",306
58,"3/19/20",432
59,"3/20/20",564
60,"3/21/20",763
61,"3/22/20",1004
62,"3/23/20",1227
63,"3/24/20",1412
64,"3/25/20",1682
65,"3/26/20",2357
66,"3/27/20",2900
67,"3/28/20",3763
68,"3/29/20",4246
69,"3/30/20",5473
70,"3/31/20",6741
71,"4/1/20",6956
72,"4/2/20",9008
73,"4/3/20",10268
74,"4/4/20",11537
75,"4/5/20",12350
76,"4/6/20",13324
77,"4/7/20",14545
78,"4/8/20",15456
79,"4/9/20",16364
80,"4/10/20",17531
81,"4/11/20",18494
82,"4/12/20",19895
83,"4/13/20",21019
84,"4/14/20",21628
85,"4/15/20",22511
86,"4/16/20",23343
87,"4/17/20",24759
88,"4/18/20",25492
89,"4/19/20",26314
90,"4/20/20",27059
91,"4/21/20",27869
92,"4/22/20",28309
93,"4/23/20",29648
94,"4/24/20",30533
95,"4/25/20",30839
96,"4/26/20",31532
97,"4/27/20",32138
98,"4/28/20",32848
99,"4/29/20",33193
100,"4/30/20",33690
101,"5/1/20",34728
102,"5/2/20",35463
103,"5/3/20",36078
104,"5/4/20",36897
105,"5/5/20",37439
106,"5/6/20",38002
107,"5/7/20",38828
108,"5/8/20",39199
109,"5/9/20",40001
110,"5/10/20",40596
111,"5/11/20",40982
112,"5/12/20",41923
113,"5/13/20",42402
114,"5/14/20",43210
115,"5/15/20",44138
116,"5/16/20",44811
117,"5/17/20",45588
118,"5/18/20",46442
119,"5/19/20",46944
120,"5/20/20",47471
121,"5/21/20",48675
122,"5/22/20",49451
123,"5/23/20",50127
124,"5/24/20",50867
125,"5/25/20",51746
126,"5/26/20",52255
127,"5/27/20",52634
128,"5/28/20",53285
129,"5/29/20",54497
130,"5/30/20",55424
131,"5/31/20",56163
132,"6/1/20",56830
133,"6/2/20",57447
134,"6/3/20",58764
135,"6/4/20",60183
136,"6/5/20",61488
137,"6/6/20",62758
138,"6/7/20",63938
139,"6/8/20",64904
140,"6/9/20",66000
141,"6/10/20",67371
142,"6/11/20",69069
143,"6/12/20",70971
144,"6/13/20",73552
145,"6/14/20",75568
146,"6/15/20",77326
147,"6/16/20",80109
148,"6/17/20",82719
149,"6/18/20",85926
150,"6/19/20",89748
151,"6/20/20",93797
152,"6/21/20",97291
153,"6/22/20",100217
154,"6/23/20",103503
155,"6/24/20",109014
156,"6/25/20",114018
157,"6/26/20",122960
158,"6/27/20",132545
159,"6/28/20",141075
160,"6/29/20",146341
161,"6/30/20",152434
162,"7/1/20",158997
163,"7/2/20",169106
164,"7/3/20",178594
165,"7/4/20",190052
166,"7/5/20",200111
167,"7/6/20",206447
168,"7/7/20",213794
169,"7/8/20",223783
170,"7/9/20",232718
171,"7/10/20",244151
172,"7/11/20",254511
173,"7/12/20",269811
174,"7/13/20",282435
175,"7/14/20",291629
176,"7/15/20",301810
177,"7/16/20",315775
178,"7/17/20",327241
179,"7/18/20",337569
180,"7/19/20",350047
181,"7/20/20",360394
182,"7/21/20",369834
183,"7/22/20",379619
184,"7/23/20",389868
185,"7/24/20",402312
186,"7/25/20",414511
187,"7/26/20",423855
188,"7/27/20",432747
189,"7/28/20",441977
190,"7/29/20",451423
191,"7/30/20",461379
192,"7/31/20",470386
193,"8/1/20",480028
194,"8/2/20",487132
195,"8/3/20",491884
196,"8/4/20",497330
197,"8/5/20",502739
198,"8/6/20",510389
199,"8/7/20",518075
200,"8/8/20",526577
201,"8/9/20",532806
202,"8/10/20",536961
203,"8/11/20",542792
204,"8/12/20",550901
205,"8/13/20",557137
206,"8/14/20",563285
207,"8/15/20",569637
208,"8/16/20",573416
209,"8/17/20",576094
210,"8/18/20",579932
211,"8/19/20",584047
212,"8/20/20",588602
213,"8/21/20",593286
214,"8/22/20",597597
215,"8/23/20",600571
216,"8/24/20",602829
217,"8/25/20",605502
218,"8/26/20",608722
219,"8/27/20",611991
220,"8/28/20",615806
221,"8/29/20",619003
222,"8/30/20",621586
223,"8/31/20",623471
