Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",2
43,"3/4/20",2
44,"3/5/20",2
45,"3/6/20",3
46,"3/7/20",5
47,"3/8/20",5
48,"3/9/20",10
49,"3/10/20",17
50,"3/11/20",23
51,"3/12/20",31
52,"3/13/20",42
53,"3/14/20",73
54,"3/15/20",99
55,"3/16/20",121
56,"3/17/20",146
57,"3/18/20",197
58,"3/19/20",287
59,"3/20/20",485
60,"3/21/20",555
61,"3/22/20",621
62,"3/23/20",772
63,"3/24/20",1026
64,"3/25/20",1247
65,"3/26/20",1525
66,"3/27/20",2000
67,"3/28/20",2366
68,"3/29/20",2651
69,"3/30/20",2808
70,"3/31/20",3929
71,"4/1/20",4638
72,"4/2/20",5348
73,"4/3/20",5831
74,"4/4/20",6160
75,"4/5/20",6647
76,"4/6/20",7314
77,"4/7/20",8822
78,"4/8/20",9901
79,"4/9/20",10566
80,"4/10/20",11485
81,"4/11/20",12159
82,"4/12/20",12452
83,"4/13/20",13315
84,"4/14/20",13913
85,"4/15/20",14304
86,"4/16/20",14962
87,"4/17/20",16414
88,"4/18/20",16854
89,"4/19/20",17433
90,"4/20/20",18456
91,"4/21/20",18911
92,"4/22/20",20211
93,"4/23/20",20905
94,"4/24/20",21575
95,"4/25/20",22231
96,"4/26/20",22464
97,"4/27/20",23275
98,"4/28/20",23950
99,"4/29/20",24757
100,"4/30/20",25302
101,"5/1/20",26421
102,"5/2/20",27269
103,"5/3/20",27611
104,"5/4/20",28367
105,"5/5/20",28955
106,"5/6/20",29726
107,"5/7/20",30529
108,"5/8/20",31093
109,"5/9/20",31480
110,"5/10/20",32090
111,"5/11/20",32448
112,"5/12/20",33342
113,"5/13/20",33866
114,"5/14/20",34422
115,"5/15/20",35242
116,"5/16/20",35655
117,"5/17/20",35978
118,"5/18/20",36634
119,"5/19/20",37214
120,"5/20/20",38162
121,"5/21/20",38969
122,"5/22/20",39734
123,"5/23/20",40408
124,"5/24/20",40989
125,"5/25/20",41414
126,"5/26/20",42066
127,"5/27/20",42713
128,"5/28/20",43363
129,"5/29/20",43906
130,"5/30/20",44336
131,"5/31/20",45051
132,"6/1/20",45760
133,"6/2/20",46063
134,"6/3/20",46711
135,"6/4/20",47540
136,"6/5/20",48280
137,"6/6/20",48943
138,"6/7/20",49371
139,"6/8/20",49995
140,"6/9/20",50769
141,"6/10/20",51465
142,"6/11/20",52332
143,"6/12/20",53201
144,"6/13/20",54181
145,"6/14/20",54874
146,"6/15/20",55505
147,"6/16/20",56302
148,"6/17/20",57217
149,"6/18/20",58040
150,"6/19/20",59117
151,"6/20/20",60669
152,"6/21/20",61493
153,"6/22/20",62705
154,"6/23/20",64587
155,"6/24/20",66290
156,"6/25/20",67796
157,"6/26/20",69542
158,"6/27/20",71066
159,"6/28/20",72800
160,"6/29/20",74816
161,"6/30/20",77280
162,"7/1/20",79594
163,"7/2/20",82475
164,"7/3/20",85079
165,"7/4/20",87592
166,"7/5/20",89489
167,"7/6/20",91015
168,"7/7/20",93707
169,"7/8/20",96538
170,"7/9/20",98693
171,"7/10/20",103603
172,"7/11/20",106574
173,"7/12/20",108398
174,"7/13/20",111940
175,"7/14/20",114579
176,"7/15/20",118151
177,"7/16/20",120860
178,"7/17/20",124276
179,"7/18/20",128349
180,"7/19/20",130800
181,"7/20/20",132795
182,"7/21/20",135865
183,"7/22/20",139120
184,"7/23/20",143876
185,"7/24/20",147751
186,"7/25/20",151262
187,"7/26/20",153476
188,"7/27/20",155907
189,"7/28/20",160038
190,"7/29/20",163547
191,"7/30/20",167545
192,"7/31/20",171342
193,"8/1/20",174834
194,"8/2/20",177556
195,"8/3/20",179510
196,"8/4/20",182462
197,"8/5/20",186395
198,"8/6/20",189300
199,"8/7/20",193276
200,"8/8/20",197308
201,"8/9/20",200147
202,"8/10/20",202276
203,"8/11/20",205920
204,"8/12/20",209683
205,"8/13/20",212009
206,"8/14/20",215328
207,"8/15/20",218344
208,"8/16/20",220165
209,"8/17/20",221841
210,"8/18/20",224681
211,"8/19/20",227255
212,"8/20/20",230288
213,"8/21/20",233169
214,"8/22/20",235783
215,"8/23/20",237402
216,"8/24/20",239612
217,"8/25/20",241865
218,"8/26/20",244494
219,"8/27/20",247017
220,"8/28/20",249317
221,"8/29/20",251676
222,"8/30/20",252813
223,"8/31/20",254238
