Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",1
47,"3/8/20",1
48,"3/9/20",1
49,"3/10/20",3
50,"3/11/20",2
51,"3/12/20",2
52,"3/13/20",2
53,"3/14/20",4
54,"3/15/20",6
55,"3/16/20",8
56,"3/17/20",10
57,"3/18/20",15
58,"3/19/20",25
59,"3/20/20",36
60,"3/21/20",36
61,"3/22/20",53
62,"3/23/20",56
63,"3/24/20",90
64,"3/25/20",91
65,"3/26/20",95
66,"3/27/20",106
67,"3/28/20",149
68,"3/29/20",149
69,"3/30/20",175
70,"3/31/20",204
71,"4/1/20",224
72,"4/2/20",256
73,"4/3/20",317
74,"4/4/20",349
75,"4/5/20",369
76,"4/6/20",385
77,"4/7/20",408
78,"4/8/20",408
79,"4/9/20",440
80,"4/10/20",440
81,"4/11/20",463
82,"4/12/20",497
83,"4/13/20",502
84,"4/14/20",511
85,"4/15/20",524
86,"4/16/20",524
87,"4/17/20",535
88,"4/18/20",568
89,"4/19/20",574
90,"4/20/20",578
91,"4/21/20",580
92,"4/22/20",586
93,"4/23/20",590
94,"4/24/20",595
95,"4/25/20",598
96,"4/26/20",599
97,"4/27/20",600
98,"4/28/20",602
99,"4/29/20",605
100,"4/30/20",609
101,"5/1/20",610
102,"5/2/20",611
103,"5/3/20",611
104,"5/4/20",612
105,"5/5/20",615
106,"5/6/20",616
107,"5/7/20",619
108,"5/8/20",619
109,"5/9/20",620
110,"5/10/20",621
111,"5/11/20",623
112,"5/12/20",624
113,"5/13/20",627
114,"5/14/20",627
115,"5/15/20",628
116,"5/16/20",629
117,"5/17/20",630
118,"5/18/20",630
119,"5/19/20",631
120,"5/20/20",633
121,"5/21/20",637
122,"5/22/20",632
123,"5/23/20",633
124,"5/24/20",633
125,"5/25/20",633
126,"5/26/20",633
127,"5/27/20",634
128,"5/28/20",637
129,"5/29/20",639
130,"5/30/20",641
131,"5/31/20",642
132,"6/1/20",642
133,"6/2/20",643
134,"6/3/20",643
135,"6/4/20",644
136,"6/5/20",653
137,"6/6/20",661
138,"6/7/20",663
139,"6/8/20",664
140,"6/9/20",670
141,"6/10/20",673
142,"6/11/20",680
143,"6/12/20",694
144,"6/13/20",711
145,"6/14/20",716
146,"6/15/20",724
147,"6/16/20",724
148,"6/17/20",732
149,"6/18/20",750
150,"6/19/20",777
151,"6/20/20",777
152,"6/21/20",802
153,"6/22/20",804
154,"6/23/20",807
155,"6/24/20",821
156,"6/25/20",837
157,"6/26/20",850
158,"6/27/20",856
159,"6/28/20",883
160,"6/29/20",884
161,"6/30/20",901
162,"7/1/20",909
163,"7/2/20",929
164,"7/3/20",957
165,"7/4/20",981
166,"7/5/20",1005
167,"7/6/20",1012
168,"7/7/20",1053
169,"7/8/20",1076
170,"7/9/20",1112
171,"7/10/20",1139
172,"7/11/20",1181
173,"7/12/20",1201
174,"7/13/20",1222
175,"7/14/20",1243
176,"7/15/20",1271
177,"7/16/20",1290
178,"7/17/20",1312
179,"7/18/20",1332
180,"7/19/20",1359
181,"7/20/20",1371
182,"7/21/20",1396
183,"7/22/20",1413
184,"7/23/20",1468
185,"7/24/20",1526
186,"7/25/20",1597
187,"7/26/20",1660
188,"7/27/20",1688
189,"7/28/20",1734
190,"7/29/20",1842
191,"7/30/20",1966
192,"7/31/20",2088
193,"8/1/20",2174
194,"8/2/20",2219
195,"8/3/20",2425
196,"8/4/20",2568
197,"8/5/20",2740
198,"8/6/20",2891
199,"8/7/20",3092
200,"8/8/20",3323
201,"8/9/20",3475
202,"8/10/20",3615
203,"8/11/20",3733
204,"8/12/20",3935
205,"8/13/20",4289
206,"8/14/20",4520
207,"8/15/20",4802
208,"8/16/20",5019
209,"8/17/20",5192
210,"8/18/20",5326
211,"8/19/20",5586
212,"8/20/20",5821
213,"8/21/20",6049
214,"8/22/20",6333
215,"8/23/20",6577
216,"8/24/20",6746
217,"8/25/20",6961
218,"8/26/20",7236
219,"8/27/20",7542
220,"8/28/20",7806
221,"8/29/20",8115
222,"8/30/20",8315
223,"8/31/20",8447
224,"9/1/20",8628
225,"9/2/20",8966
226,"9/3/20",9177
227,"9/4/20",9448
228,"9/5/20",9667
229,"9/6/20",9829
230,"9/7/20",9933
231,"9/8/20",9999
