Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",0
52,"3/13/20",1
53,"3/14/20",2
54,"3/15/20",4
55,"3/16/20",4
56,"3/17/20",8
57,"3/18/20",9
58,"3/19/20",23
59,"3/20/20",36
60,"3/21/20",42
61,"3/22/20",42
62,"3/23/20",68
63,"3/24/20",81
64,"3/25/20",91
65,"3/26/20",146
66,"3/27/20",205
67,"3/28/20",234
68,"3/29/20",281
69,"3/30/20",340
70,"3/31/20",515
71,"4/1/20",566
72,"4/2/20",776
73,"4/3/20",891
74,"4/4/20",1022
75,"4/5/20",1078
76,"4/6/20",1101
77,"4/7/20",1170
78,"4/8/20",1210
79,"4/9/20",1232
80,"4/10/20",1354
81,"4/11/20",1396
82,"4/12/20",1407
83,"4/13/20",1426
84,"4/14/20",1464
85,"4/15/20",1473
86,"4/16/20",1587
87,"4/17/20",1609
88,"4/18/20",1655
89,"4/19/20",1668
90,"4/20/20",1672
91,"4/21/20",1736
92,"4/22/20",1766
93,"4/23/20",1836
94,"4/24/20",1870
95,"4/25/20",1887
96,"4/26/20",1897
97,"4/27/20",1897
98,"4/28/20",1952
99,"4/29/20",1952
100,"4/30/20",1984
101,"5/1/20",2015
102,"5/2/20",2061
103,"5/3/20",2061
104,"5/4/20",2106
105,"5/5/20",2127
106,"5/6/20",2158
107,"5/7/20",2178
108,"5/8/20",2178
109,"5/9/20",2205
110,"5/10/20",2230
111,"5/11/20",2260
112,"5/12/20",2293
113,"5/13/20",2293
114,"5/14/20",2351
115,"5/15/20",2351
116,"5/16/20",2419
117,"5/17/20",2419
118,"5/18/20",2455
119,"5/19/20",2455
120,"5/20/20",2506
121,"5/21/20",2506
122,"5/22/20",2595
123,"5/23/20",2595
124,"5/24/20",2626
125,"5/25/20",2626
126,"5/26/20",2626
127,"5/27/20",2699
128,"5/28/20",2770
129,"5/29/20",2770
130,"5/30/20",2803
131,"5/31/20",2839
132,"6/1/20",2839
133,"6/2/20",2933
134,"6/3/20",2933
135,"6/4/20",2990
136,"6/5/20",3111
137,"6/6/20",3139
138,"6/7/20",3139
139,"6/8/20",3189
140,"6/9/20",3221
141,"6/10/20",3260
142,"6/11/20",3260
143,"6/12/20",3353
144,"6/13/20",3353
145,"6/14/20",3399
146,"6/15/20",3399
147,"6/16/20",3462
148,"6/17/20",3632
149,"6/18/20",3743
150,"6/19/20",3871
151,"6/20/20",4004
152,"6/21/20",4006
153,"6/22/20",4256
154,"6/23/20",4254
155,"6/24/20",4402
156,"6/25/20",4865
157,"6/26/20",4865
158,"6/27/20",5322
159,"6/28/20",5322
160,"6/29/20",5752
161,"6/30/20",6117
162,"7/1/20",6370
163,"7/2/20",6593
164,"7/3/20",6994
165,"7/4/20",7370
166,"7/5/20",7733
167,"7/6/20",8052
168,"7/7/20",8539
169,"7/8/20",8969
170,"7/9/20",9429
171,"7/10/20",9929
172,"7/11/20",10506
173,"7/12/20",10903
174,"7/13/20",11404
175,"7/14/20",11720
176,"7/15/20",12449
177,"7/16/20",13134
178,"7/17/20",13753
179,"7/18/20",14303
180,"7/19/20",14874
181,"7/20/20",15268
182,"7/21/20",15823
183,"7/22/20",16322
184,"7/23/20",16737
185,"7/24/20",17265
186,"7/25/20",17826
187,"7/26/20",18178
188,"7/27/20",18692
189,"7/28/20",19220
190,"7/29/20",19674
191,"7/30/20",20242
192,"7/31/20",20716
193,"8/1/20",21110
194,"8/2/20",21110
195,"8/3/20",21670
196,"8/4/20",22236
197,"8/5/20",22708
198,"8/6/20",23401
199,"8/7/20",23925
200,"8/8/20",24497
201,"8/9/20",24675
202,"8/10/20",25104
203,"8/11/20",25598
204,"8/12/20",26134
205,"8/13/20",26629
206,"8/14/20",27171
207,"8/15/20",27475
208,"8/16/20",27656
209,"8/17/20",27937
210,"8/18/20",28321
211,"8/19/20",28680
212,"8/20/20",29110
213,"8/21/20",29364
214,"8/22/20",29659
215,"8/23/20",29845
216,"8/24/20",30057
217,"8/25/20",30465
218,"8/26/20",30771
219,"8/27/20",31113
220,"8/28/20",31376
221,"8/29/20",31668
222,"8/30/20",31858
223,"8/31/20",32081
224,"9/1/20",32353
