Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",1
46,"3/7/20",1
47,"3/8/20",2
48,"3/9/20",3
49,"3/10/20",6
50,"3/11/20",11
51,"3/12/20",13
52,"3/13/20",13
53,"3/14/20",16
54,"3/15/20",20
55,"3/16/20",25
56,"3/17/20",30
57,"3/18/20",38
58,"3/19/20",60
59,"3/20/20",86
60,"3/21/20",128
61,"3/22/20",204
62,"3/23/20",270
63,"3/24/20",368
64,"3/25/20",477
65,"3/26/20",645
66,"3/27/20",979
67,"3/28/20",1233
68,"3/29/20",1513
69,"3/30/20",1786
70,"3/31/20",2158
71,"4/1/20",2564
72,"4/2/20",3038
73,"4/3/20",3437
74,"4/4/20",3953
75,"4/5/20",4411
76,"4/6/20",4956
77,"4/7/20",5510
78,"4/8/20",5943
79,"4/9/20",6351
80,"4/10/20",6907
81,"4/11/20",7435
82,"4/12/20",7928
83,"4/13/20",8359
84,"4/14/20",8527
85,"4/15/20",8960
86,"4/16/20",9542
87,"4/17/20",10154
88,"4/18/20",10641
89,"4/19/20",11211
90,"4/20/20",11688
91,"4/21/20",12097
92,"4/22/20",12438
93,"4/23/20",13039
94,"4/24/20",13681
95,"4/25/20",14399
96,"4/26/20",15012
97,"4/27/20",15961
98,"4/28/20",16588
99,"4/29/20",17182
100,"4/30/20",17835
101,"5/1/20",18630
102,"5/2/20",19295
103,"5/3/20",19933
104,"5/4/20",20507
105,"5/5/20",21033
106,"5/6/20",21870
107,"5/7/20",22503
108,"5/8/20",23146
109,"5/9/20",23732
110,"5/10/20",24126
111,"5/11/20",24627
112,"5/12/20",25127
113,"5/13/20",25473
114,"5/14/20",26053
115,"5/15/20",26656
116,"5/16/20",27280
117,"5/17/20",27778
118,"5/18/20",28255
119,"5/19/20",28705
120,"5/20/20",29274
121,"5/21/20",29936
122,"5/22/20",30409
123,"5/23/20",30901
124,"5/24/20",31376
125,"5/25/20",31715
126,"5/26/20",32078
127,"5/27/20",32437
128,"5/28/20",33068
129,"5/29/20",33558
130,"5/30/20",34211
131,"5/31/20",34574
132,"6/1/20",34830
133,"6/2/20",35237
134,"6/3/20",35712
135,"6/4/20",36096
136,"6/5/20",36578
137,"6/6/20",36997
138,"6/7/20",37397
139,"6/8/20",37623
140,"6/9/20",38033
141,"6/10/20",38337
142,"6/11/20",38748
143,"6/12/20",39146
144,"6/13/20",39543
145,"6/14/20",39909
146,"6/15/20",40430
147,"6/16/20",40786
148,"6/17/20",41013
149,"6/18/20",41438
150,"6/19/20",41746
151,"6/20/20",42061
152,"6/21/20",42423
153,"6/22/20",42633
154,"6/23/20",42871
155,"6/24/20",43140
156,"6/25/20",43655
157,"6/26/20",44140
158,"6/27/20",44575
159,"6/28/20",44930
160,"6/29/20",45228
161,"6/30/20",45594
162,"7/1/20",45952
163,"7/2/20",46387
164,"7/3/20",46915
165,"7/4/20",47432
166,"7/5/20",48201
167,"7/6/20",48524
168,"7/7/20",48626
169,"7/8/20",49063
170,"7/9/20",49575
171,"7/10/20",50300
172,"7/11/20",51079
173,"7/12/20",51612
174,"7/13/20",52037
175,"7/14/20",52685
176,"7/15/20",53370
177,"7/16/20",54080
178,"7/17/20",54813
179,"7/18/20",55654
180,"7/19/20",56571
181,"7/20/20",57206
182,"7/21/20",57916
183,"7/22/20",58673
184,"7/23/20",59602
185,"7/24/20",60598
186,"7/25/20",61520
187,"7/26/20",62372
188,"7/27/20",62907
189,"7/28/20",63678
190,"7/29/20",64299
191,"7/30/20",65253
192,"7/31/20",66154
193,"8/1/20",67122
194,"8/2/20",67857
195,"8/3/20",68433
196,"8/4/20",69255
197,"8/5/20",69975
198,"8/6/20",71015
199,"8/7/20",72254
200,"8/8/20",73287
201,"8/9/20",74328
202,"8/10/20",74992
203,"8/11/20",75862
204,"8/12/20",76522
205,"8/13/20",77565
206,"8/14/20",78632
207,"8/15/20",79676
208,"8/16/20",80415
209,"8/17/20",81006
210,"8/18/20",81847
211,"8/19/20",82336
212,"8/20/20",83277
213,"8/21/20",84317
214,"8/22/20",85317
215,"8/23/20",85932
216,"8/24/20",87592
217,"8/25/20",88421
218,"8/26/20",89359
219,"8/27/20",90504
220,"8/28/20",91313
221,"8/29/20",92434
222,"8/30/20",93313
223,"8/31/20",94196
